seed,update,parameter_id,shape,m,n,aspect_ratio,min_dim,rank,factor_precision,side_info_bits,side_info_over_residual
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,8,bf16_uv_fp32_sigma,98560,0.16710069444444445
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,8,fp16_uv_fp32_sigma,98560,0.16710069444444445
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,25,fp32,615200,1.0430230034722223
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,25,bf16,307600,0.5215115017361112
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,25,fp16,307600,0.5215115017361112
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,25,bf16_uv_fp32_sigma,308000,0.5221896701388888
0,128,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,384,1.0,384,25,fp16_uv_fp32_sigma,308000,0.5221896701388888
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp32,45088,0.028666178385416668
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,bf16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp16,22544,0.014333089192708334
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,bf16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,1,fp16_uv_fp32_sigma,22560,0.01434326171875
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,fp32,90176,0.057332356770833336
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,bf16,45088,0.028666178385416668
0,128,transformer.h.0.mlp.w1.weight,"[1024, 384]",1024,384,2.6666666666666665,384,2,fp16,45088,0.028666178385416668
