seed,update,parameter_id,parameter_name,shape,rank_label,rank,rank_kind,energy_target,factor_precision,configuration,numel,fp32_bits,direct_int4_metadata_bits,storage_idealized_bits,storage_metadata_bits,storage_ratio_vs_fp32,compression_ratio_vs_fp32,extra_storage_vs_int4,low_rank_energy_fraction,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_75,8,energy,0.75,fp16,energy_75_fp16,442368,14155776,1776536,1966208,1973272,0.13939695005063657,7.1737581032924,0.11074135283495522,0.7521660923957825,0.08963724225759506,0.9959889650344849,1.000976800918579,0.6406067609786987,0.7976168990135193,1.0134069919586182,0.5981197357177734,0.8211292624473572,0.9999997019767761
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_75,8,energy,0.75,bf16_uv_fp32_sigma,energy_75_bf16_uv_fp32_sigma,442368,14155776,1776536,1966336,1973400,0.13940599229600695,7.173292794162359,0.11081340316210873,0.7521660923957825,0.08966948837041855,0.9959852695465088,1.0009413957595825,0.640609085559845,0.7976161241531372,1.013409972190857,0.5981203317642212,0.8211281299591064,1.0000005960464478
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_75,8,energy,0.75,fp16_uv_fp32_sigma,energy_75_fp16_uv_fp32_sigma,442368,14155776,1776536,1966336,1973400,0.13940599229600695,7.173292794162359,0.11081340316210873,0.7521660923957825,0.08963719755411148,0.9959882497787476,1.0008947849273682,0.6406110525131226,0.7976142764091492,1.0134085416793823,0.5981197953224182,0.8211290836334229,0.9999998211860657
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_90,26,energy,0.9,fp32,energy_90_fp32,442368,14155776,1776536,3048256,3055320,0.2158355712890625,4.63315659243549,0.7198187934272089,0.9007646441459656,0.056206077337265015,0.9984219074249268,1.0001826286315918,0.4671650528907776,0.8924586772918701,1.013776183128357,0.4436509907245636,0.9015889167785645,1.0000009536743164
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_90,26,energy,0.9,bf16,energy_90_bf16,442368,14155776,1776536,2408864,2415928,0.1706672951027199,5.859353424439801,0.35990939671360445,0.9007646441459656,0.056274063885211945,0.9984179139137268,0.9999006986618042,0.46719256043434143,0.8924455642700195,1.0137783288955688,0.44365131855010986,0.9015896916389465,0.9999998807907104
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_90,26,energy,0.9,fp16,energy_90_fp16,442368,14155776,1776536,2408864,2415928,0.1706672951027199,5.859353424439801,0.35990939671360445,0.9007646441459656,0.05620696768164635,0.9984226226806641,1.0002607107162476,0.4671575427055359,0.8924604654312134,1.0137677192687988,0.443651020526886,0.9015892744064331,1.0000005960464478
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_90,26,energy,0.9,bf16_uv_fp32_sigma,energy_90_bf16_uv_fp32_sigma,442368,14155776,1776536,2409280,2416344,0.1706966824001736,5.8583446727783794,0.3601435602768534,0.9007646441459656,0.05624980479478836,0.9984198808670044,1.0002199411392212,0.46716198325157166,0.8924601078033447,1.0137768983840942,0.4436511695384979,0.901589572429657,1.0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_90,26,energy,0.9,fp16_uv_fp32_sigma,energy_90_fp16_uv_fp32_sigma,442368,14155776,1776536,2409280,2416344,0.1706966824001736,5.8583446727783794,0.3601435602768534,0.9007646441459656,0.056206852197647095,0.9984226822853088,1.0001699924468994,0.4671660363674164,0.8924579620361328,1.013777494430542,0.4436509907245636,0.9015892148017883,1.0000005960464478
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_1,1,fixed,,fp32,fixed_1_fp32,147456,4718592,592280,614432,616888,0.13073560926649305,7.649025430872379,0.04154791652596745,0.3415682017803192,0.15060096979141235,0.9886784553527832,1.001421570777893,0.8773912191390991,0.6332372426986694,1.0465211868286133,0.8897197246551514,0.6042003631591797,1.000000238418579
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_1,1,fixed,,bf16,fixed_1_bf16,147456,4718592,592280,602128,604584,0.1281280517578125,7.804692151959033,0.020773958262983724,0.3415682017803192,0.15060921013355255,0.9886782169342041,1.001482367515564,0.877389132976532,0.633239209651947,1.046520709991455,0.8897184729576111,0.6042012572288513,0.9999995827674866
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_1,1,fixed,,fp16,fixed_1_fp16,147456,4718592,592280,602128,604584,0.1281280517578125,7.804692151959033,0.020773958262983724,0.3415682017803192,0.15060162544250488,0.9886787533760071,1.0014903545379639,0.8773895502090454,0.6332389116287231,1.0465208292007446,0.8897196650505066,0.6042004823684692,0.9999998807907104
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_1,1,fixed,,bf16_uv_fp32_sigma,fixed_1_bf16_uv_fp32_sigma,147456,4718592,592280,602144,604600,0.1281314425998264,7.8044856103208735,0.020800972513000608,0.3415682017803192,0.15060915052890778,0.9886770844459534,1.001415729522705,0.8773907423019409,0.6332379579544067,1.0465205907821655,0.8897184729576111,0.6042012572288513,0.9999995231628418
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_1,1,fixed,,fp16_uv_fp32_sigma,fixed_1_fp16_uv_fp32_sigma,147456,4718592,592280,602144,604600,0.1281314425998264,7.8044856103208735,0.020800972513000608,0.3415682017803192,0.1506015658378601,0.9886780977249146,1.0014231204986572,0.8773910999298096,0.633237361907959,1.0465211868286133,0.889719545841217,0.6042004823684692,1.0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_2,2,fixed,,fp32,fixed_2_fp32,147456,4718592,592280,639040,641496,0.13595072428385416,7.355606270343073,0.0830958330519349,0.5363215804100037,0.1240541934967041,0.9923232793807983,1.001916527748108,0.8260504007339478,0.6762443780899048,1.0499602556228638,0.8500090837478638,0.6387436985969543,1.0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_2,2,fixed,,bf16,fixed_2_bf16,147456,4718592,592280,614432,616888,0.13073560926649305,7.649025430872379,0.04154791652596745,0.5363215804100037,0.1240697130560875,0.9923175573348999,1.0014833211898804,0.8260701298713684,0.6762301921844482,1.0499643087387085,0.8500086069107056,0.6387437582015991,0.9999998807907104
