rank_label,factor_precision,configuration,storage_idealized_bits_sum,storage_metadata_bits_sum,storage_ratio_vs_fp32,compression_ratio_vs_fp32,extra_storage_vs_int4,update_cosine_weighted,update_cosine_mean,update_cosine_median,update_relative_l2_weighted,update_relative_l2_mean,update_relative_l2_median,exact_polar_cosine_weighted,exact_polar_cosine_mean,exact_polar_cosine_median,exact_polar_relative_l2_weighted,exact_polar_relative_l2_mean,exact_polar_relative_l2_median,tensor_count,numel_total,rank,pareto_update_cosine_weighted,pareto_exact_polar_cosine_weighted,pareto_update_relative_l2_weighted,energy_target
fixed_4,fp32,fixed_4_fp32,474846720.0,476551200.0,0.14026995058412906,7.129110660092767,0.11767367979042809,0.842249890582429,0.825034441947937,0.8898431062698364,0.5353994731825811,0.5669757559895515,0.4681122899055481,0.8375321251098756,0.8139287185668945,0.894862711429596,0.5328147288273882,0.5689157593250275,0.4645165503025055,300,106168320,4,False,False,False,
fixed_4,bf16,fixed_4_bf16,449760000.0,451464480.0,0.13288582695855033,7.52525700360746,0.058836839895214044,0.8422499375210868,0.8250347505013148,0.8898414969444275,0.5353980171183745,0.5669741892814636,0.4681087136268616,0.8375325936962057,0.8139299172163009,0.8948630094528198,0.5328134354341914,0.5689125155409177,0.4645176827907562,300,106168320,4,False,True,False,
fixed_4,fp16,fixed_4_fp16,449760000.0,451464480.0,0.13288582695855033,7.52525700360746,0.058836839895214044,0.8422500312880233,0.825034323334694,0.8898428082466125,0.5353990074385095,0.5669756953914961,0.46811196208000183,0.8375321235645701,0.8139287211497624,0.8948624730110168,0.5328147399204749,0.5689157675703367,0.46451669931411743,300,106168320,4,True,False,False,
fixed_4,bf16_uv_fp32_sigma,fixed_4_bf16_uv_fp32_sigma,449779200.0,451483680.0,0.13289147836190682,7.524936981110812,0.05888187038648545,0.8422495923660419,0.8250344254573186,0.889843225479126,0.535400020579497,0.5669758571187655,0.46811285614967346,0.8375325819408452,0.8139299046993256,0.8948628902435303,0.5328134418085769,0.5689125236868858,0.46451783180236816,300,106168320,4,False,False,False,
fixed_4,fp16_uv_fp32_sigma,fixed_4_fp16_uv_fp32_sigma,449779200.0,451483680.0,0.13289147836190682,7.524936981110812,0.05888187038648545,0.8422498545161,0.8250344210863113,0.8898433446884155,0.5353995338358261,0.566975804467996,0.46811220049858093,0.8375321232334331,0.8139287217458089,0.8948625922203064,0.5328147360296162,0.5689157633980115,0.46451669931411743,300,106168320,4,False,False,False,
fixed_8,fp32,fixed_8_fp32,525020160.0,526724640.0,0.15503819783528647,6.450023374642204,0.23534735958085617,0.8667503924281509,0.8518146628141403,0.9106171727180481,0.49281751811504365,0.5222601260741552,0.42261946201324463,0.8598270815555696,0.8374343578020732,0.9121202230453491,0.4938030844761266,0.5299230566620827,0.4193110167980194,300,106168320,8,False,False,False,
fixed_8,bf16,fixed_8_bf16,474846720.0,476551200.0,0.14026995058412906,7.129110660092767,0.11767367979042809,0.8667497784175254,0.851814533273379,0.9106196165084839,0.4928171551062001,0.5222592502832413,0.42263221740722656,0.8598269989920987,0.8374342501163483,0.9121199250221252,0.49380321764835605,0.5299231987198194,0.41931143403053284,300,106168320,8,False,False,False,
fixed_8,fp16,fixed_8_fp16,474846720.0,476551200.0,0.14026995058412906,7.129110660092767,0.11767367979042809,0.8667505255175961,0.851814460158348,0.9106168746948242,0.4928170050183932,0.5222601881623268,0.4226202964782715,0.8598270895856398,0.8374343647559483,0.9121201038360596,0.49380311356098566,0.5299230894446373,0.41931095719337463,300,106168320,8,True,True,False,
fixed_8,bf16_uv_fp32_sigma,fixed_8_bf16_uv_fp32_sigma,474885120.0,476589600.0,0.14028125339084202,7.128536250056652,0.1177637407729709,0.866750180500525,0.8518147230148315,0.9106184840202332,0.4928181915095559,0.5222602587938309,0.42262038588523865,0.8598269995991831,0.8374342540899913,0.9121199250221252,0.4938032115223231,0.5299231972297033,0.41931143403053284,300,106168320,8,False,False,False,
fixed_8,fp16_uv_fp32_sigma,fixed_8_fp16_uv_fp32_sigma,474885120.0,476589600.0,0.14028125339084202,7.128536250056652,0.1177637407729709,0.8667503856398441,0.8518146731456121,0.9106168746948242,0.4928175824659842,0.5222601636250814,0.42261889576911926,0.8598270819970855,0.8374343570073446,0.9121201038360596,0.4938031044823152,0.5299230789144834,0.4193110167980194,300,106168320,8,False,False,False,
