seed,update,parameter_id,parameter_name,shape,quantizer,diagonal_error_energy,off_diagonal_error_energy,total_error_energy,projected_error_energy,unresolved_error_energy,top_relative_mode_perturbation_mean,top_relative_mode_perturbation_max,top_error_energy_fraction,top_diagonal_error_energy_fraction,middle_relative_mode_perturbation_mean,middle_relative_mode_perturbation_max,middle_error_energy_fraction,middle_diagonal_error_energy_fraction,tail_relative_mode_perturbation_mean,tail_relative_mode_perturbation_max,tail_error_energy_fraction,tail_diagonal_error_energy_fraction
1,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,6.3593934562788945e-09,2.4015891995077254e-06,6.03618582317722e-06,2.407948613836197e-06,3.628237209341023e-06,0.00019352165691088885,0.0008100605919025838,0.05390907824039459,0.00014808482956141233,0.0008248392841778696,0.0025790377985686064,0.03716276213526726,8.02385839051567e-05,0.0025588818825781345,0.007671549450606108,0.036113474518060684,0.00012242744560353458
1,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",int4-linear-b2048,2.1859000298718456e-06,0.0007872256683185697,0.0019675276707857847,0.0007894115406088531,0.0011781160719692707,0.005158266983926296,0.014809507876634598,0.05360827222466469,0.0002480289258528501,0.01314784586429596,0.036056745797395706,0.038344983011484146,6.867014599265531e-05,0.03404344990849495,0.1668318808078766,0.036373335868120193,8.028978481888771e-05
1,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",int4-dynamic-b2048,1.696619983704295e-05,0.0007481059874407947,0.0016183063853532076,0.0007650721818208694,0.0008532342035323381,0.019515765830874443,0.029532404616475105,0.08768094331026077,0.007228791248053312,0.029384708032011986,0.06530874222517014,0.04127727076411247,0.0003436520346440375,0.04087775573134422,0.10291963815689087,0.034219544380903244,0.0001238613622263074
1,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",int8-linear-b2048,2.203333622219361e-07,8.036772487685084e-05,0.00021588797972071916,8.058805542532355e-05,0.0001352999242953956,0.0002604167384561151,0.0011837742058560252,0.03858346864581108,9.668744314694777e-05,0.0017066368600353599,0.005221063736826181,0.03809051588177681,0.0001132492907345295,0.004196852445602417,0.012973670847713947,0.03730040043592453,9.803181455936283e-05
1,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",int4-linear-b2048,0.00016234206850640476,0.02606344409286976,0.06772725284099579,0.02622578665614128,0.04150146618485451,0.014975085854530334,0.035915300250053406,0.041968293488025665,0.0008641876629553735,0.031676650047302246,0.0927947387099266,0.0380074605345726,0.00011289896065136418,0.08282969892024994,0.26467445492744446,0.03972968831658363,0.00012484077888075262
1,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",int4-dynamic-b2048,0.0008687335066497326,0.012659300118684769,0.02776167169213295,0.013528034090995789,0.014233637601137161,0.0400683656334877,0.06442811340093613,0.07429622113704681,0.023483728989958763,0.05091981217265129,0.11780477315187454,0.045678988099098206,0.0006107495282776654,0.060191843658685684,0.18281866610050201,0.04488623887300491,0.00014430990268010646
1,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,1.3514912744483354e-08,5.0395856305840425e-06,6.4777991610753816e-06,5.053100721852388e-06,1.4246984392229933e-06,0.0002982050646096468,0.001277094124816358,0.10082315653562546,0.00027140360907651484,0.004629789851605892,0.014073717407882214,0.0889517068862915,0.0002083052386296913,0.01655462011694908,0.047211904078722,0.03182363510131836,7.592015754198655e-05
1,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,3.930755610781489e-06,0.0016456367447972298,0.0021236399188637733,0.0016495675081387162,0.0004740724107250571,0.00548592209815979,0.022015271708369255,0.10080645978450775,0.00025267055025324225,0.07927736639976501,0.22763414680957794,0.0889325812458992,0.00019655257347039878,0.34136995673179626,1.0737388134002686,0.031941939145326614,9.216577018378302e-05
1,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,2.554676575527992e-05,0.0016934553859755397,0.002188972197473049,0.0017190021462738514,0.00046997005119919777,0.020600417628884315,0.03340910002589226,0.11132670938968658,0.00921581219881773,0.08189722895622253,0.23493659496307373,0.0870773196220398,0.0002303370856679976,0.35263001918792725,0.9260046482086182,0.030961928889155388,7.511582953156903e-05
1,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,1.781529590516584e-07,6.036793638486415e-05,6.0546084569068626e-05,6.054608820704743e-05,0.0,0.00026843074010685086,0.0013075463939458132,0.10204142332077026,0.00021770698367618024,0.006441800389438868,0.020824646577239037,0.103780098259449,0.00042877226951532066,1.4885231256484985,45.50336837768555,0.10009592026472092,0.00035746811772696674
