seed,update,parameter_id,parameter_name,shape,quantizer,band,side,principal_angle_mean,principal_angle_max,projection_distance,projection_distance_normalized
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,tail,left,0.06517905741930008,0.23509474098682404,0.6618766188621521,0.10598508268594742
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,tail,right,0.04479754716157913,0.23337799310684204,0.5511707067489624,0.08825794607400894
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-linear-b2048,top,left,0.14079570770263672,0.48662346601486206,1.4531975984573364,0.23269784450531006
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-linear-b2048,top,right,0.10953378677368164,0.47930243611335754,1.2242262363433838,0.19603309035301208
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-linear-b2048,middle,left,0.8620112538337708,1.528421401977539,6.573363304138184,1.05258047580719
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-linear-b2048,middle,right,0.8098453879356384,1.5225287675857544,6.291769504547119,1.0074894428253174
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-linear-b2048,tail,left,0.9200877547264099,1.5140607357025146,6.92725133895874,1.1092479228973389
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-linear-b2048,tail,right,0.6420674324035645,1.4964308738708496,5.338771343231201,0.8548876047134399
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-dynamic-b2048,top,left,0.14166834950447083,0.37226149439811707,1.422353982925415,0.22775891423225403
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-dynamic-b2048,top,right,0.11736346781253815,0.35666623711586,1.2295271158218384,0.19688190519809723
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-dynamic-b2048,middle,left,0.8727479577064514,1.5337077379226685,6.613497257232666,1.059007167816162
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-dynamic-b2048,middle,right,0.8228796720504761,1.5477081537246704,6.3396897315979,1.0151628255844116
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-dynamic-b2048,tail,left,0.9249554872512817,1.4395723342895508,6.95093297958374,1.1130400896072388
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int4-dynamic-b2048,tail,right,0.6575449705123901,1.445223093032837,5.437193870544434,0.8706478476524353
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int8-linear-b2048,top,left,0.007547956425696611,0.055370502173900604,0.10244488716125488,0.01640431024134159
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int8-linear-b2048,top,right,0.010429756715893745,0.05619050934910774,0.12093469500541687,0.01936504989862442
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int8-linear-b2048,middle,left,0.09487558156251907,0.7525898814201355,1.2363722324371338,0.19797800481319427
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int8-linear-b2048,middle,right,0.10406007617712021,0.7534351348876953,1.277262568473816,0.20452569425106049
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int8-linear-b2048,tail,left,0.09750048071146011,0.9570349454879761,1.3973783254623413,0.22375960648059845
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int8-linear-b2048,tail,right,0.14464488625526428,0.959506094455719,1.6093788146972656,0.2577068507671356
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-linear-b2048,top,left,0.14829598367214203,1.4739723205566406,1.8175373077392578,0.2910389006137848
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-linear-b2048,top,right,0.20021578669548035,1.4778151512145996,2.136129856109619,0.342054545879364
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-linear-b2048,middle,left,1.0766065120697021,1.5585675239562988,7.573136806488037,1.212672472000122
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-linear-b2048,middle,right,1.1630444526672363,1.552689552307129,7.945157527923584,1.2722433805465698
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-linear-b2048,tail,left,0.9326722621917725,1.5579067468643188,6.9011006355285645,1.1050604581832886
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",int4-linear-b2048,tail,right,1.265544056892395,1.5671366453170776,8.323561668395996,1.3328365087509155
