seed,update,parameter_id,parameter_name,shape,danger_log10_start,danger_log10_end,active_rank,danger_mode_count,danger_fraction_active_rank,danger_residual_energy_fraction
0,1024,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,230,0.5989583333333334,0.7836083111032981
0,1024,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,169,0.4401041666666667,0.6778977867018168
0,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,199,0.5182291666666666,0.696271661869539
0,1024,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,148,0.3854166666666667,0.612081780451355
0,1024,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,207,0.5390625,0.7171923081873701
0,1024,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,145,0.3776041666666667,0.6078745846317416
0,1024,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,6,0.015625,0.027077206326676283
0,2048,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,196,0.5104166666666666,0.7028175039244063
0,2048,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,165,0.4296875,0.6616497784458877
0,2048,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,217,0.5651041666666666,0.7550962166411116
0,2048,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,383,176,0.4595300261096606,0.6992167047813824
0,2048,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,216,0.5625,0.6790911973243507
0,2048,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,170,0.4427083333333333,0.6586825159141427
0,2048,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,2048,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
