band,correction_type,budget,metric,mean,median,count
head,full,4,update_cosine,0.741175116499265,0.8375774025917053,300
head,full,4,update_relative_l2,0.6902590043346087,0.5645773410797119,300
head,full,8,update_cosine_gain,0.00020001222689946494,0.0002065896987915039,300
head,full,8,update_l2_reduction_fraction,0.0010017758644728784,0.0008213386172428727,300
head,full,8,residual_energy_fraction_captured,0.0070520250545814634,0.005927370861172676,300
head,full,8,update_cosine,0.741232012808323,0.837630569934845,300
head,full,8,update_relative_l2,0.6901636957128843,0.5645069479942322,300
head,full,16,update_cosine_gain,0.00021799802780151368,0.00025260448455810547,300
head,full,16,update_l2_reduction_fraction,0.001254543867192271,0.0009931365493685007,300
head,full,16,residual_energy_fraction_captured,0.009968554170336574,0.008568886667490005,300
head,full,16,update_cosine,0.7412499986092249,0.8376885652542114,300
head,full,16,update_relative_l2,0.6900421434640884,0.5642550587654114,300
random,diagonal,0,update_cosine_gain,0.0,0.0,300
random,diagonal,0,update_l2_reduction_fraction,0.0,0.0,300
random,diagonal,0,residual_energy_fraction_captured,0.0,0.0,300
random,diagonal,0,update_cosine,0.7410320005814235,0.8375340700149536,300
random,diagonal,0,update_relative_l2,0.6906314886609713,0.5651208162307739,300
random,diagonal,1,update_cosine_gain,1.9639432430267334e-05,1.2874603271484375e-05,300
random,diagonal,1,update_l2_reduction_fraction,3.93443787395778e-05,3.706306597450748e-05,300
random,diagonal,1,residual_energy_fraction_captured,1.5251277015872252e-05,9.942355063685682e-06,300
random,diagonal,1,update_cosine,0.7410516400138537,0.8375362753868103,300
random,diagonal,1,update_relative_l2,0.6906064984202385,0.5650946497917175,300
random,diagonal,2,update_cosine_gain,2.8596123059590657e-05,2.4378299713134766e-05,300
random,diagonal,2,update_l2_reduction_fraction,9.011702913087122e-05,7.092810847098008e-05,300
random,diagonal,2,residual_energy_fraction_captured,3.036263357795832e-05,1.7571619537193328e-05,300
random,diagonal,2,update_cosine,0.741060596704483,0.8375473022460938,300
random,diagonal,2,update_relative_l2,0.6905820180972417,0.5648942589759827,300
random,diagonal,4,update_cosine_gain,4.7890146573384605e-05,2.0444393157958984e-05,300
random,diagonal,4,update_l2_reduction_fraction,0.00011285032098408568,0.00010681202547857538,300
random,diagonal,4,residual_energy_fraction_captured,0.00020616896941949865,0.00016979241627268493,300
random,diagonal,4,update_cosine,0.7410798907279968,0.8375207185745239,300
random,diagonal,4,update_relative_l2,0.6905638293425242,0.5649973154067993,300
random,diagonal,8,update_cosine_gain,0.00012444386879603068,0.00010275840759277344,300
random,diagonal,8,update_l2_reduction_fraction,0.0003611548545047079,0.00036915650707669556,300
random,diagonal,8,residual_energy_fraction_captured,0.0008404326087232524,0.0007123570539988577,300
random,diagonal,8,update_cosine,0.7411564444502194,0.837668240070343,300
random,diagonal,8,update_relative_l2,0.6904367097218831,0.5647343993186951,300
random,diagonal,16,update_cosine_gain,0.00024260024229685466,0.00021910667419433594,300
random,diagonal,16,update_l2_reduction_fraction,0.0006945466432649206,0.0006977334269322455,300
random,diagonal,16,residual_energy_fraction_captured,0.0013207559722165267,0.001172551536001265,300
random,diagonal,16,update_cosine,0.7412746008237203,0.8377124667167664,300
random,diagonal,16,update_relative_l2,0.6902570692698161,0.5643681287765503,300
random,full,0,update_cosine_gain,0.0,0.0,300
random,full,0,update_l2_reduction_fraction,0.0,0.0,300
random,full,0,residual_energy_fraction_captured,0.0,0.0,300
random,full,0,update_cosine,0.7410320005814235,0.8375340700149536,300
random,full,0,update_relative_l2,0.6906314886609713,0.5651208162307739,300
random,full,1,update_cosine_gain,1.9639432430267334e-05,1.2874603271484375e-05,300
random,full,1,update_l2_reduction_fraction,3.93443787395778e-05,3.706306597450748e-05,300
random,full,1,residual_energy_fraction_captured,1.5251277015872252e-05,9.942355063685682e-06,300
random,full,1,update_cosine,0.7410516400138537,0.8375362753868103,300
random,full,1,update_relative_l2,0.6906064984202385,0.5650946497917175,300
random,full,2,update_cosine_gain,2.898901700973511e-05,2.4378299713134766e-05,300
random,full,2,update_l2_reduction_fraction,9.112831401037263e-05,7.235404336825013e-05,300
random,full,2,residual_energy_fraction_captured,3.843955781538473e-05,2.678784767340403e-05,300
random,full,2,update_cosine,0.7410609895984331,0.8375467658042908,300
random,full,2,update_relative_l2,0.6905815509955088,0.56489098072052,300
random,full,4,update_cosine_gain,4.985998074213664e-05,2.2113323211669922e-05,300
random,full,4,update_l2_reduction_fraction,0.00011633024936715623,0.00011057212395826355,300
random,full,4,residual_energy_fraction_captured,0.00026429452787851915,0.00023206262267194688,300
random,full,4,update_cosine,0.7410818605621656,0.8375217914581299,300
random,full,4,update_relative_l2,0.690561367670695,0.5649961829185486,300
random,full,8,update_cosine_gain,0.00013230443000793456,0.00010669231414794922,300
random,full,8,update_l2_reduction_fraction,0.0003818863875656666,0.0003825333551503718,300
random,full,8,residual_energy_fraction_captured,0.0010969123243315456,0.000978837488219142,300
random,full,8,update_cosine,0.7411643050114314,0.837683379650116,300
random,full,8,update_relative_l2,0.6904238692919413,0.5647209286689758,300
random,full,16,update_cosine_gain,0.00029456218083699545,0.00026726722717285156,300
random,full,16,update_l2_reduction_fraction,0.0008083984366182136,0.0008369796560145915,300
random,full,16,residual_energy_fraction_captured,0.0023825296887662263,0.0022407574579119682,300
random,full,16,update_cosine,0.7413265627622604,0.8377586007118225,300
random,full,16,update_relative_l2,0.690189746816953,0.5642849802970886,300
