seed,update,parameter_id,method,t,model_residual,sigma_min_active_over_max,condition_active,tail_spectral_mass,error_norm,state_error_relative_l2,shape
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.1,0.000978555702255579,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.2,0.0038548993412237387,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.4,0.013736966782210924,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.6,0.024887492578417603,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.8,0.03267238630673985,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.0,0.03485733951693237,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.25,0.03004936634358113,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.5,0.01968932722158756,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,0.05,0.0013802714098319901,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,0.1,0.005174469693772887,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,0.2,0.01601095104771344,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,0.4,0.023666802643304563,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,0.6,0.0017354650539305183,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,0.8,-0.03190038022254038,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,1.0,-0.06269870304900715,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,1.25,-0.09164390491336216,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,direct_scalar_int4,1.5,-0.11038127598330405,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.20392608642578125,0.1906626671552658,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,0.05,0.0005942664065851089,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,0.1,0.0023458757027271515,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,0.2,0.008690936353593637,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,0.4,0.024800626146103122,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,0.6,0.03183107641637062,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,0.8,0.024522505452194143,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,1.0,0.007182681054193063,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,1.25,-0.018924152560185648,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_scalar_int3_p98_k8,1.5,-0.04265377347457566,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.1350964903831482,0.12630976736545563,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,0.05,0.00031575638665037875,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,0.1,0.0012468200593530598,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,0.2,0.004728912061868318,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,0.4,0.015335857004363351,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,0.6,0.024682432042094082,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,0.8,0.027810166295927585,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,1.0,0.023602247303612933,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,1.25,0.01020420967702862,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_int4_k8,1.5,-0.008106017470984717,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.09667443484067917,0.09038670361042023,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,0.05,0.0003171405410424821,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,0.1,0.0012672302059845153,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,0.2,0.004922451183139942,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,0.4,0.01675796785612782,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,0.6,0.02840551342901987,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,0.8,0.03408400654884769,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,1.0,0.031926457186980395,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,1.25,0.020123029069837872,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
1,128,transformer.h.0.attn.c_proj.weight,structural_vq64_int3_k8,1.5,0.002839237833075714,4.4461252756547e-06,224914.94008853546,5.036238755886999e-06,0.10038351267576218,0.09385453909635544,"(384, 384)"
