seed,update,parameter_id,method,t,exact_polar_distortion,exact_polar_relative_l2,s_perp,s_full
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.6,0.1695576802701555,0.5823361233345415,1.3065539064350566,1.3065539064350546
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.8,0.2339505695941354,0.6840329956868073,1.3065539064350566,1.3065539064350546
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.0,0.2902224322038235,0.7618693223956724,1.3065539064350566,1.3065539064350546
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.25,0.35052909212334793,0.8372921737641453,1.3065539064350566,1.3065539064350546
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.5,0.4017031836631627,0.8963293855086553,1.3065539064350566,1.3065539064350546
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.05,0.0011761359324758969,0.04850022541127463,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.1,0.0046563321974821825,0.09650214710029334,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.2,0.01781867260798109,0.18877856132505427,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.4,0.06094457853146529,0.349126276672106,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.6,0.11262153636363592,0.4745978010139399,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.8,0.16367197760776986,0.5721398039076939,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.0,0.21091862601794853,0.6494899937919714,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.25,0.2636877434329703,0.7262062288812583,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.5,0.3098435567326733,0.7872020791800176,0.9708094608765656,0.9708094608765689
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.05,0.0011419798929871439,0.04779079185336067,0.9552490946015261,0.9552490946015217
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.1,0.004534372359946803,0.09522995705075447,0.9552490946015261,0.9552490946015217
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.2,0.017455013784340445,0.1868422531674159,0.9552490946015261,0.9552490946015217
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.4,0.06039991407293077,0.3475626967122013,0.9552490946015261,0.9552490946015217
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.6,0.11270525500164585,0.4747741673714852,0.9552490946015261,0.9552490946015217
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.8,0.1650800074452865,0.5745955228598347,0.9552490946015261,0.9552490946015217
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.0,0.21417269990367205,0.6544810156202701,0.9552490946015261,0.9552490946015217
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.25,0.2696256107617978,0.7343372668764651,0.9552490946015261,0.9552490946015217
0,1024,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.5,0.3185747715659042,0.7982164763595174,0.9552490946015261,0.9552490946015217
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.05,0.008659478031780687,0.13160150479214697,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.1,0.03138430995451458,0.25053666380198647,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.2,0.09473372062051,0.43527857889059424,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.4,0.21728834716519452,0.6592243126056463,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.6,0.31168783149472623,0.7895414257589342,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.8,0.3842670933328718,0.8766608162030171,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.0,0.44198774720585654,0.9401997098551517,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.25,0.49990381710755216,0.9999038124815323,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.5,0.5466532623215045,1.0456129898977957,2.6746691786394634,2.6746691786394683
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.05,0.002300807780685421,0.06783520886213286,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.1,0.009003664874300932,0.13419139222989365,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.2,0.032920367562413344,0.2565944955076476,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.4,0.10015506435902866,0.44756019563635807,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.6,0.16895636328227892,0.5813026118679929,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.8,0.23097916641039729,0.679675167135589,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.0,0.2852461815950409,0.7553094486302161,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.25,0.34348322544547405,0.8288343929223398,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.5,0.39312800687810023,0.8867107836020715,1.3589183984777786,1.3589183984777762
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.05,0.0013231293711278846,0.05144179956275674,1.0303559805207183,1.030355980520717
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.1,0.005218709304063651,0.10216368536872773,1.0303559805207183,1.030355980520717
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.2,0.019723282662311825,0.1986115941344312,1.0303559805207183,1.030355980520717
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.4,0.06554889571747735,0.3620742899391695,1.0303559805207183,1.030355980520717
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.6,0.11835294811744679,0.4865243017927143,1.0303559805207183,1.030355980520717
0,4096,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.8,0.1689654258836838,0.5813182018201087,1.0303559805207183,1.030355980520717
