seed,update,parameter_id,parameter_name,shape,method,t,finite_cosine_distortion,finite_update_relative_l2,t_s_perp,t_s_full,s_perp,s_full,tail_angle_prior,state_error_relative_l2,gram_fro_prior,first_order_cosine_prediction,finite_vector_mismatch,remainder_radial_fraction,remainder_tangent_fraction,remainder_other_fraction,stable
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.6,0.04572122592786687,0.30198782682418823,0.31608731399906914,0.3160883122223371,0.5268121899984486,0.5268138537038951,0.7242541435228549,0.18107515573501587,0.040740832686424255,0.049955595035573064,0.44231289930889456,0.36805289106073347,0.3135770274208754,0.8753322325012873,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8,0.07546787619404693,0.3879627287387848,0.4214497519987589,0.4214510829631161,0.5268121899984486,0.5268138537038951,0.7242541435228549,0.18107515573501587,0.040740832686424255,0.08880994672990769,0.5517099602045141,0.36980656048725463,0.40324876907943846,0.8370385523119415,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,1.0,0.10862850849337935,0.4658423066139221,0.5268121899984486,0.5268138537038951,0.5268121899984486,0.5268138537038951,0.7242541435228549,0.18107515573501587,0.040740832686424255,0.13876554176548075,0.6386947366035867,0.3729956540018361,0.47451942264401176,0.7973114571039991,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,1.25,0.15259588903361898,0.5533888339996338,0.6585152374980607,0.6585173171298688,0.5268121899984486,0.5268138537038951,0.7242541435228549,0.18107515573501587,0.040740832686424255,0.21682115900856366,0.7257719662774436,0.37690054726329814,0.5448670737534428,0.7490432894111974,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,1.5,0.1975411509751328,0.6317982077598572,0.7902182849976729,0.7902207805558427,0.5268121899984486,0.5268138537038951,0.7242541435228549,0.18107515573501587,0.040740832686424255,0.3122224689723317,0.8012693003540854,0.37814997846552495,0.6009387682428454,0.7041840601783373,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.05,0.00021367147933593067,0.02067224308848381,0.02065814063425829,0.020658147375082436,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.00021337938723239676,0.031067649564294742,0.36662367790178013,0.006675816454530954,0.9303453725775185,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.1,0.0008546612228506056,0.041342925280332565,0.04131628126851658,0.04131629475016487,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.000853517548929587,0.06205448081648994,0.367019810635381,0.02038496735464478,0.929989737420303,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.2,0.0034042447570050705,0.08250269293785095,0.08263256253703316,0.08263258950032974,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.003414070195718348,0.12351518295995957,0.36749874731380583,0.074101105540914,0.9270672558559958,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.4,0.013290667089861818,0.16295087337493896,0.16526512507406632,0.16526517900065948,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.013656280782873393,0.24261592560229014,0.3674060997427562,0.17744667317310334,0.9129761421042661,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.6,0.028661543292682667,0.23917222023010254,0.24789768761109943,0.24789776850098919,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.030726631761465117,0.3534189023393468,0.3664375407673798,0.27160825772705555,0.8899171214505315,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.8,0.04818469347117105,0.30998754501342773,0.33053025014813264,0.33053035800131897,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.05462512313149357,0.45279054971362187,0.3653297780859544,0.3538418413981379,0.861005287161236,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.0,0.07059622402253629,0.3751983046531677,0.41316281268516575,0.41316294750164867,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.08535175489295868,0.5389775428092146,0.3646906783592689,0.42354441582195357,0.8292230320871794,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.25,0.10118559305241492,0.44949018955230713,0.5164535158564572,0.5164536843770609,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.13336211702024792,0.6286257670950781,0.3648116489408793,0.49488970581041036,0.78866763587705,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.5,0.13336467496241122,0.516831636428833,0.6197442190277487,0.619744421252473,0.41316281268516575,0.41316294750164867,0.6335367990052687,0.13606424629688263,0.025208311155438423,0.19204144850915705,0.7023713389700427,0.36533569317816267,0.5525359146594411,0.7491554540290405,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.05,0.00021371628838817713,0.020676637068390846,0.02062224742465835,0.020622994806996617,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.00021263854442191398,0.03142392107486793,0.359988329074636,0.06997554036457554,0.9303288809236802,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.1,0.0008580426215041292,0.04143218323588371,0.0412444948493167,0.041245989613993235,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.0008505541776876559,0.0627907025338319,0.3611381141638488,0.043249630079216235,0.9315088469768571,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.2,0.003443525950052928,0.08300479501485825,0.0824889896986334,0.08249197922798647,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.0034022167107506237,0.12515859752915787,0.36293904444800723,0.010367673993695165,0.9317552046278483,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.4,0.013644946378210343,0.16521084308624268,0.1649779793972668,0.16498395845597294,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.013608866843002495,0.24615398238920222,0.3659406306651469,0.11455645098987938,0.9235606500739189,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.6,0.029830808276334997,0.24421848356723785,0.24746696909590019,0.2474759376839594,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.030619950396755607,0.35815231445494755,0.3686915446601299,0.21058596966094068,0.9053839485423042,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.8,0.05074198268023633,0.31846457719802856,0.3299559587945336,0.3299679169119459,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.05443546737200998,0.45732604517974995,0.3718657970506933,0.2951461486712659,0.8801162309083628,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,1.0,0.07505788243904188,0.387378454208374,0.412444948493167,0.41245989613993234,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.08505541776876559,0.5420232561390912,0.37578239949899905,0.36716837245610723,0.850867189692185,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,1.25,0.1086081445503756,0.46635881066322327,0.5155561856164588,0.5155748701749154,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.13289909026369626,0.6291566576300921,0.38130672152424816,0.4410507460360269,0.8124527208037794,True
1,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,1.5,0.14426516062551653,0.5383549928665161,0.6186674227397505,0.6186898442098985,0.412444948493167,0.41245989613993234,0.6406761020552734,0.15039457380771637,0.03829429671168327,0.19137468997972257,0.7008554444036489,0.386287098207498,0.5007488590650275,0.774617878636603,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.05,0.0004417112129476708,0.029721515253186226,0.02971652966579514,0.029716530169554584,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.0004415360676890413,0.04572922476151191,0.3666731564463759,0.01923179809986796,0.9301510276742478,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.1,0.0017621773904268334,0.0593598410487175,0.05943305933159028,0.05943306033910917,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.0017661442707561652,0.09124620748059431,0.3665497169816368,0.05915592939407609,0.9285159562431726,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.2,0.006950255849220488,0.11785227060317993,0.11886611866318056,0.11886612067821833,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.007064577083024661,0.1807941334889558,0.3656537674397642,0.137066795095979,0.9206030719257845,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.4,0.026221534412861902,0.22870489954948425,0.23773223732636112,0.23773224135643667,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.028258308332098643,0.34829746568779596,0.36234940663509424,0.27877578249598145,0.8893744827714133,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.6,0.054095945439237125,0.32826152443885803,0.35659835598954165,0.356598362034655,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.06358119374722193,0.49187039036353863,0.3592041993395574,0.39498630342341234,0.8455519873341345,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.8,0.08696470157831881,0.41623353958129883,0.47546447465272224,0.47546448271287334,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.11303323332839457,0.6081454312375804,0.3576214653632547,0.48567708052093644,0.7976369230220408,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,1.0,0.1223340122029325,0.4941849410533905,0.5943305933159028,0.5943306033910917,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.1766144270756165,0.701997794788871,0.35699243244988416,0.5562721687784697,0.7504116719614473,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,1.25,0.16763395090319988,0.5799368023872375,0.7429132416448785,0.7429132542388646,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.2759600423056508,0.8008218103495462,0.3550430070826229,0.6250639888037522,0.695154280014481,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,1.5,0.21233272236904155,0.6549964547157288,0.8914958899738541,0.8914959050866376,0.5943305933159028,0.5943306033910917,0.7547774808159673,0.1951698660850525,0.06398998945951462,0.39738246092013707,0.8906148009203669,0.35018143099393556,0.6788806461173521,0.6453634896043556,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.05,0.000360801907894448,0.026863137260079384,0.02680754427509165,0.026807652363673704,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.00035932221503049956,0.04090835527755132,0.3675054101430276,0.031100309194086656,0.9295012341485139,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.1,0.0014457542346009156,0.05377211049199104,0.0536150885501833,0.05361530472734741,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.0014372888601219983,0.08167709605057544,0.36848557888628236,0.004135211513058973,0.9296242672061342,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.2,0.005763182128320277,0.1073412075638771,0.1072301771003666,0.10723060945469481,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.005749155440487993,0.16215441680425213,0.37012428879620707,0.07374532415015947,0.926050559099806,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.4,0.022310743597593774,0.21105195581912994,0.2144603542007332,0.21446121890938963,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.022996621761951972,0.3148067268226679,0.3719830134415994,0.20475054854700592,0.9053760823992274,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.6,0.047266634439268373,0.30694684386253357,0.32169053130109976,0.3216918283640844,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.05174239896439192,0.4496213415374658,0.37312465444730375,0.3178384080986923,0.8716402575494259,True
1,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8,0.07778462039900969,0.39361241459846497,0.4289207084014664,0.42892243781877926,0.536150885501833,0.536153047273474,0.7318296716427004,0.1824498325586319,0.04385269433259964,0.09198648704780789,0.5617840729142689,0.3748537673524787,0.40981333985007556,0.8315874455416835,True
