seed,update,parameter_id,parameter_name,shape,method,state_error_relative_l2,s_perp,s_full,local_cosine_coefficient,derivative_radial_fraction,sigma_min_active_over_max,condition_active,tail_spectral_mass,active_rank,matrix_norm,error_norm,tail_angle_prior,raw_relative_l2_prior,gram_fro_prior,cached_update_distortion_prior
0,1024,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.18349410593509674,0.6003548012079709,0.6003621693488017,0.18021294366673113,0.00495434179921221,0.012117825922990788,82.52305375197129,0.0015553127134844311,384,0.19236326217651367,0.03529752418398857,0.7459236663197213,0.18349410593509674,0.06190783903002739,0.1292431354522705
0,1024,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.1389695107936859,0.47782045974423926,0.47782076558670117,0.11415619587509808,0.0011314394259008907,0.012117825922990788,82.52305375197129,0.0015553127134844311,384,0.19236326217651367,0.02673262730240822,0.6648566177273587,0.1389695107936859,0.03875325992703438,0.08713275194168091
0,1024,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.1509387493133545,0.465784811428406,0.46578506941676306,0.10847774527869787,0.0010525002552501993,0.012117825922990788,82.52305375197129,0.0015553127134844311,384,0.19236326217651367,0.029035070911049843,0.6742938164085606,0.1509387493133545,0.05965028703212738,0.08859741687774658
0,1024,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.22368621826171875,0.6598843044079441,0.6598845822986511,0.21772364760197813,0.0009177364300224914,0.009084325991901402,110.07971322159634,0.0021275325421810077,384,0.5731853246688843,0.12821365892887115,0.7956237697092828,0.22368621826171875,0.07918719202280045,0.15028148889541626
0,1024,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.16699671745300293,0.45916613572979437,0.4591669645266887,0.10541677010051598,0.0018999997422379713,0.009084325991901402,110.07971322159634,0.0021275325421810077,384,0.5731853246688843,0.0957200676202774,0.6913812933995214,0.16699671745300293,0.03165905177593231,0.09319710731506348
0,1024,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.1309482902288437,0.39138279752841165,0.3913836221002132,0.07659024710058283,0.0020527104089745007,0.009084325991901402,110.07971322159634,0.0021275325421810077,384,0.5731853246688843,0.07505764067173004,0.6319974552229364,0.1309482902288437,0.022205771878361702,0.06670814752578735
0,1024,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.14105111360549927,0.3585936006082703,0.35859400948088854,0.06429468519860183,0.0015101057880011555,0.009084325991901402,110.07971322159634,0.0021275325421810077,384,0.5731853246688843,0.08084842562675476,0.6054807713007657,0.14105111360549927,0.02972332388162613,0.061308205127716064
0,2048,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.20226529240608215,2.1569461675351733,2.1569461751829593,2.326208384822336,8.42098887997301e-05,0.001060300636594105,943.1287367818597,3.297268189189675e-05,384,0.34819090366363525,0.07042693346738815,0.927333736541206,0.20226529240608215,0.05655186250805855,0.4507862329483032
0,2048,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.10672333836555481,1.1296143820042337,1.1296393145698524,0.6380143260154034,0.006643947430971241,0.001060300636594105,943.1287367818597,3.297268189189675e-05,384,0.34819090366363525,0.03716009482741356,0.895596663449622,0.10672333836555481,0.017339887097477913,0.30346328020095825
0,2048,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.07725704461336136,0.8413035668460731,0.8413049932218314,0.3538958457939625,0.001841429325804823,0.001060300636594105,943.1287367818597,3.297268189189675e-05,384,0.34819090366363525,0.02690020017325878,0.8621900472181924,0.07725704461336136,0.012462249025702477,0.21496522426605225
