family,sigma_i,sigma_j,e,t,s,angle,linear_angle,cosine,distortion,local_cosine_quadratic_coefficient,numeric_cosine_distortion,formula_abs_error,rotation_angle_error,minimum_eigenvalue,smooth_positive_definite
pure_skew,0.3,0.08,0.15,1.25,0.7894736842105263,0.7787757436547805,0.986842105263158,0.7117739993288008,0.2882260006711992,0.31163434903047094,0.2882260006711993,1.1102230246251565e-16,1.5575514873095608,,
pure_skew,0.3,0.08,0.15,1.5,0.7894736842105263,0.8695364039286192,1.1842105263157894,0.6451808178262721,0.3548191821737279,0.31163434903047094,0.3548191821737279,0.0,1.7390728078572384,,
diagonal,2.0,1.0,0.16999999999999998,0.05,,,,,,,2.220446049250313e-16,,,0.996,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,0.05,,,,,,,0.0,,,0.9999000099980004,True
diagonal,2.0,1.0,0.16999999999999998,0.1,,,,,,,2.220446049250313e-16,,,0.992,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,0.1,,,,,,,0.0,,,0.9996001598721279,True
diagonal,2.0,1.0,0.16999999999999998,0.2,,,,,,,2.220446049250313e-16,,,0.984,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,0.2,,,,,,,0.0,,,0.9984025518406218,True
diagonal,2.0,1.0,0.16999999999999998,0.4,,,,,,,2.220446049250313e-16,,,0.968,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,0.4,,,,,,,1.1102230246251565e-16,,,0.9936404439531135,True
diagonal,2.0,1.0,0.16999999999999998,0.6,,,,,,,2.220446049250313e-16,,,0.952,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,0.6,,,,,,,2.220446049250313e-16,,,0.9858015947127025,True
diagonal,2.0,1.0,0.16999999999999998,0.8,,,,,,,2.220446049250313e-16,,,0.9359999999999999,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,0.8,,,,,,,2.220446049250313e-16,,,0.9750238100637326,True
diagonal,2.0,1.0,0.16999999999999998,1.0,,,,,,,2.220446049250313e-16,,,0.92,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,1.0,,,,,,,2.220446049250313e-16,,,0.9614835192865496,True
diagonal,2.0,1.0,0.16999999999999998,1.25,,,,,,,2.220446049250313e-16,,,0.9,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,1.25,,,,,,,0.0,,,0.9409830056250525,True
diagonal,2.0,1.0,0.16999999999999998,1.5,,,,,,,2.220446049250313e-16,,,0.88,True
symmetric_offdiag,2.0,1.0,0.28284271247461906,1.5,,,,,,,2.220446049250313e-16,,,0.9169048105154699,True
symmetric_crossing_diagnostic,1.0,1.0,1.0,0.8,,,,,,,0.0,,,0.19999999999999996,True
symmetric_crossing_diagnostic,1.0,1.0,1.0,1.0,,,,,,,1.0000000000000002,,,0.0,False
symmetric_crossing_diagnostic,1.0,1.0,1.0,1.2,,,,,,,1.0,,,-0.1999999999999999,False
