seed,update,parameter_id,method,n_t,monotone_non_decreasing,monotone_step_fraction,minimum_step_change,t1_distortion
0,128,transformer.h.4.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.0012941490975753034,0.12856716158425208
0,128,transformer.h.4.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.001276294739453454,0.13204134693051928
0,128,transformer.h.4.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.004098809580189933,0.25444256490957284
0,128,transformer.h.4.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0017014854057184614,0.159626148791282
0,128,transformer.h.4.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0012691949806677982,0.12367363060188907
0,128,transformer.h.4.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0010678500221075193,0.11510379291270212
0,128,transformer.h.5.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.03137396075614607,0.536669166727044
0,128,transformer.h.5.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.006406848477740534,0.35806525239482423
0,128,transformer.h.5.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.003634970079761657,0.26536719886189397
0,128,transformer.h.5.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.0034514397428221377,0.26235266024899806
0,128,transformer.h.5.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.035238773803072165,0.5589018878285483
0,128,transformer.h.5.attn.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.006253799486815592,0.3613094492769495
0,128,transformer.h.5.attn.c_proj.weight,structural_int4_k8,9,True,1.0,0.0036147202108511856,0.2692431833981752
0,128,transformer.h.5.attn.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.003374465477185007,0.26395503870440473
0,128,transformer.h.5.mlp.w1.weight,direct_scalar_int4,9,True,1.0,0.00566095330447669,0.2997898181333897
0,128,transformer.h.5.mlp.w1.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.002170370559728907,0.19292538908889412
0,128,transformer.h.5.mlp.w1.weight,structural_int4_k8,9,True,1.0,0.0013261667459166793,0.13300308517467374
0,128,transformer.h.5.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.0012877029698874498,0.13572359498785758
0,128,transformer.h.5.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.005616163575141719,0.2967032962304089
0,128,transformer.h.5.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.002228663419261312,0.19625027409556262
0,128,transformer.h.5.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.0013546994116833133,0.13435516190474261
0,128,transformer.h.5.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.001332090103916883,0.13910425803627757
0,128,transformer.h.5.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.005128319728455177,0.2848740140079268
