row_bin_label,col_bin_label,energy,energy_fraction
"[-4,-3.5)","[-1.5,-1)",0.005768074748999652,0.003867260006986824
"[-4,-3.5)","[-2,-1.5)",0.009353276282013212,0.006270992120204628
"[-4,-3.5)","[-2.5,-2)",0.010000498679687553,0.006704928468651948
"[-4,-3.5)","[-3,-2.5)",0.007864300791084133,0.005272694487454248
"[-4,-3.5)","[-3.5,-3)",0.004312498264084752,0.002891355052183993
"[-4,-3.5)","[-4.5,-4)",0.0006027481335877383,0.00040411815948017497
"[-4,-3.5)","[-5,-4.5)",0.00019669862163596008,0.0001318784422851153
"[-4,-3.5)","[-5.5,-5)",7.558681789987531e-05,5.067789351555805e-05
"[-4,-3.5)","[-6,-5.5)",3.319765306741829e-05,2.2257678969176953e-05
"[-4.5,-4)","[-0.5,0)",0.00015820604623684176,0.00010607073280063752
"[-4.5,-4)","[-1,-0.5)",0.000617880777042501,0.00041426398271915855
"[-4.5,-4)","[-1.5,-1)",0.0019079119490470475,0.0012791775242998631
"[-4.5,-4)","[-2,-1.5)",0.003180430972861359,0.002132349881294798
"[-4.5,-4)","[-2.5,-2)",0.0034792743056186737,0.0023327122065797557
"[-4.5,-4)","[-3,-2.5)",0.0026563620392607845,0.0017809829320073907
"[-4.5,-4)","[-3.5,-3)",0.0014938077780470849,0.0010015374851321452
"[-4.5,-4)","[-4,-3.5)",0.0006285694998666713,0.000421430337543331
"[-4.5,-4)","[-5,-4.5)",7.04407631246795e-05,4.7227672654718865e-05
"[-4.5,-4)","[-5.5,-5)",2.3802977867859454e-05,1.5958930555040022e-05
"[-4.5,-4)","[-6,-5.5)",1.2935585905982094e-05,8.672785325783578e-06
"[-5,-4.5)","[-0.5,0)",5.361049608998414e-05,3.5943661707829865e-05
"[-5,-4.5)","[-1,-0.5)",0.0002027061042895184,0.00013590621557512032
"[-5,-4.5)","[-1.5,-1)",0.0005906790652261407,0.00039602633899804774
"[-5,-4.5)","[-2,-1.5)",0.0009701910433932426,0.0006504737168848592
"[-5,-4.5)","[-2.5,-2)",0.0010748085013574382,0.0007206154762800066
"[-5,-4.5)","[-3,-2.5)",0.0008695327064174307,0.0005829863874212681
"[-5,-4.5)","[-3.5,-3)",0.0004700867802114317,0.00031517410644516327
"[-5,-4.5)","[-4,-3.5)",0.00019116688773124224,0.0001281696392217156
"[-5,-4.5)","[-4.5,-4)",6.998472398933586e-05,4.692191692399759e-05
