seed,update,bin_label,tensor_count,diagonal_energy,left_associated_energy,right_associated_energy,cross_mode_energy,total_energy,residual_fraction,aggregation
0,512,"[-1,-0.5)",30,0.001762420578415913,0.02171193470712751,0.023482991582568502,0.019949514011386782,0.17939390722312964,0.12102938747034629,group
0,512,"[-1.5,-1)",30,0.0009224249517956196,0.052432867014431395,0.051415800080576446,0.05151044376543723,0.17939390722312964,0.2922778584069499,group
0,512,"[-2,-1.5)",30,0.00022428079074643392,0.04389235608687159,0.04162477362842765,0.04366807416226948,0.17939390722312964,0.244670272063802,group
0,512,"[-2.5,-2)",15,7.376277252291175e-05,0.026209592157101724,0.026378319161267427,0.026135828860788024,0.11504110012901947,0.2278280729905005,group
0,512,"[-3,-2.5)",12,4.49574429239874e-05,0.017167684112791903,0.01809290994424373,0.017122726698289625,0.10801050945883617,0.15894457121632846,group
0,512,"[-3.5,-3)",7,2.099900792629228e-05,0.00804828156651638,0.008079372193606105,0.008027282614420983,0.09986048541031778,0.08059525780839852,group
0,512,"[-4,-3.5)",6,7.935474741316284e-06,0.00288297061342746,0.002849466196494177,0.0028750351048074663,0.09882836323231459,0.029171490037232507,group
0,512,"[-4.5,-4)",6,2.8386314312456307e-06,0.0009220992942573503,0.0009080443633138202,0.0009192606485157739,0.09882836323231459,0.009330310288452144,group
0,512,"[-5,-4.5)",6,3.978904867807387e-07,0.00033450551018177066,0.0003111047662969213,0.00033410762080166023,0.09882836323231459,0.0033847116277282946,group
0,512,"[-5.5,-5)",3,3.6285081972398103e-07,0.00011744176299544051,0.00011418786925787572,0.00011707890917023178,0.03789359051734209,0.0030992513876903012,group
0,512,"[-6,-5.5)",1,4.7338691189224846e-08,4.997567884856835e-05,5.628315921057947e-05,4.992834146833047e-05,0.020266998559236526,0.002465864824655663,group
0,1024,"[-0.5,0)",30,0.0016683268545421015,0.005265279425657354,0.0050236955594300525,0.0035969524851680035,0.16569038544548675,0.031777821093847754,group
0,1024,"[-1,-0.5)",30,0.0016179806661966722,0.018692575496970676,0.02011219949781662,0.017074594397854526,0.16569038544548675,0.11281629556665289,group
0,1024,"[-1.5,-1)",30,0.0009076426665615145,0.04532696621026844,0.04453596592065878,0.04441932396730408,0.16569038544548675,0.2735642511084707,group
0,1024,"[-2,-1.5)",30,0.00021565322333572112,0.03874487156281248,0.03707343194400892,0.03852921745419735,0.16569038544548675,0.23383898503609793,group
0,1024,"[-2.5,-2)",15,7.035739075078595e-05,0.024790071742700093,0.025383407702065597,0.024719713930153375,0.11107120860833675,0.2231907985274179,group
0,1024,"[-3,-2.5)",12,4.8493440274910427e-05,0.018874239671276882,0.019398161384742707,0.018825745741196442,0.1017238216008991,0.18554395002310903,group
0,1024,"[-3.5,-3)",9,2.5114563959149905e-05,0.009347718739718403,0.009604809883967391,0.009322604122644407,0.09692059515509754,0.09644718673837775,group
0,1024,"[-4,-3.5)",6,6.329734858923075e-06,0.003082685769186355,0.0030599221645388752,0.0030763561808271334,0.08463808102533221,0.03642197143226471,group
0,1024,"[-4.5,-4)",6,1.996445920582346e-06,0.001022213644318981,0.0009792046039365232,0.0010202171906712465,0.08463808102533221,0.012077467162955078,group
0,1024,"[-5,-4.5)",6,1.2027302331851786e-06,0.00034609832073329017,0.0003284939975856105,0.0003448955849307822,0.08463808102533221,0.004089156045843039,group
0,1024,"[-5.5,-5)",2,1.0812820150363223e-07,0.00017037348152371123,0.0001662229187786579,0.00017026535715558566,0.042799146845936775,0.003980768171314284,group
0,1024,"[-6,-5.5)",1,5.7672668418717876e-08,2.7293164748698473e-05,2.4869224944268353e-05,2.7235491870669648e-05,0.009393006563186646,0.0029056899476326,group
0,2048,"[-0.5,0)",30,0.00190794411173556,0.00638548114693549,0.005657140449329745,0.00447753708158416,0.1914994259714149,0.033344649022021874,group
0,2048,"[-1,-0.5)",30,0.0018778202315843373,0.02347446233034134,0.02462194448162336,0.02159664232749492,0.1914994259714149,0.12258241616789688,group
0,2048,"[-1.5,-1)",30,0.0011401320226696043,0.05413272645091638,0.05362444938509725,0.052992593744420446,0.1914994259714149,0.28267827005913204,group
0,2048,"[-2,-1.5)",29,0.0002619604578342205,0.04426165408222005,0.04321635733322182,0.04399969316818897,0.18622276181122288,0.2376812246350896,group
0,2048,"[-2.5,-2)",13,6.960302579273048e-05,0.028375694499118254,0.02888322369835805,0.02830609102966264,0.1283716041361913,0.22104338954130437,group
0,2048,"[-3,-2.5)",12,4.7400184513435306e-05,0.02042991592315957,0.0216682885074988,0.020382515838718973,0.1173110114177689,0.17415173287019403,group
0,2048,"[-3.5,-3)",8,2.1996332701945676e-05,0.009387001675349893,0.009128707100899192,0.009365005077597743,0.10846730158664286,0.08654222551901161,group
0,2048,"[-4,-3.5)",6,7.402385271859657e-06,0.0034393630921840668,0.0031462377155548893,0.0034319605911150575,0.09561490453779697,0.035970993317516436,group
0,2048,"[-4.5,-4)",6,1.2258897665873292e-06,0.0010265331347909523,0.0009879244444164215,0.0010253072614432313,0.09561490453779697,0.01073612047988982,group
0,2048,"[-5,-4.5)",5,8.045056888450475e-07,0.0003405633706279332,0.000292274313778762,0.0003397588607185753,0.09284319076687098,0.0036681566824118203,group
0,2048,"[-5.5,-5)",2,4.789873564448044e-08,0.0001130907803599257,0.00013810485324938782,0.00011304288636893034,0.049688590690493584,0.0022759909023051085,group
0,2048,"[-6,-5.5)",2,1.0716868348303876e-07,7.466501847375184e-05,8.052330076679937e-05,7.455785316778929e-05,0.032041906379163265,0.002330230217584876,group
0,4096,"[-0.5,0)",30,0.002989965305914666,0.008811260249785846,0.006867394507935387,0.0058212947951687966,0.24835335602983832,0.035478724308952846,group
0,4096,"[-1,-0.5)",30,0.0021885218948227703,0.02315573828673223,0.025120610967860557,0.020967216521967202,0.24835335602983832,0.09323706615806791,group
0,4096,"[-1.5,-1)",30,0.0017015491575875785,0.06744592149334494,0.06630515170400031,0.06574437083327211,0.24835335602983832,0.2715724183136936,group
0,4096,"[-2,-1.5)",29,0.00046198060064894797,0.0631942854895442,0.06015974835918314,0.06273230328679347,0.24298660177737474,0.26007312760167345,group
0,4096,"[-2.5,-2)",13,0.00010756355322882882,0.037947222794173285,0.039437944535166025,0.037839659649762325,0.17158745642518625,0.22115382781910187,group
0,4096,"[-3,-2.5)",12,7.123368499151184e-05,0.02739244316762779,0.03044897736981511,0.027321209796355106,0.155557474528905,0.17609210518866997,group
0,4096,"[-3.5,-3)",11,2.591181149291799e-05,0.012881279635848841,0.013023098837493308,0.012855367504698734,0.15448647848097607,0.08338127558157189,group
0,4096,"[-4,-3.5)",6,1.1553870237435149e-05,0.00499777610093588,0.004731525030365447,0.004986222178558819,0.12059937021695077,0.041441145935880025,group
0,4096,"[-4.5,-4)",6,3.3866836259832667e-06,0.0016852562839630991,0.0015343292079705861,0.0016818696185509907,0.12059937021695077,0.013974005676243812,group
0,4096,"[-5,-4.5)",5,2.0175759338769694e-06,0.0005577061865551514,0.0004998095364499022,0.0005556886121667048,0.11797405499964952,0.004727363033819667,group
0,4096,"[-5.5,-5)",4,1.912389184927088e-07,0.0002149279353034217,0.00016501162917847978,0.00021473669812621665,0.08336879755370319,0.0025780380863112823,group
0,4096,"[-6,-5.5)",1,8.588757793859259e-08,6.954529817448929e-05,5.9756443079095334e-05,6.945941277081147e-05,0.02477215602993965,0.002807397874066221,group
1,128,"[-0.5,0)",30,0.003007001047308222,0.007860510717364377,0.008474335335449723,0.004853509687109181,0.2425014146429021,0.03241428809369814,group
1,128,"[-1,-0.5)",30,0.0016304466024621433,0.016344699415640207,0.018302038790352526,0.014714253464262583,0.2425014146429021,0.06740042914681038,group
1,128,"[-1.5,-1)",30,0.0009545471700675989,0.05128275129391113,0.052575924470147584,0.05032820501946844,0.2425014146429021,0.21147402941722243,group
1,128,"[-2,-1.5)",30,0.0003583187450999503,0.06848871932015754,0.06419287195603829,0.06813039870758075,0.2425014146429021,0.282426060982,group
1,128,"[-2.5,-2)",24,0.00011368561696656343,0.04175276603200473,0.04110107589804102,0.041639081111497944,0.2020119778753724,0.20668460588888118,group
1,128,"[-3,-2.5)",12,7.488279106837581e-05,0.02971319579228293,0.030478754546493292,0.02963831262604799,0.16722993308212608,0.1776786921136354,group
1,128,"[-3.5,-3)",10,4.1760720133510176e-05,0.016192292168852873,0.016494653456902597,0.016150532148458296,0.1627141839126125,0.09951371035698478,group
1,128,"[-4,-3.5)",7,2.4113917161727727e-05,0.007050518820051366,0.007101560100636561,0.007026404720818391,0.15794964088127017,0.04463776416782866,group
1,128,"[-4.5,-4)",6,1.0743332609308709e-05,0.002642880834173411,0.0025986009859479964,0.002632137417094782,0.15599198266863823,0.016942414532851214,group
1,128,"[-5,-4.5)",5,1.8255346461160116e-06,0.0006151822017272934,0.000614973483607173,0.0006133566857897677,0.114406056702137,0.005377182113084774,group
1,128,"[-5.5,-5)",4,8.635271585566429e-07,0.0004060645696881693,0.0003959865207434632,0.0004052010517625604,0.11404134705662727,0.0035606784746810977,group
1,128,"[-6,-5.5)",2,5.232864310755758e-07,9.780466280062683e-05,0.00011439881200203672,9.728137592901476e-05,0.04071326367557049,0.0024022800918147313,group
1,512,"[-0.5,0)",30,0.002022127527880002,0.005936964287684532,0.006270474294979067,0.0039148368377937,0.18768551002722234,0.03163251274338345,group
1,512,"[-1,-0.5)",30,0.0021182536170272215,0.020512555114692077,0.02263692595079192,0.01839430111431284,0.18768551002722234,0.10929216172157824,group
1,512,"[-1.5,-1)",30,0.0012454294683266198,0.05154646770097315,0.05104467459022999,0.050301037495955825,0.18768551002722234,0.27464276647407004,group
1,512,"[-2,-1.5)",30,0.0003084374986883631,0.04916142213187413,0.045823274544090964,0.04885298540466465,0.18768551002722234,0.261935096240214,group
1,512,"[-2.5,-2)",17,7.830831817326467e-05,0.027896100153839143,0.028180001027749313,0.02781779084386926,0.12245845075813122,0.2278005313731837,group
1,512,"[-3,-2.5)",12,4.965669478451673e-05,0.018502060673199594,0.019582351378630847,0.01845240406692028,0.11370281782001257,0.16272297404702568,group
1,512,"[-3.5,-3)",9,3.0415171806907892e-05,0.009046820685739476,0.009120175714542711,0.009016406083674156,0.10747055383399129,0.08417952976881474,group
1,512,"[-4,-3.5)",6,7.0449212898893165e-06,0.0033313539752271026,0.0032895731565076858,0.003324309131130576,0.10397407226264477,0.03204023755857039,group
1,512,"[-4.5,-4)",6,2.4446415665124732e-06,0.0012457020056899637,0.0012120892206439748,0.0012432573857950047,0.10397407226264477,0.011980890798844979,group
1,512,"[-5,-4.5)",5,1.8470913332180317e-07,0.0002988723244925495,0.0002996600633196067,0.00029868761157558765,0.06850325874984264,0.004362892071805797,group
1,512,"[-5.5,-5)",2,6.707052691012905e-08,0.00013544440298574045,0.00015097230425453745,0.0001353773332084529,0.05838487856090069,0.002319854152723119,group
1,512,"[-6,-5.5)",1,4.569955081024091e-08,4.060323772137053e-05,4.504216485656798e-05,4.055753743159585e-05,0.015570631250739098,0.002607680900505765,group
1,1024,"[-0.5,0)",30,0.0017545628757034137,0.0050547277323858,0.005071636730463069,0.003300164909887826,0.16828713659197092,0.030036328591421073,group
1,1024,"[-1,-0.5)",30,0.0019868459316967346,0.019864875546772964,0.021842929018021096,0.0178780305213877,0.16828713659197092,0.11804155652691002,group
1,1024,"[-1.5,-1)",30,0.0011126308412485741,0.04804451832023915,0.04716287065821234,0.04693188799137715,0.16828713659197092,0.28549132924358867,group
