rank,family,size,component,index,value_0,value_1
4,polar_8x8_sqrt,64,0,15,-0.4629100263118744,0.4629100263118744
4,polar_8x8_sqrt,64,0,16,-0.4629099667072296,-0.46291011571884155
4,polar_8x8_sqrt,64,0,17,-0.37796446681022644,-3.3042702796137746e-08
4,polar_8x8_sqrt,64,0,18,-0.37796446681022644,0.37796446681022644
4,polar_8x8_sqrt,64,0,19,-0.37796440720558167,-0.3779645264148712
4,polar_8x8_sqrt,64,0,20,-0.26726123690605164,0.26726123690605164
4,polar_8x8_sqrt,64,0,21,-0.26726117730140686,-0.267261266708374
4,polar_8x8_sqrt,64,0,22,-4.371138828673793e-08,1.0
4,polar_8x8_sqrt,64,0,23,-4.046888335551557e-08,0.9258201122283936
4,polar_8x8_sqrt,64,0,24,-3.694286832001126e-08,0.8451542854309082
4,polar_8x8_sqrt,64,0,25,-3.3042702796137746e-08,0.7559289336204529
4,polar_8x8_sqrt,64,0,26,-2.861582082402947e-08,0.6546536684036255
4,polar_8x8_sqrt,64,0,27,-2.3364719936580514e-08,0.5345224738121033
4,polar_8x8_sqrt,64,0,28,-1.6521351398068873e-08,0.37796446681022644
4,polar_8x8_sqrt,64,0,29,4.507181294854945e-09,-0.37796446681022644
4,polar_8x8_sqrt,64,0,30,6.3741167899422635e-09,-0.5345224738121033
4,polar_8x8_sqrt,64,0,31,7.806666424414743e-09,-0.6546536684036255
4,polar_8x8_sqrt,64,0,32,9.01436258970989e-09,-0.7559289336204529
4,polar_8x8_sqrt,64,0,33,1.0078363921195432e-08,-0.8451542854309082
4,polar_8x8_sqrt,64,0,34,1.1040294012332197e-08,-0.9258201122283936
4,polar_8x8_sqrt,64,0,35,1.1924880638503055e-08,-1.0
4,polar_8x8_sqrt,64,0,36,0.26726123690605164,0.26726123690605164
4,polar_8x8_sqrt,64,0,37,0.2672613263130188,-0.2672611474990845
4,polar_8x8_sqrt,64,0,38,0.37796446681022644,0.0
4,polar_8x8_sqrt,64,0,39,0.37796446681022644,0.37796446681022644
4,polar_8x8_sqrt,64,0,40,0.377964586019516,-0.3779643177986145
4,polar_8x8_sqrt,64,0,41,0.4629100263118744,0.4629100263118744
4,polar_8x8_sqrt,64,0,42,0.4629102051258087,-0.46290987730026245
4,polar_8x8_sqrt,64,0,43,0.5345224738121033,0.0
4,polar_8x8_sqrt,64,0,44,0.5345224738121033,0.5345224738121033
4,polar_8x8_sqrt,64,0,45,0.5345226526260376,-0.534522294998169
4,polar_8x8_sqrt,64,0,46,0.5976142883300781,0.5976142883300781
4,polar_8x8_sqrt,64,0,47,0.5976145267486572,-0.5976141095161438
4,polar_8x8_sqrt,64,0,48,0.6546536684036255,0.0
4,polar_8x8_sqrt,64,0,49,0.6546536684036255,0.6546536684036255
4,polar_8x8_sqrt,64,0,50,0.6546539068222046,-0.6546534299850464
4,polar_8x8_sqrt,64,0,51,0.7071067690849304,0.7071067690849304
4,polar_8x8_sqrt,64,0,52,0.7071070075035095,-0.7071065306663513
4,polar_8x8_sqrt,64,0,53,0.7559289336204529,0.0
4,polar_8x8_sqrt,64,0,54,0.8451542854309082,0.0
4,polar_8x8_sqrt,64,0,55,0.9258201122283936,0.0
4,polar_8x8_sqrt,64,0,56,1.0,0.0
4,polar_16x4_uniform,64,0,0,0.0,0.0
4,polar_16x4_uniform,64,0,1,-1.0,-8.742277657347586e-08
4,polar_16x4_uniform,64,0,2,-0.9238796234130859,0.38268327713012695
4,polar_16x4_uniform,64,0,3,-0.9238795042037964,-0.3826834559440613
4,polar_16x4_uniform,64,0,4,-0.7071067690849304,0.7071067690849304
4,polar_16x4_uniform,64,0,5,-0.7071066498756409,-0.70710688829422
4,polar_16x4_uniform,64,0,6,-0.6666666269302368,-5.828184868050812e-08
4,polar_16x4_uniform,64,0,7,-0.6159197092056274,0.2551221549510956
4,polar_16x4_uniform,64,0,8,-0.6159196496009827,-0.25512227416038513
4,polar_16x4_uniform,64,0,9,-0.471404492855072,0.471404492855072
4,polar_16x4_uniform,64,0,10,-0.47140440344810486,-0.4714045524597168
4,polar_16x4_uniform,64,0,11,-0.38268351554870605,0.9238795042037964
4,polar_16x4_uniform,64,0,12,-0.382683128118515,-0.9238796830177307
