seed,update,parameter_id,parameter_name,shape,numel,k,codebook_family,method,candidate_scales_per_block,number_of_blocks,storage_ratio_vs_fp32,residual_relative_l2,residual_cosine,residual_mse,full_state_raw_relative_l2,full_state_raw_cosine,full_state_raw_norm_ratio,scale_over_absmax_mean,scale_over_absmax_median,scale_mean,block_absmax_mean,zero_fraction,clipping_fraction,mae,median_ae,mse,small_lt_001_mae,small_001_005_mae,middle_005_025_mae,large_ge_025_mae,small_lt_005_mae,block_count,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,estimated_block_passes,estimated_scale_reductions,scale_scalar_metadata_count,evaluation_wall_seconds,source_seed_role,transform_steps,mean_absolute_error
1,1024,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",442368,4,mulaw_mu5,percentile:p=98,1,216,0.10119798448350695,0.25009796023368835,0.9706034660339355,3.7783562945037374e-09,0.14291886985301971,0.9900280237197876,1.0138657093048096,0.5811232328414917,0.5811020731925964,0.00039089054916985333,0.0006655578035861254,0.14686188874421297,0.02001953125,3.0941075237933546e-05,5.76565525989281e-06,3.7783562945037374e-09,3.348213340359507e-06,1.947453711181879e-05,2.6298472221242264e-05,5.0011534767691046e-05,1.6220441466430202e-05,216,0.9156200885772705,0.6112282276153564,1.0716146230697632,,,,1,1,216,0.2371236970066093,held_out,5,
1,1024,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",442368,8,global_lloyd_max,percentile:p=98,1,216,0.10814695005063657,0.2495354264974594,0.9684158563613892,2.7522477630270714e-09,0.12198994308710098,0.9925409555435181,0.9951475858688354,0.5861188173294067,0.5900771617889404,0.0003358002577442676,0.0005653893458656967,0.1866522894965278,0.02001953125,2.6128489480470307e-05,5.090248123451602e-06,2.7522477630270714e-09,2.721215651035891e-06,1.6285155652440153e-05,1.8530448869569227e-05,4.895404345006682e-05,1.3513797966879793e-05,216,0.8837026953697205,0.6405743360519409,1.077905297279358,,,,1,1,216,0.22534035102580674,held_out,5,
1,1024,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",147456,4,mulaw_mu5,percentile:p=98,1,72,0.10470072428385417,0.2644372880458832,0.9657569527626038,4.51943513724018e-08,0.1454501748085022,0.9894769787788391,1.004232406616211,0.5092489123344421,0.508700430393219,0.002032062504440546,0.004047676920890808,0.15437825520833334,0.02001953125,0.00015595804143231362,0.00012363225687295198,4.51943513724018e-08,2.0580311684170738e-05,0.00011511801858432591,0.0001335106062470004,0.00029685202753171325,9.61210680543445e-05,72,0.9161354899406433,0.6137163043022156,1.0784194469451904,,,,1,1,72,0.08279767198837362,held_out,5,
1,1024,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",147456,8,global_lloyd_max,percentile:p=98,1,72,0.1151309543185764,0.2577858865261078,0.9662173986434937,3.163269113315437e-08,0.12168820947408676,0.992570698261261,0.9912014007568359,0.5248510241508484,0.5208831429481506,0.001707151415757835,0.0033004169818013906,0.18886311848958334,0.02001953125,0.00012929871445521712,0.00010323536116629839,3.163269113315437e-08,1.6705142115824856e-05,9.655943722464144e-05,9.339319512946531e-05,0.0002745399542618543,7.997699140105397e-05,72,0.878241777420044,0.6465807557106018,1.0817503929138184,,,,1,1,72,0.0755354080174584,held_out,5,
1,1024,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",393216,4,mulaw_mu5,percentile:p=98,1,192,0.10141690572102864,0.2595098614692688,0.9673871397972107,4.1045691290264585e-09,0.2092057168483734,0.9785811901092529,1.015654444694519,0.5579703450202942,0.5569000244140625,0.0006259928923100233,0.0011433286126703024,0.1629791259765625,0.02001953125,4.708938649855554e-05,3.687669595819898e-05,4.1045691290264585e-09,6.0537522585946135e-06,3.509023372316733e-05,4.1223571315640584e-05,7.841601473046467e-05,2.9194203307270072e-05,192,0.505470871925354,0.8723629713058472,1.000832438468933,,,,1,1,192,0.4271612339944113,held_out,5,
1,1024,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",393216,8,global_lloyd_max,percentile:p=98,1,192,0.10858345031738281,0.25544413924217224,0.9668452143669128,3.321119379506854e-09,0.18818512558937073,0.9821417331695557,0.9810944199562073,0.5632070899009705,0.5643516182899475,0.0005688539822585881,0.001028789090923965,0.203948974609375,0.02001953125,4.182397969998419e-05,3.3035485103027895e-05,3.321119379506854e-09,5.4203314903134014e-06,3.1517291063209996e-05,3.108068267465569e-05,8.107998291961849e-05,2.6210542273474857e-05,192,0.47927454113960266,0.8849658966064453,0.9983541369438171,,,,1,1,192,0.21943577998899855,held_out,5,
1,1024,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",393216,4,mulaw_mu5,percentile:p=98,1,192,0.10141690572102864,0.26089078187942505,0.9670141935348511,4.0763459274728575e-09,0.2102067917585373,0.9783976078033447,1.0162372589111328,0.5562136769294739,0.5644413828849792,0.0006259226356633008,0.0011538666440173984,0.1674067179361979,0.02001953125,4.663573417929001e-05,3.63474027835764e-05,4.0763459274728575e-09,6.220493105502101e-06,3.527884837239981e-05,4.119715595152229e-05,7.775223639328033e-05,2.9313254344742745e-05,192,0.5167564153671265,0.8662724494934082,0.9983876943588257,,,,1,1,192,0.2815605219802819,held_out,5,
1,1024,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",393216,8,global_lloyd_max,percentile:p=98,1,192,0.10858345031738281,0.2560548186302185,0.9666988253593445,3.2645990355462118e-09,0.18811127543449402,0.9821563959121704,0.9831414818763733,0.5639839768409729,0.5670468807220459,0.0005683439667336643,0.0010295020183548331,0.2107671101888021,0.02001953125,4.126569183426909e-05,3.2592419302091e-05,3.2645990355462118e-09,5.447044713946525e-06,3.1743518775328994e-05,3.109737008344382e-05,8.013426122488454e-05,2.6298632292309776e-05,192,0.489996075630188,0.8795201182365417,0.9963147044181824,,,,1,1,192,0.20181546799722128,held_out,5,
1,1024,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",393216,4,mulaw_mu5,percentile:p=98,1,192,0.10141690572102864,0.27366796135902405,0.9629337787628174,3.529564551740805e-08,0.2112133651971817,0.9778478741645813,1.005866289138794,0.46481576561927795,0.47470852732658386,0.0017802560469135642,0.003930925857275724,0.16974894205729166,0.02001953125,0.00013349912478588521,0.00010516704060137272,3.529564551740805e-08,2.0348194084363058e-05,0.00010038604523288086,0.0001178089514723979,0.0002948745677713305,8.410604641539976e-05,192,0.44776350259780884,0.9010763764381409,1.0125123262405396,,,,1,1,192,0.22741201499593444,held_out,5,
1,1024,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",393216,8,global_lloyd_max,percentile:p=98,1,192,0.10858345031738281,0.26366814970970154,0.9646484851837158,2.8047686839727248e-08,0.1882735788822174,0.982132077217102,0.9780566692352295,0.4918520748615265,0.4926277995109558,0.0016321437433362007,0.003395156003534794,0.2107671101888021,0.02001953125,0.00011900172103196383,9.53722046688199e-05,2.8047686839727248e-08,1.753443939378485e-05,9.450310608372092e-05,9.024669270729646e-05,0.0002806084230542183,7.883281068643555e-05,192,0.4219542443752289,0.9118914008140564,1.0097628831863403,,,,1,1,192,0.1841103270126041,held_out,5,
