seed,update,parameter_id,parameter_name,shape,numel,rank,method,evaluation_scope,pairing,codewords,nominal_bits_per_value,scale,paired_vectors,singleton_values,zero_pair_fraction,codebook_occupied,mean_vector_error,mean_alpha,storage_ratio_vs_fp32_unamortized,persistent_bits_unamortized,shared_codebook_bits,fp32_bits,vector_mean_magnitude_relative_error,vector_mean_direction_cosine,vector_mean_angular_error_deg,vector_small_norm_magnitude_error,vector_large_norm_magnitude_error,residual_relative_l2,residual_cosine,residual_norm_ratio,full_state_raw_relative_l2,full_state_raw_cosine,full_state_raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,evaluation_wall_seconds,source_seed_role,scalar_int3_update_cosine,delta_vs_scalar_int3,structural_int4_update_cosine,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,spectral_danger_diagonal_fraction_error,spectral_danger_cross_fraction_error,spectral_danger_associated_fraction_error,spectral_local_mixing_fraction_error,spectral_medium_mixing_fraction_error,spectral_distant_mixing_fraction_error,spectral_danger_diagonal_energy,spectral_danger_cross_energy,storage_ratio_amortized_global_codebook
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,8,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,196608,0,0.1470133513212204,57,9.665644756751135e-05,0.0007029366679489613,0.10887336730957031,1369944,3648,12582912,0.28923898935317993,0.8312247395515442,22.810781478881836,0.5034095644950867,0.07507273554801941,0.301289826631546,0.9535399079322815,0.9530985951423645,0.19158324599266052,0.9814834594726562,0.9811818599700928,0.423871785402298,0.9110985398292542,1.0098785161972046,0.5384929779975209,held_out,0.9317583441734314,-0.020659804344177246,,0.42817413806915283,0.9083379507064819,1.0000007152557373,0.0,0.0,0.0,0.6247185468673706,0.17934291064739227,0.001756954938173294,0.0,0.0,0.1091612316313244
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,8,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,196608,0,0.1129506453871727,49,7.955355249578133e-05,0.0007029366679489613,0.10883267720540364,1369432,3136,12582912,0.300056517124176,0.8812963962554932,15.166937828063965,0.44973790645599365,0.15037816762924194,0.24902939796447754,0.9685279130935669,0.9606633186340332,0.1583566963672638,0.9873939752578735,0.9842387437820435,0.35246554017066956,0.9383440017700195,1.0069812536239624,0.4767977820010856,held_out,0.9317583441734314,0.006585657596588135,,,,,,,,,,,,,0.10915890648251488
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,8,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,196608,0,0.00011698404705384746,33,0.00032769329845905304,0.0007029366679489613,0.10875129699707031,1368408,2112,12582912,0.9653537273406982,0.9981937408447266,2.86413311958313,0.9468141794204712,0.9838929176330566,0.9848518371582031,0.841530978679657,0.018057890236377716,0.6262035369873047,0.7797058820724487,0.771765947341919,0.746734082698822,0.7337707877159119,0.42388617992401123,0.48058338099508546,held_out,0.9317583441734314,-0.19798755645751953,,,,,,,,,,,,,0.10915425618489584
1,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,221184,0,0.14275896549224854,57,6.929123628651723e-05,0.0005038290983065963,0.1014556884765625,1436184,3648,14155776,0.28063875436782837,0.835401177406311,22.472118377685547,0.3811872899532318,0.1800920069217682,0.27223846316337585,0.9622358083724976,0.9613417387008667,0.15945665538311005,0.9872060418128967,0.9872161149978638,0.8835965394973755,0.614851176738739,1.0133250951766968,0.6201861610170454,held_out,0.6530155539512634,-0.038164377212524414,,0.8462415337562561,0.6419390439987183,1.0000004768371582,0.0012742375256493688,0.5942121744155884,0.5954864025115967,0.41757461428642273,0.42635807394981384,0.05136044695973396,2.8770330118277343e-06,0.001341640017926693,0.1017149425688244
1,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,221184,0,0.11078106611967087,49,5.698236054740846e-05,0.0005038290983065963,0.10141951949508102,1435672,3136,14155776,0.29403260350227356,0.8834553956985474,14.987700462341309,0.37469643354415894,0.21337027847766876,0.21911144256591797,0.9757001996040344,0.9752528667449951,0.12833917140960693,0.9917314052581787,0.9916524887084961,0.8144932389259338,0.67503821849823,1.0201081037521362,0.5184313020145055,held_out,0.6530155539512634,0.022022664546966553,,,,,,,,,,,,,0.10171261742001488
1,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,221184,0,0.00011754919250961393,33,0.0002542987931519747,0.0005038290983065963,0.10134718153211805,1434648,2112,14155776,0.965713620185852,0.9982019066810608,2.8640732765197754,0.9544664621353149,0.9769608378410339,0.9853697419166565,0.877027153968811,0.016719186678528786,0.5771108269691467,0.8166871666908264,0.810962975025177,0.895654559135437,0.4744619131088257,0.309200257062912,0.5007637740054633,held_out,0.6530155539512634,-0.17855364084243774,,,,,,,,,,,,,0.10170796712239584
1,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,221184,0,0.14075611531734467,57,5.828666689922102e-05,0.0004233224899508059,0.10840465404369214,1534552,3648,14155776,0.2785787880420685,0.8373203873634338,22.322160720825195,0.3782040476799011,0.1789553165435791,0.2722161114215851,0.9622402191162109,0.9622554183006287,0.1312708854675293,0.9913480877876282,0.9918369054794312,0.8275536298751831,0.6649881601333618,1.02143132686615,0.6093222420022357,held_out,0.6899741888046265,-0.02498602867126465,,0.7828097939491272,0.6936069130897522,0.9999992251396179,0.00156735151540488,0.5940574407577515,0.5956248044967651,0.4231095612049103,0.4242728352546692,0.0492108091711998,2.3803297608537832e-06,0.000902192376088351,0.1091612316313244
1,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,221184,0,0.10888671875,49,4.788208389072679e-05,0.0004233224899508059,0.10836848506221065,1534040,3136,14155776,0.2925141155719757,0.8853240013122559,14.828742980957031,0.37264707684516907,0.21238258481025696,0.21864214539527893,0.9758048057556152,0.9752168655395508,0.10544698685407639,0.9944261908531189,0.9943734407424927,0.7537005543708801,0.7237737774848938,1.0269418954849243,0.5366931369935628,held_out,0.6899741888046265,0.033799588680267334,,,,,,,,,,,,,0.10915890648251488
1,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,221184,0,0.00011754919250961393,33,0.00021331393509171903,0.0004233224899508059,0.10829614709924769,1533016,2112,14155776,0.9661213159561157,0.9982078075408936,2.855026960372925,0.9550803899765015,0.9771621823310852,0.9853588342666626,0.8770195841789246,0.01673082448542118,0.4751133918762207,0.8799327611923218,0.8764512538909912,0.896979570388794,0.49428969621658325,0.2731696367263794,0.5073381930124015,held_out,0.6899741888046265,-0.1956844925880432,,,,,,,,,,,,,0.10915425618489584
1,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,73728,0,0.1075710728764534,57,0.0005076627130620182,0.0036789460573345423,0.10547383626302083,497688,3648,4718592,0.23617294430732727,0.8696421384811401,19.726797103881836,0.4113299250602722,0.061025459319353104,0.27324774861335754,0.9619467258453369,0.9606231451034546,0.16593140363693237,0.9861385226249695,0.9847928285598755,0.9456571936607361,0.5766010880470276,1.0527676343917847,0.22666621900862083,held_out,0.6089729070663452,-0.03237181901931763,,0.9481606483459473,0.5504966378211975,0.9999998211860657,0.0012091497192159295,0.5786280632019043,0.5798372626304626,0.33206605911254883,0.4402487874031067,0.14765794575214386,3.225884211133234e-05,0.015437188558280468,0.1017149425688244
