seed,update,parameter_id,method,delta_magnitude_energy,delta_symmetric_energy,delta_skew_energy,delta_out_of_subspace_energy
0,128,transformer.h.5.attn.c_attn.weight,mix_075,2.3650236379420546,121.85792485992644,180.40447388733978,163.57761282393366
0,128,transformer.h.5.attn.c_proj.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.5.attn.c_proj.weight,pair_local_frechet_hutchinson,0.015394684549660864,3.8529412620038954,2.579668033530055,0.0
0,128,transformer.h.5.attn.c_proj.weight,pair_local_skew_hutchinson,0.2932718550931688,38.2854414317347,49.724351716115905,0.0
0,128,transformer.h.5.attn.c_proj.weight,mix_025,0.1302942854555842,1.2119806208870187,1.2600157794108924,0.0
0,128,transformer.h.5.attn.c_proj.weight,mix_050,0.08480161069627279,0.8484334405678879,0.7834859392106779,0.0
0,128,transformer.h.5.attn.c_proj.weight,mix_075,0.03408539254098475,1.9298608949138867,0.8850282913078331,0.0
0,128,transformer.h.5.mlp.w1.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.5.mlp.w1.weight,pair_local_frechet_hutchinson,0.15572055400056928,1.8978572903409239,5.952781379598999,26.89408010685962
0,128,transformer.h.5.mlp.w1.weight,pair_local_skew_hutchinson,5.3722907628170775,40.0429249526446,131.3615761202159,869.0177253665044
0,128,transformer.h.5.mlp.w1.weight,mix_025,0.10985879365035989,3.673235166221713,8.345570782393601,38.30883739309556
0,128,transformer.h.5.mlp.w1.weight,mix_050,0.13891651038377262,2.5785828171697727,5.921647525291604,27.126756339774133
0,128,transformer.h.5.mlp.w1.weight,mix_075,0.15823909532094194,1.3093239674292496,3.449820916164782,15.138004585699349
0,128,transformer.h.5.mlp.w2.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.5.mlp.w2.weight,pair_local_frechet_hutchinson,0.17974369394486278,2.008691616673045,7.219535355968279,29.41239948630715
0,128,transformer.h.5.mlp.w2.weight,pair_local_skew_hutchinson,5.5173240487498925,41.641241517163564,145.46109086780305,900.093443266865
0,128,transformer.h.5.mlp.w2.weight,mix_025,-0.30173475967806473,5.42524900704501,14.0116487487035,56.61613787710722
0,128,transformer.h.5.mlp.w2.weight,mix_050,-0.2378070248326054,3.7590016713133982,10.404226830830925,39.50173391076986
0,128,transformer.h.5.mlp.w2.weight,mix_075,-0.10472571221755939,1.9178309511118208,5.934286419678987,20.246943496015717
0,128,transformer.h.5.mlp.c_proj.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.5.mlp.c_proj.weight,pair_local_frechet_hutchinson,0.159362047740641,2.1372162545060753,5.132009772597289,26.407226314962017
0,128,transformer.h.5.mlp.c_proj.weight,pair_local_skew_hutchinson,4.93915106232839,38.29916172749085,96.13695228734548,616.3529927603531
0,128,transformer.h.5.mlp.c_proj.weight,mix_025,0.14850475992186263,0.678900069539834,0.7942121287540509,2.986726640397052
0,128,transformer.h.5.mlp.c_proj.weight,mix_050,0.1273222640405568,0.46513252114982606,0.6050004082426863,2.3868139611654158
0,128,transformer.h.5.mlp.c_proj.weight,mix_075,0.1099410602694405,0.2966112112243158,0.46877020644670964,2.050508447481107
0,512,transformer.h.0.attn.c_attn.weight,mse,0.0,0.0,0.0,0.0
0,512,transformer.h.0.attn.c_attn.weight,pair_local_frechet_hutchinson,0.11267207586272232,8.484948718284915,25.423703590520446,49.695701041379806
0,512,transformer.h.0.attn.c_attn.weight,pair_local_skew_hutchinson,3.9083607711152686,113.67825878197166,355.2579975580681,883.188596466813
0,512,transformer.h.0.attn.c_attn.weight,mix_025,26.72516607370346,385.7755658912966,1205.266184609455,2307.517583334024
0,512,transformer.h.0.attn.c_attn.weight,mix_050,8.628157219066473,156.72651608324662,476.4368309431752,946.3122662235629
0,512,transformer.h.0.attn.c_attn.weight,mix_075,1.2560899313263312,49.141611023878696,149.91527726189258,315.2192095656425
0,512,transformer.h.0.attn.c_proj.weight,mse,0.0,0.0,0.0,0.0
0,512,transformer.h.0.attn.c_proj.weight,pair_local_frechet_hutchinson,0.8054418292179872,44.24866188951235,71.92365928112082,0.0
0,512,transformer.h.0.attn.c_proj.weight,pair_local_skew_hutchinson,3.010714153299057,235.33331745131125,372.104517342782,0.0
0,512,transformer.h.0.attn.c_proj.weight,mix_025,-0.10317342940162,3.3501722802114955,6.452795408782663,0.0
0,512,transformer.h.0.attn.c_proj.weight,mix_050,-0.008294054390815209,4.512330089415144,7.764065274090569,0.0
0,512,transformer.h.0.attn.c_proj.weight,mix_075,0.28651405247342865,7.089723429397367,11.805544222151667,0.0
0,512,transformer.h.0.mlp.w1.weight,mse,0.0,0.0,0.0,0.0
0,512,transformer.h.0.mlp.w1.weight,pair_local_frechet_hutchinson,-0.00048242319819408186,0.06752103839001355,0.12095126052623595,0.39684308764872966
0,512,transformer.h.0.mlp.w1.weight,pair_local_skew_hutchinson,0.9365032703128,5.965613603241709,12.491862172773217,64.60544634573284
0,512,transformer.h.0.mlp.w1.weight,mix_025,-0.07358051915291508,1.4676903801521801,1.286259123033588,6.346508605860148
0,512,transformer.h.0.mlp.w1.weight,mix_050,-0.06872882968310157,1.3341855894243326,1.1966475140943542,5.755040797569901
0,512,transformer.h.0.mlp.w1.weight,mix_075,-0.05265801536944986,1.0213592238530103,0.9734243232639361,4.3998643241390525
0,512,transformer.h.0.mlp.w2.weight,mse,0.0,0.0,0.0,0.0
0,512,transformer.h.0.mlp.w2.weight,pair_local_frechet_hutchinson,0.006645684068507907,0.054955612155293654,0.12775923780735443,0.4711092272615822
0,512,transformer.h.0.mlp.w2.weight,pair_local_skew_hutchinson,0.8646022783274778,6.224210134881931,12.97962770907641,68.7491102085851
0,512,transformer.h.0.mlp.w2.weight,mix_025,0.09766593971003074,1.4288901427531528,1.3498722283737523,6.345451298441024
0,512,transformer.h.0.mlp.w2.weight,mix_050,0.10117516871762561,1.279962578539303,1.2418492667580523,5.655913167118971
0,512,transformer.h.0.mlp.w2.weight,mix_075,0.11176245482857738,0.9579633037362063,0.9774216877972961,4.065153999517431
0,512,transformer.h.0.mlp.c_proj.weight,mse,0.0,0.0,0.0,0.0
0,512,transformer.h.0.mlp.c_proj.weight,pair_local_frechet_hutchinson,-0.0002527625450873816,0.10839354143901136,0.24985843764521398,0.9716243088018821
0,512,transformer.h.0.mlp.c_proj.weight,pair_local_skew_hutchinson,1.0178414428371925,9.712167954399309,24.027982941577484,135.56143043324525
0,512,transformer.h.0.mlp.c_proj.weight,mix_025,-0.004348097022691733,0.48287444861229867,0.3861311963768923,1.0523017770170497
0,512,transformer.h.0.mlp.c_proj.weight,mix_050,0.0016319800910093996,0.4319113790255522,0.34062372219613657,0.8489877463098985
0,512,transformer.h.0.mlp.c_proj.weight,mix_075,-0.0029426275018653025,0.3105169807829502,0.24204193704201415,0.6853377927482995
0,512,transformer.h.1.attn.c_attn.weight,mse,0.0,0.0,0.0,0.0
0,512,transformer.h.1.attn.c_attn.weight,pair_local_frechet_hutchinson,0.18326470050885413,5.570276864845972,14.616123518133833,35.6215743371331
0,512,transformer.h.1.attn.c_attn.weight,pair_local_skew_hutchinson,4.846206426327468,170.9985428041121,459.91577718449,1246.721938238246
0,512,transformer.h.1.attn.c_attn.weight,mix_025,21.01344357590513,459.1169764638641,1232.4889106848864,2736.358393548986
0,512,transformer.h.1.attn.c_attn.weight,mix_050,5.6415723275601515,161.72393457626708,430.85684552405144,981.2631113144175
0,512,transformer.h.1.attn.c_attn.weight,mix_075,0.5337002422186902,45.081921412041524,118.08778927748017,286.81346451137483
0,512,transformer.h.1.attn.c_proj.weight,mse,0.0,0.0,0.0,0.0
0,512,transformer.h.1.attn.c_proj.weight,pair_local_frechet_hutchinson,0.8368605925652108,34.321668927516896,51.06948658895803,0.0
0,512,transformer.h.1.attn.c_proj.weight,pair_local_skew_hutchinson,3.377257016397367,247.60507385817027,352.6574398489296,0.0
0,512,transformer.h.1.attn.c_proj.weight,mix_025,0.15620159383879795,2.2464721221183765,2.994177042711101,0.0
0,512,transformer.h.1.attn.c_proj.weight,mix_050,0.16340024718869595,5.004131560662273,6.612978111012808,0.0
0,512,transformer.h.1.attn.c_proj.weight,mix_075,0.37981072058460974,8.102905451694568,9.107382208501008,0.0
0,512,transformer.h.1.mlp.w1.weight,mse,0.0,0.0,0.0,0.0
0,512,transformer.h.1.mlp.w1.weight,pair_local_frechet_hutchinson,0.02338137581554839,0.1596158477050631,0.31174544357260725,0.8763068314262057
0,512,transformer.h.1.mlp.w1.weight,pair_local_skew_hutchinson,1.1431679833033017,8.586805188437209,20.38722518948456,116.23865568974185
