Kaggle preflight (physical GPU 1 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_vq_int3_4096_s0.json",
  "fingerprint": "e8d7be69184fface68ea87dafdafb4663a4fc62ab66aec7c15aae81c94377bc2",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0",
  "recursive_codebook": "/kaggle/working/benchmark-experiments/reports/muon_vector_int3_robustness/calibration_codebooks.pt",
  "recursive_codebook_exists": true
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_vq_int3_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[eval] step 0 | val NLL 10.8634 | ppl 52230.97 | 65536 tokens
[train] 59/4096 | 483328 tok | loss 7.2327 | lr 9.998e-04 | 1270.5 ms/update | 6448 tok/s
[train] 60/4096 | 491520 tok | loss 7.7842 | lr 9.998e-04 | 1276.4 ms/update | 6418 tok/s
[train] 61/4096 | 499712 tok | loss 7.3002 | lr 9.998e-04 | 1280.6 ms/update | 6397 tok/s
[train] 62/4096 | 507904 tok | loss 7.6490 | lr 9.998e-04 | 1278.4 ms/update | 6408 tok/s
[train] 63/4096 | 516096 tok | loss 7.4381 | lr 9.998e-04 | 1286.3 ms/update | 6369 tok/s
[train] 64/4096 | 524288 tok | loss 7.5690 | lr 9.997e-04 | 1285.7 ms/update | 6372 tok/s
[train] 65/4096 | 532480 tok | loss 7.3243 | lr 9.997e-04 | 1292.7 ms/update | 6337 tok/s
[train] 66/4096 | 540672 tok | loss 7.2965 | lr 9.997e-04 | 1288.6 ms/update | 6357 tok/s
[train] 67/4096 | 548864 tok | loss 7.3834 | lr 9.997e-04 | 1287.4 ms/update | 6363 tok/s
[train] 68/4096 | 557056 tok | loss 7.5072 | lr 9.997e-04 | 1289.5 ms/update | 6353 tok/s
[train] 69/4096 | 565248 tok | loss 7.3994 | lr 9.997e-04 | 1288.8 ms/update | 6356 tok/s
[train] 70/4096 | 573440 tok | loss 7.3829 | lr 9.997e-04 | 1291.7 ms/update | 6342 tok/s
[train] 71/4096 | 581632 tok | loss 7.1298 | lr 9.997e-04 | 1297.4 ms/update | 6314 tok/s
[train] 72/4096 | 589824 tok | loss 7.6055 | lr 9.996e-04 | 1294.0 ms/update | 6331 tok/s
[train] 73/4096 | 598016 tok | loss 7.0607 | lr 9.996e-04 | 1303.3 ms/update | 6286 tok/s
[train] 74/4096 | 606208 tok | loss 7.2579 | lr 9.996e-04 | 1293.6 ms/update | 6333 tok/s
[train] 75/4096 | 614400 tok | loss 6.9481 | lr 9.996e-04 | 1301.8 ms/update | 6293 tok/s
[train] 76/4096 | 622592 tok | loss 7.3494 | lr 9.996e-04 | 1297.2 ms/update | 6315 tok/s
[train] 77/4096 | 630784 tok | loss 7.4753 | lr 9.996e-04 | 1298.4 ms/update | 6309 tok/s
[train] 78/4096 | 638976 tok | loss 7.1380 | lr 9.996e-04 | 1305.2 ms/update | 6277 tok/s
[train] 79/4096 | 647168 tok | loss 7.0438 | lr 9.995e-04 | 1301.8 ms/update | 6293 tok/s
[train] 80/4096 | 655360 tok | loss 7.3145 | lr 9.995e-04 | 1306.1 ms/update | 6272 tok/s
[train] 81/4096 | 663552 tok | loss 7.1730 | lr 9.995e-04 | 1301.9 ms/update | 6292 tok/s
[train] 82/4096 | 671744 tok | loss 6.9350 | lr 9.995e-04 | 1311.8 ms/update | 6245 tok/s
[train] 83/4096 | 679936 tok | loss 7.4083 | lr 9.995e-04 | 1320.8 ms/update | 6202 tok/s
[train] 84/4096 | 688128 tok | loss 7.1071 | lr 9.995e-04 | 1313.2 ms/update | 6238 tok/s
[train] 85/4096 | 696320 tok | loss 7.2061 | lr 9.994e-04 | 1315.4 ms/update | 6228 tok/s
[train] 86/4096 | 704512 tok | loss 6.9715 | lr 9.994e-04 | 1311.8 ms/update | 6245 tok/s
[train] 87/4096 | 712704 tok | loss 7.1317 | lr 9.994e-04 | 1315.9 ms/update | 6226 tok/s
[train] 88/4096 | 720896 tok | loss 7.2976 | lr 9.994e-04 | 1323.3 ms/update | 6191 tok/s
[train] 89/4096 | 729088 tok | loss 6.8530 | lr 9.994e-04 | 1314.4 ms/update | 6233 tok/s
[train] 90/4096 | 737280 tok | loss 6.7689 | lr 9.993e-04 | 1318.2 ms/update | 6215 tok/s
