Kaggle preflight (physical GPU 0 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_int4_4096_s0.json",
  "fingerprint": "d9781e9a40120a433fa25f926216d6f8845066a0e65c515d8b2223cb3f04651e",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0"
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_int4_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[train] 567/4096 | 4644864 tok | loss 5.8848 | lr 9.606e-04 | 1351.6 ms/update | 6061 tok/s
[train] 568/4096 | 4653056 tok | loss 5.7463 | lr 9.605e-04 | 1354.4 ms/update | 6048 tok/s
[train] 569/4096 | 4661248 tok | loss 5.9176 | lr 9.603e-04 | 1366.3 ms/update | 5996 tok/s
[train] 570/4096 | 4669440 tok | loss 6.0431 | lr 9.602e-04 | 1360.4 ms/update | 6022 tok/s
[train] 571/4096 | 4677632 tok | loss 5.9730 | lr 9.600e-04 | 1352.1 ms/update | 6059 tok/s
[train] 572/4096 | 4685824 tok | loss 5.7633 | lr 9.599e-04 | 1381.8 ms/update | 5929 tok/s
[train] 573/4096 | 4694016 tok | loss 5.9931 | lr 9.597e-04 | 1391.7 ms/update | 5886 tok/s
[train] 574/4096 | 4702208 tok | loss 6.0462 | lr 9.596e-04 | 1398.0 ms/update | 5860 tok/s
[train] 575/4096 | 4710400 tok | loss 5.8359 | lr 9.595e-04 | 1394.0 ms/update | 5877 tok/s
[train] 576/4096 | 4718592 tok | loss 5.8842 | lr 9.593e-04 | 1403.4 ms/update | 5837 tok/s
[train] 577/4096 | 4726784 tok | loss 6.1302 | lr 9.592e-04 | 1405.8 ms/update | 5827 tok/s
[train] 578/4096 | 4734976 tok | loss 5.7484 | lr 9.590e-04 | 1411.0 ms/update | 5806 tok/s
[train] 579/4096 | 4743168 tok | loss 5.6940 | lr 9.589e-04 | 1416.3 ms/update | 5784 tok/s
[train] 580/4096 | 4751360 tok | loss 5.8976 | lr 9.587e-04 | 1426.1 ms/update | 5744 tok/s
[train] 581/4096 | 4759552 tok | loss 6.0221 | lr 9.586e-04 | 1440.9 ms/update | 5685 tok/s
[train] 582/4096 | 4767744 tok | loss 5.5535 | lr 9.584e-04 | 1438.4 ms/update | 5695 tok/s
[train] 583/4096 | 4775936 tok | loss 5.8510 | lr 9.583e-04 | 1437.5 ms/update | 5699 tok/s
[train] 584/4096 | 4784128 tok | loss 5.8199 | lr 9.581e-04 | 1434.5 ms/update | 5711 tok/s
[train] 585/4096 | 4792320 tok | loss 5.6484 | lr 9.580e-04 | 1440.7 ms/update | 5686 tok/s
[train] 586/4096 | 4800512 tok | loss 5.8848 | lr 9.579e-04 | 1444.3 ms/update | 5672 tok/s
[train] 587/4096 | 4808704 tok | loss 5.9934 | lr 9.577e-04 | 1418.4 ms/update | 5776 tok/s
[train] 588/4096 | 4816896 tok | loss 6.0743 | lr 9.576e-04 | 1436.5 ms/update | 5703 tok/s
[train] 589/4096 | 4825088 tok | loss 5.6341 | lr 9.574e-04 | 1424.8 ms/update | 5749 tok/s
[train] 590/4096 | 4833280 tok | loss 5.9856 | lr 9.573e-04 | 1418.1 ms/update | 5777 tok/s
[train] 591/4096 | 4841472 tok | loss 6.1582 | lr 9.571e-04 | 1413.4 ms/update | 5796 tok/s
[train] 592/4096 | 4849664 tok | loss 6.0300 | lr 9.570e-04 | 1401.3 ms/update | 5846 tok/s
[train] 593/4096 | 4857856 tok | loss 5.9992 | lr 9.568e-04 | 1395.3 ms/update | 5871 tok/s
[train] 594/4096 | 4866048 tok | loss 5.9987 | lr 9.567e-04 | 1389.7 ms/update | 5895 tok/s
[train] 595/4096 | 4874240 tok | loss 5.9079 | lr 9.565e-04 | 1384.5 ms/update | 5917 tok/s
[train] 596/4096 | 4882432 tok | loss 5.5311 | lr 9.564e-04 | 1381.5 ms/update | 5930 tok/s
[train] 597/4096 | 4890624 tok | loss 6.0973 | lr 9.562e-04 | 1368.3 ms/update | 5987 tok/s
[train] 598/4096 | 4898816 tok | loss 5.5376 | lr 9.561e-04 | 1372.9 ms/update | 5967 tok/s
[train] 599/4096 | 4907008 tok | loss 5.7194 | lr 9.559e-04 | 1372.9 ms/update | 5967 tok/s
[train] 600/4096 | 4915200 tok | loss 5.6839 | lr 9.558e-04 | 1364.8 ms/update | 6003 tok/s
[train] 601/4096 | 4923392 tok | loss 5.4814 | lr 9.556e-04 | 1365.8 ms/update | 5998 tok/s
[train] 602/4096 | 4931584 tok | loss 5.9660 | lr 9.555e-04 | 1372.2 ms/update | 5970 tok/s
[train] 603/4096 | 4939776 tok | loss 5.5451 | lr 9.553e-04 | 1349.1 ms/update | 6072 tok/s
[train] 604/4096 | 4947968 tok | loss 5.6335 | lr 9.552e-04 | 1347.9 ms/update | 6078 tok/s
[train] 605/4096 | 4956160 tok | loss 6.0061 | lr 9.550e-04 | 1352.1 ms/update | 6059 tok/s
[train] 606/4096 | 4964352 tok | loss 6.0296 | lr 9.549e-04 | 1348.1 ms/update | 6077 tok/s
[train] 607/4096 | 4972544 tok | loss 5.7937 | lr 9.547e-04 | 1346.7 ms/update | 6083 tok/s
[train] 608/4096 | 4980736 tok | loss 5.8820 | lr 9.546e-04 | 1345.3 ms/update | 6089 tok/s
[train] 609/4096 | 4988928 tok | loss 5.8004 | lr 9.544e-04 | 1343.4 ms/update | 6098 tok/s
[train] 610/4096 | 4997120 tok | loss 6.0485 | lr 9.543e-04 | 1342.7 ms/update | 6101 tok/s
[train] 611/4096 | 5005312 tok | loss 5.7881 | lr 9.541e-04 | 1342.3 ms/update | 6103 tok/s
[train] 612/4096 | 5013504 tok | loss 6.0091 | lr 9.540e-04 | 1340.3 ms/update | 6112 tok/s
[train] 613/4096 | 5021696 tok | loss 5.6950 | lr 9.538e-04 | 1342.7 ms/update | 6101 tok/s
[train] 614/4096 | 5029888 tok | loss 6.0260 | lr 9.537e-04 | 1339.1 ms/update | 6118 tok/s
[train] 615/4096 | 5038080 tok | loss 5.7701 | lr 9.535e-04 | 1337.0 ms/update | 6127 tok/s
[train] 616/4096 | 5046272 tok | loss 5.9914 | lr 9.533e-04 | 1345.1 ms/update | 6090 tok/s
[train] 617/4096 | 5054464 tok | loss 5.9244 | lr 9.532e-04 | 1359.7 ms/update | 6025 tok/s
[train] 618/4096 | 5062656 tok | loss 5.7222 | lr 9.530e-04 | 1342.4 ms/update | 6102 tok/s
[train] 619/4096 | 5070848 tok | loss 6.0165 | lr 9.529e-04 | 1345.9 ms/update | 6086 tok/s
[train] 620/4096 | 5079040 tok | loss 5.6984 | lr 9.527e-04 | 1348.0 ms/update | 6077 tok/s
[train] 621/4096 | 5087232 tok | loss 5.8735 | lr 9.526e-04 | 1356.3 ms/update | 6040 tok/s
[train] 622/4096 | 5095424 tok | loss 6.1518 | lr 9.524e-04 | 1361.3 ms/update | 6018 tok/s
[train] 623/4096 | 5103616 tok | loss 5.9649 | lr 9.523e-04 | 1367.8 ms/update | 5989 tok/s
[train] 624/4096 | 5111808 tok | loss 5.7410 | lr 9.521e-04 | 1383.1 ms/update | 5923 tok/s
[train] 625/4096 | 5120000 tok | loss 5.6747 | lr 9.520e-04 | 1365.0 ms/update | 6001 tok/s
[train] 626/4096 | 5128192 tok | loss 5.6013 | lr 9.518e-04 | 1373.9 ms/update | 5963 tok/s
[train] 627/4096 | 5136384 tok | loss 6.0142 | lr 9.516e-04 | 1374.1 ms/update | 5962 tok/s
[train] 628/4096 | 5144576 tok | loss 5.6469 | lr 9.515e-04 | 1378.1 ms/update | 5944 tok/s
