seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_residual_norm,exact_residual_norm,approx_block_absmax_mean,exact_block_absmax_mean,direct_block_absmax_mean,approx_to_exact_block_absmax,approx_to_direct_block_absmax
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",16,2,0,randomized,0.22147125005722046,0.2141236662864685,0.0030647767707705498,0.002914957469329238,0.006568066775798798,1.0513967275619507,0.46661779284477234
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",1,4,0,randomized,0.3276005685329437,0.3276005685329437,0.004743286874145269,0.004743286874145269,0.006568066775798798,1.0,0.7221739888191223
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",2,4,0,randomized,0.312017023563385,0.3120168149471283,0.004486835561692715,0.004486903082579374,0.006568066775798798,0.9999849796295166,0.6831287741661072
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",4,4,0,randomized,0.2881065011024475,0.2881048619747162,0.004199067130684853,0.004199946764856577,0.006568066775798798,0.9997905492782593,0.6393155455589294
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",8,4,0,randomized,0.25652018189430237,0.25644659996032715,0.0036608646623790264,0.003655095584690571,0.006568066775798798,1.0015783309936523,0.5573732256889343
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",16,4,0,randomized,0.2153065949678421,0.2141236662864685,0.002935875905677676,0.002914957469329238,0.006568066775798798,1.0071762800216675,0.4469923973083496
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",1,0,8,randomized,0.4771023094654083,0.3276005685329437,0.0066509186290204525,0.004743286874145269,0.006568066775798798,1.4021750688552856,1.012614369392395
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",2,0,8,randomized,0.47539982199668884,0.3120168149471283,0.006625105161219835,0.004486903082579374,0.006568066775798798,1.4765429496765137,1.0086841583251953
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",4,0,8,randomized,0.473493367433548,0.2881048619747162,0.006578863598406315,0.004199946764856577,0.006568066775798798,1.5664159059524536,1.0016437768936157
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",8,0,8,randomized,0.47127634286880493,0.25644659996032715,0.006540391594171524,0.003655095584690571,0.006568066775798798,1.7893900871276855,0.9957864284515381
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",16,0,8,randomized,0.4693758487701416,0.2141236662864685,0.006495693698525429,0.002914957469329238,0.006568066775798798,2.228400945663452,0.9889810681343079
1,4096,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",1,2,8,randomized,0.3276005685329437,0.3276005685329437,0.0047432794235646725,0.004743286874145269,0.006568066775798798,0.9999984502792358,0.7221728563308716
