seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_error,exact_error,relative_excess_error,spectral_gap_at_k,condition_proxy,m_multiplies,mt_multiplies
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,8,randomized,0.23718136548995972,0.23718129098415375,3.141302045150951e-07,0.04453239589929581,4.494795799255371,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,8,randomized,0.20303300023078918,0.20303212106227875,4.330194315116387e-06,0.016646608710289,12.024312973022461,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,8,randomized,0.16855190694332123,0.16853594779968262,9.469281940255314e-05,0.001498933881521225,133.53759765625,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,8,randomized,0.13200631737709045,0.1313798725605011,0.004768194630742073,0.0006821788847446442,293.418701171875,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,8,randomized,0.2730291783809662,0.2730292081832886,-1.0915433534819385e-07,0.06492334604263306,3.083082437515259,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,8,randomized,0.23718132078647614,0.23718129098415375,1.256520789638671e-07,0.04453239589929581,4.494795799255371,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,8,randomized,0.20303216576576233,0.20303212106227875,2.2017935918938747e-07,0.016646608710289,12.024312973022461,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,8,randomized,0.16853606700897217,0.16853594779968262,7.073226129250543e-07,0.001498933881521225,133.53759765625,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,8,randomized,0.1314094513654709,0.1313798725605011,0.00022513954900205135,0.0006821788847446442,293.418701171875,5,4
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0,0,canonical,1.1194984912872314,0.9218074083328247,0.21446028351783752,0.1625978946685791,4.083277702331543,1,0
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0,0,canonical,1.115736484527588,0.7735586166381836,0.44234251976013184,0.2171524167060852,3.057448387145996,1,0
