seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,method,fraction_of_exact_gain,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,0,randomized,approximate_bf16,0.05251475424478506,0.18485726416110992,0.9829143285751343,0.9999362230300903,0.9094920754432678,0.5938345193862915,1.0178773403167725,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,0,randomized,approximate_bf16,0.019937259479684173,0.18443967401981354,0.98299640417099,1.000191569328308,0.9109970331192017,0.5925886034965515,1.0181132555007935,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,0,randomized,approximate_bf16,0.053296643170875284,0.1839071810245514,0.9831214547157288,1.0017340183258057,0.9055876135826111,0.5972753167152405,1.017777681350708,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,0,randomized,approximate_bf16,0.0429083765111106,0.18353013694286346,0.9831780791282654,1.0011056661605835,0.9044917225837708,0.5981793999671936,1.0176061391830444,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,0,randomized,approximate_bf16,0.037127799301836954,0.18281210958957672,0.9832977652549744,1.000407338142395,0.9033103585243225,0.5991265177726746,1.0173568725585938,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,0,randomized,approximate_bf16,1.0015640307142946,0.14933721721172333,0.9888826608657837,1.0025670528411865,0.8406143188476562,0.6533669233322144,1.0187668800354004,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,0,randomized,approximate_bf16,0.9979084559299191,0.12434551119804382,0.9922866821289062,1.0018888711929321,0.7933741807937622,0.6930604577064514,1.0243796110153198,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,0,randomized,approximate_bf16,0.9976274659260713,0.11333537101745605,0.9935905337333679,1.0015840530395508,0.7633646130561829,0.7166081070899963,1.0268480777740479,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,0,randomized,approximate_bf16,0.9933622955891038,0.09264150261878967,0.9957155585289001,1.0011252164840698,0.6922432780265808,0.7673903107643127,1.0283221006393433,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,0,randomized,approximate_bf16,0.9727276195032032,0.0755813792347908,0.9971493482589722,1.0011844635009766,0.617759108543396,0.8154931664466858,1.0314819812774658,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,0,randomized,approximate_bf16,0.99999904979908,0.14933271706104279,0.9888826012611389,1.0025038719177246,0.8407505750656128,0.6532687544822693,1.0188055038452148,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,0,randomized,approximate_bf16,1.0000336503622926,0.12434549629688263,0.9922871589660645,1.0018771886825562,0.7932134866714478,0.6932787895202637,1.0246669054031372,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,0,randomized,approximate_bf16,0.9998089709145246,0.11336273699998856,0.9935876131057739,1.0016398429870605,0.76280677318573,0.7168837785720825,1.0263891220092773,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,0,randomized,approximate_bf16,0.9976212604741542,0.09266506135463715,0.995712399482727,1.0009942054748535,0.691756546497345,0.7681485414505005,1.0300133228302002,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,0,randomized,approximate_bf16,0.9914100790330462,0.07378439605236053,0.997282862663269,1.0011744499206543,0.6102138161659241,0.8198136687278748,1.0306460857391357,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,8,randomized,approximate_bf16,0.04206919553139511,0.18423514068126678,0.9830821752548218,1.00285005569458,0.909945547580719,0.5931792855262756,1.017277479171753,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,8,randomized,approximate_bf16,0.06729318226254592,0.1828647255897522,0.9833298921585083,1.0026849508285522,0.905738890171051,0.5974537134170532,1.0185374021530151,,,
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,8,randomized,approximate_bf16,0.05429942795043243,0.18227998912334442,0.9834227561950684,1.001930832862854,0.9060519933700562,0.597402036190033,1.019085168838501,,,
