seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_local,approx_medium,approx_distant,direct_local,direct_medium,direct_distant
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",16,2,8,canonical,0.35071417689323425,0.5257972478866577,0.1144266203045845,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",1,4,8,canonical,0.3519013524055481,0.5190238952636719,0.11886896193027496,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",2,4,8,canonical,0.34668898582458496,0.5229523181915283,0.11863285303115845,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",4,4,8,canonical,0.3422276973724365,0.5221313238143921,0.12385381013154984,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",8,4,8,canonical,0.3474646806716919,0.520767092704773,0.12043441832065582,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",16,4,8,canonical,0.35744309425354004,0.5150073170661926,0.11507599800825119,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",1,0,0,randomized,0.37068626284599304,0.4938579201698303,0.1104433611035347,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",2,0,0,randomized,0.3701494336128235,0.4921427071094513,0.11318735033273697,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",4,0,0,randomized,0.36902788281440735,0.4923359155654907,0.1140693947672844,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",8,0,0,randomized,0.3698652684688568,0.4914665222167969,0.11293593049049377,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",16,0,0,randomized,0.37064483761787415,0.49061426520347595,0.11349485069513321,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",1,2,0,randomized,0.35175028443336487,0.5191702842712402,0.11888456344604492,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",2,2,0,randomized,0.3472190201282501,0.5220953822135925,0.11851801723241806,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",4,2,0,randomized,0.34262189269065857,0.5259125828742981,0.11994429677724838,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",8,2,0,randomized,0.3492075204849243,0.5258045196533203,0.1160803884267807,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",16,2,0,randomized,0.3551439344882965,0.5213178396224976,0.11405689269304276,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",1,4,0,randomized,0.3519013524055481,0.5190239548683167,0.11886896193027496,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",2,4,0,randomized,0.3468278646469116,0.5228139162063599,0.11848588287830353,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",4,4,0,randomized,0.34240591526031494,0.5213114023208618,0.12442832440137863,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",8,4,0,randomized,0.34529760479927063,0.522626519203186,0.12110472470521927,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",16,4,0,randomized,0.3562861979007721,0.5196912884712219,0.11569959670305252,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",1,0,8,randomized,0.373905748128891,0.49136820435523987,0.10751844942569733,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",2,0,8,randomized,0.3754821717739105,0.4910339117050171,0.10907953232526779,0.37198537588119507,0.49777284264564514,0.10779209434986115
1,4096,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",4,0,8,randomized,0.37304773926734924,0.49216940999031067,0.11029611527919769,0.37198537588119507,0.49777284264564514,0.10779209434986115
