seed,update,parameter_id,shape,error_norm,energy_r1,energy_r2,energy_r4,energy_r8
1,512,13,"(1024, 384)",0.1310891956090927,0.16550342738628387,0.21743784844875336,0.28756946325302124,0.36869725584983826
1,512,14,"(384, 1024)",0.3969212770462036,0.08990699797868729,0.13142737746238708,0.18823352456092834,0.26807692646980286
1,512,15,"(1152, 384)",0.17821399867534637,0.3905438184738159,0.474103182554245,0.5854781866073608,0.6941484212875366
1,512,16,"(384, 384)",0.39243823289871216,0.29830202460289,0.3564077317714691,0.4550623297691345,0.5635250806808472
1,512,17,"(1024, 384)",0.115965835750103,0.13310155272483826,0.18985216319561005,0.25698283314704895,0.34302929043769836
1,512,18,"(1024, 384)",0.11134203523397446,0.11974403262138367,0.17567172646522522,0.24432161450386047,0.3311300575733185
1,512,19,"(384, 1024)",0.3444135785102844,0.09475532919168472,0.1576555073261261,0.21250580251216888,0.29215651750564575
1,512,20,"(1152, 384)",0.17983128130435944,0.3861876130104065,0.4671015441417694,0.5754388570785522,0.69502192735672
1,512,21,"(384, 384)",0.33710986375808716,0.23092946410179138,0.30693042278289795,0.42891910672187805,0.5446955561637878
1,512,22,"(1024, 384)",0.11162227392196655,0.14738976955413818,0.2051771730184555,0.28748875856399536,0.37401750683784485
1,512,23,"(1024, 384)",0.10781078040599823,0.10767832398414612,0.18591728806495667,0.27420830726623535,0.3597143292427063
1,512,24,"(384, 1024)",0.319839209318161,0.1548789143562317,0.2435539960861206,0.28920915722846985,0.35818228125572205
1,512,25,"(1152, 384)",0.14824523031711578,0.2619326114654541,0.3642357587814331,0.495832622051239,0.6356407999992371
1,512,26,"(384, 384)",0.3104236423969269,0.24686776101589203,0.3751780390739441,0.49017098546028137,0.5887683629989624
1,512,27,"(1024, 384)",0.10473070293664932,0.09178905189037323,0.16794545948505402,0.2608983516693115,0.3533111810684204
1,512,28,"(1024, 384)",0.09945239871740341,0.08205801248550415,0.15086273849010468,0.24189995229244232,0.34107038378715515
1,512,29,"(384, 1024)",0.2938435673713684,0.2729625701904297,0.31893473863601685,0.36073926091194153,0.42196664214134216
1,1024,0,"(1152, 384)",0.2792111039161682,0.34010374546051025,0.5077242255210876,0.6130222082138062,0.7091737389564514
1,1024,1,"(384, 384)",0.6230661273002625,0.23871107399463654,0.35454341769218445,0.5148440003395081,0.6244701743125916
1,1024,2,"(1024, 384)",0.2580539286136627,0.2851044833660126,0.35800716280937195,0.418807715177536,0.47253870964050293
1,1024,3,"(1024, 384)",0.24713937938213348,0.2693731486797333,0.3420696258544922,0.4005279839038849,0.4594932198524475
1,1024,4,"(384, 1024)",0.7802620530128479,0.2181512415409088,0.2643010914325714,0.328290194272995,0.39656203985214233
1,1024,5,"(1152, 384)",0.27151694893836975,0.38707393407821655,0.49587008357048035,0.5859806537628174,0.680304229259491
1,1024,6,"(384, 384)",0.595847487449646,0.4219329357147217,0.48558899760246277,0.5705745816230774,0.6583199501037598
1,1024,7,"(1024, 384)",0.20993180572986603,0.25756582617759705,0.3531877100467682,0.4151821434497833,0.4861263334751129
1,1024,8,"(1024, 384)",0.20281271636486053,0.24650779366493225,0.33878815174102783,0.4049207270145416,0.479592502117157
1,1024,9,"(384, 1024)",0.5773867964744568,0.12381289899349213,0.19817671179771423,0.26636484265327454,0.34320706129074097
1,1024,10,"(1152, 384)",0.38361644744873047,0.5576391816139221,0.6349247694015503,0.7276215553283691,0.7990967631340027
1,1024,11,"(384, 384)",0.5769693851470947,0.43556198477745056,0.5161747932434082,0.5816828012466431,0.6601988077163696
1,1024,12,"(1024, 384)",0.1727687269449234,0.2125815898180008,0.2654092013835907,0.33760154247283936,0.41858863830566406
1,1024,13,"(1024, 384)",0.16996195912361145,0.2142503559589386,0.2646804749965668,0.3353075683116913,0.4189099967479706
1,1024,14,"(384, 1024)",0.45698580145835876,0.08520375937223434,0.1333053708076477,0.1866784244775772,0.2611602246761322
1,1024,15,"(1152, 384)",0.23390671610832214,0.4602126181125641,0.5619524121284485,0.6514499187469482,0.7428310513496399
1,1024,16,"(384, 384)",0.4211602509021759,0.3457358181476593,0.45165085792541504,0.53522127866745,0.6264820098876953
1,1024,17,"(1024, 384)",0.1617397665977478,0.237807497382164,0.28893595933914185,0.35331305861473083,0.43277665972709656
