seed,update,parameter_id,parameter_name,shape,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,kind,rank_label,rank,rank_kind,energy_target,low_rank_energy_fraction,update_cosine_gain_vs_direct,update_l2_reduction_vs_direct,exact_polar_cosine_gain_vs_direct,recovered_cosine_error_fraction
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.1240541934967041,0.9923232793807983,1.001916527748108,0.8260504007339478,0.6762443780899048,1.0499602556228638,0.8500090837478638,0.6387436985969543,1.0,structural,energy_50,2,energy,0.5,0.5363215804100037,0.09820204973220825,0.11387467384338379,0.08864450454711914,0.23272962273679154
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.08720070868730545,0.9962036609649658,1.0009206533432007,0.6985400319099426,0.7684633135795593,1.04862642288208,0.7535994648933411,0.7160451412200928,1.000000238418579,structural,energy_75,8,energy,0.75,0.764323353767395,0.1904209852218628,0.24138504266738892,0.16594594717025757,0.4512798273834538
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.05629343539476395,0.9984179735183716,1.0005271434783936,0.5203067064285278,0.8696681261062622,1.0341057777404785,0.6257193088531494,0.803984522819519,0.9986968636512756,structural,energy_90,25,energy,0.9,0.9004868865013123,0.2916257977485657,0.4196183681488037,0.25388532876968384,0.691125715557031
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.16377173364162445,0.9865990877151489,1.000004529953003,0.3717648386955261,0.9315085411071777,1.0083587169647217,0.3758685886859894,0.9293674826622009,1.0000015497207642,structural,fixed_1,1,fixed,,0.27552467584609985,0.01722925901412964,0.044841468334198,0.01719379425048828,0.20099293886959332
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.14902128279209137,0.9889037609100342,0.9999464154243469,0.34141162037849426,0.9421089887619019,1.0062909126281738,0.3458089232444763,0.9402146935462952,1.000001072883606,structural,fixed_2,2,fixed,,0.39605051279067993,0.02782970666885376,0.07519468665122986,0.02804100513458252,0.32465554825453447
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.13409626483917236,0.9910157322883606,0.9997949600219727,0.31005898118019104,0.9521394371986389,1.0040333271026611,0.31500697135925293,0.9503921270370483,1.0000008344650269,structural,fixed_4,4,fixed,,0.5158726572990417,0.03786015510559082,0.10654732584953308,0.03821843862533569,0.44166866575577735
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.12013980746269226,0.9927955865859985,1.0003719329833984,0.28123536705970764,0.9606308937072754,1.0041311979293823,0.28624340891838074,0.9590387940406799,1.000001311302185,structural,fixed_8,8,fixed,,0.6039432883262634,0.046351611614227295,0.13537093997001648,0.046865105628967285,0.5407282247045694
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.1066405400633812,0.9943225979804993,1.0001312494277954,0.251736581325531,0.9684151411056519,1.0028867721557617,0.2567766308784485,0.9670401215553284,1.0000005960464478,structural,fixed_16,16,fixed,,0.6876678466796875,0.05413585901260376,0.16486972570419312,0.05486643314361572,0.6315376298104168
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.16377173364162445,0.9865990877151489,1.000004529953003,0.3717648386955261,0.9315085411071777,1.0083587169647217,0.3758685886859894,0.9293674826622009,1.0000015497207642,structural,energy_25,1,energy,0.25,0.27552467584609985,0.01722925901412964,0.044841468334198,0.01719379425048828,0.20099293886959332
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.13409626483917236,0.9910157322883606,0.9997949600219727,0.31005898118019104,0.9521394371986389,1.0040333271026611,0.31500697135925293,0.9503921270370483,1.0000008344650269,structural,energy_50,4,energy,0.5,0.5158726572990417,0.03786015510559082,0.10654732584953308,0.03821843862533569,0.44166866575577735
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.09380041062831879,0.9956093430519104,1.0001410245895386,0.2234468311071396,0.9750614762306213,1.0007661581039429,0.2283819615840912,0.9739282727241516,1.0000004768371582,structural,energy_75,28,energy,0.75,0.7522153854370117,0.06078219413757324,0.19315947592258453,0.061754584312438965,0.7090723878858677
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.05722404271364212,0.9983710050582886,1.000285267829895,0.1387055665254593,0.9903687834739685,0.9980480670928955,0.14217796921730042,0.9899008274078369,0.9999998807907104,structural,energy_90,115,energy,0.9,0.9008657336235046,0.07608950138092041,0.27790074050426483,0.07772713899612427,0.8876442386251829
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.16561663150787354,0.9863069653511047,1.0009821653366089,0.3737541139125824,0.9306997656822205,1.0074087381362915,0.37880274653434753,0.9282591342926025,0.9999998211860657,structural,fixed_1,1,fixed,,0.259168803691864,0.01618671417236328,0.04238063097000122,0.016377925872802734,0.18934719811913406
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.15159788727760315,0.9885247945785522,1.0007190704345703,0.34518179297447205,0.940845787525177,1.0066522359848022,0.35087740421295166,0.9384479522705078,0.9999995827674866,structural,fixed_2,2,fixed,,0.3733556568622589,0.026332736015319824,0.07095295190811157,0.026566743850708008,0.3080322374398023
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.13561387360095978,0.9908153414726257,1.000349521636963,0.313184529542923,0.951202392578125,1.0046603679656982,0.3191611170768738,0.9490745663642883,0.9999984502792358,structural,fixed_4,4,fixed,,0.496491014957428,0.03668934106826782,0.10295021533966064,0.037193357944488525,0.4291806143074382
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.1212247833609581,0.9926624894142151,1.0002597570419312,0.2824137508869171,0.9602588415145874,1.0032052993774414,0.2885013520717621,0.9583893418312073,0.9999992251396179,structural,fixed_8,8,fixed,,0.5955110788345337,0.045745790004730225,0.1337209939956665,0.04650813341140747,0.5351201652730065
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.10649169981479645,0.9943374395370483,1.0001394748687744,0.2509881258010864,0.9685916900634766,1.0025734901428223,0.25675949454307556,0.9670422077178955,1.000000238418579,structural,fixed_16,16,fixed,,0.683140754699707,0.054078638553619385,0.1651466190814972,0.0551609992980957,0.6325952617182843
