seed,update,parameter_id,parameter_name,shape,rank_label,rank,matrix_block_absmax_mean,residual_block_absmax_mean,scale_reduction_ratio,update_cosine_gain,danger_error_fraction
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",fixed_4,4,0.010803627781569958,0.007385001052170992,0.6835668087005615,0.052373290061950684,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",fixed_8,8,0.010803627781569958,0.006225913763046265,0.5762799382209778,0.07281070947647095,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",fixed_16,16,0.010803627781569958,0.004371319897472858,0.40461593866348267,0.1005658507347107,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",energy_25,2,0.010803627781569958,0.008742050267755985,0.8091772794723511,0.03159850835800171,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",energy_50,7,0.010803627781569958,0.006466332823038101,0.5985334515571594,0.068450927734375,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",energy_75,24,0.010803627781569958,0.00364631786942482,0.3375086486339569,0.11269986629486084,0.0
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",energy_90,81,0.010803627781569958,0.002012137556448579,0.18624646961688995,0.139288067817688,0.0
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_1,1,0.001103143091313541,0.0008973386720754206,0.8134381175041199,0.04254305362701416,0.6709645390510559
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_2,2,0.001103143091313541,0.0008219217415899038,0.7450726628303528,0.07292133569717407,0.6596387028694153
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_4,4,0.001103143091313541,0.0006877024425193667,0.6234027743339539,0.11249488592147827,0.6581743955612183
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_8,8,0.001103143091313541,0.0005765379755757749,0.5226320624351501,0.1624692678451538,0.6640556454658508
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_16,16,0.001103143091313541,0.0004300836590118706,0.38987115025520325,0.23729050159454346,0.6552237272262573
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",energy_25,1,0.001103143091313541,0.0008973386720754206,0.8134381175041199,0.04254305362701416,0.6709645390510559
