seed,update,parameter_id,parameter_name,shape,rank_label,kind,residual_error_norm,residual_relative_to_R,error_over_M,error_spectral_norm
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_1,structural,0.04191406071186066,0.1822277009487152,0.15006713569164276,0.004463603720068932
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_2,structural,0.037758003920316696,0.18506434559822083,0.13518698513507843,0.003989347256720066
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_4,structural,0.0314469076693058,0.182268887758255,0.11259103566408157,0.003265243023633957
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_8,structural,0.025870278477668762,0.18262293934822083,0.092624731361866,0.002636875258758664
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",fixed_16,structural,0.019054729491472244,0.1777147501707077,0.06822265684604645,0.0019573152530938387
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",energy_25,structural,0.04191406071186066,0.1822277009487152,0.15006713569164276,0.004463603720068932
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",energy_50,structural,0.03376046195626259,0.181997150182724,0.12087437510490417,0.003449314506724477
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",energy_75,structural,0.02469746023416519,0.1813107430934906,0.08842562884092331,0.0025257347151637077
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",energy_90,structural,0.01576930284500122,0.1786310076713562,0.05645967274904251,0.0016027136007323861
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_1,structural,0.1342698633670807,0.18337556719779968,0.14210784435272217,0.014515233226120472
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_2,structural,0.12092476338148117,0.18283751606941223,0.1279837191104889,0.012557465583086014
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",fixed_4,structural,0.10373140126466751,0.18349701166152954,0.10978670418262482,0.010914282873272896
