seed,update,parameter_id,parameter_name,shape,method,right_gram_relative_fro,right_gram_relative_spectral,right_gram_fro_cosine,right_gram_trace_relative,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,right_gram_delta_fro,right_gram_identity_residual,left_gram_relative_fro,left_gram_relative_spectral,left_gram_fro_cosine,left_gram_trace_relative,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro,left_gram_delta_fro,left_gram_identity_residual
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.03273819759488106,0.015920141711831093,0.9994805455207825,0.026572521775960922,0.03451986983418465,0.005557514727115631,0.16975627839565277,0.0007989548030309379,3.706744022835551e-09,0.04063441604375839,0.01898389868438244,0.9992498159408569,0.026572516188025475,0.042083095759153366,0.005557581316679716,0.13677029311656952,0.000991626875475049,5.226278076975177e-09
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.021591048687696457,0.012461534701287746,0.999778687953949,0.0017309559043496847,0.02185244672000408,0.002982411067932844,0.13813184201717377,0.0005269157118164003,3.71764596884816e-09,0.028903162106871605,0.01497950591146946,0.9996542930603027,0.0017309446120634675,0.029098963364958763,0.002982448088005185,0.10318760573863983,0.0007053418084979057,5.291363791570802e-09
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.030679425224661827,0.015336773358285427,0.9995496869087219,0.0378246046602726,0.032754454761743546,0.004134174436330795,0.13475395739078522,0.0007487117545679212,3.668926273903139e-09,0.035545289516448975,0.016074588522315025,0.9994488954544067,0.0378246083855629,0.03735104203224182,0.004134185146540403,0.11630754172801971,0.0008674337295815349,5.260358371117491e-09
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.09197837114334106,0.07245679199695587,0.9970741271972656,0.015121040865778923,0.09421498328447342,0.013448657467961311,0.14621542394161224,0.02081802301108837,4.793602670360997e-08,0.07724733650684357,0.06623198837041855,0.9983392953872681,0.015121026895940304,0.07989722490310669,0.013448558747768402,0.17409738898277283,0.017484283074736595,5.052086393675381e-08
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.0742325559258461,0.04621928930282593,0.997318685054779,0.04410318285226822,0.08015962690114975,0.012081854045391083,0.1627568155527115,0.0168015044182539,4.9359645259983154e-08,0.06436777859926224,0.04055166244506836,0.9979579448699951,0.04410318657755852,0.07112201303243637,0.012082016095519066,0.18770286440849304,0.014569103717803955,3.4564916262525e-08
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.04632508382201195,0.01876826584339142,0.998977541923523,0.0043276287615299225,0.04684044420719147,0.005549218039959669,0.11978861689567566,0.010485037229955196,4.9703096749453834e-08,0.033518556505441666,0.013474655337631702,0.9994412660598755,0.004327645059674978,0.03422733023762703,0.005549168214201927,0.16555510461330414,0.007586642634123564,3.483021870920311e-08
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.0732903853058815,0.0499875470995903,0.997391939163208,0.05264172703027725,0.08058793097734451,0.011864636093378067,0.1618853062391281,0.016588257625699043,4.968595490595362e-08,0.06454407423734665,0.04234568402171135,0.9979522824287415,0.05264173448085785,0.07272547483444214,0.011865029111504555,0.18382832407951355,0.014609008096158504,3.4653499625392215e-08
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.046912312507629395,0.03659243881702423,0.9992032051086426,0.003102855756878853,0.04744436591863632,0.006709488574415445,0.14302191138267517,0.0013828676892444491,6.4164651369935655e-09,0.04565787315368652,0.034577641636133194,0.9993286728858948,0.0031028117518872023,0.04620425030589104,0.006709468550980091,0.14695097506046295,0.0013458436587825418,8.960536312940803e-09
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.026895813643932343,0.012651415541768074,0.9996443390846252,0.013130235485732555,0.027534712105989456,0.0031093964353203773,0.11560893803834915,0.0007928271079435945,6.299445409752025e-09,0.026780985295772552,0.012999610044062138,0.9997162222862244,0.013130227103829384,0.0274225864559412,0.0031094232108443975,0.11610563099384308,0.0007894152076914907,6.505822547353546e-09
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.018275756388902664,0.01067393459379673,0.999839186668396,0.0011992298532277346,0.01833294704556465,0.00163476902525872,0.08945014327764511,0.0005387275014072657,6.3419571816325515e-09,0.018322009593248367,0.01030763890594244,0.9999064803123474,0.0011992392828688025,0.018379036337137222,0.0016347841592505574,0.0892251506447792,0.0005400725058279932,6.420329601297681e-09
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.021528832614421844,0.009643632918596268,0.999776303768158,0.01841186359524727,0.02221130207180977,0.0019030944677069783,0.08839747309684753,0.0006346207810565829,6.387002482455273e-09,0.021883752197027206,0.009614267386496067,0.9998362064361572,0.01841186173260212,0.022555531933903694,0.001903106807731092,0.08696437627077103,0.0006450609071180224,6.445172395785903e-09
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.044561367481946945,0.03599536418914795,0.999315083026886,0.003939913585782051,0.04505717009305954,0.0061322771944105625,0.1376142054796219,0.017205597832798958,8.560862596596053e-08,0.043756935745477676,0.035182587802410126,0.9993524551391602,0.003939885646104813,0.04426172748208046,0.006132274866104126,0.14014406502246857,0.016894986853003502,1.1545387934575047e-07
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.02170112542808056,0.01020096242427826,0.9997682571411133,0.009439140558242798,0.022130852565169334,0.00250251404941082,0.11531725525856018,0.008379025384783745,8.442408017117486e-08,0.022456077858805656,0.010932933539152145,0.9997524619102478,0.009439154528081417,0.022871633991599083,0.002502515446394682,0.11144045740365982,0.008670514449477196,8.283666375064058e-08
