seed,update,parameter_id,shape,reference_method,vq_method,raw_ratio_vq_over_reference,gram_ratio_vq_over_reference,gram_spectral_ratio_vq_over_reference,tail_subspace_ratio_vq_over_reference,update_distortion_ratio_vq_over_reference,exact_polar_distortion_ratio_vq_over_reference,raw_error_delta_vq_minus_reference,gram_error_delta_vq_minus_reference,update_distortion_delta_vq_minus_reference
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7947978380078445,0.8941523763722162,0.875214469570762,0.8270353981576264,0.6127479756486252,0.6078057048630401,-0.03484433889389038,-0.002861516550183296,-0.025361299514770508
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8015790433697698,0.8916669218718005,0.8127971731938587,0.8315916414428086,0.6186569729015201,0.6136582916803992,-0.034461960196495056,-0.0033603981137275696,-0.02579265832901001
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8231220442887193,0.9201848711754675,0.9258400681646565,0.8640312989638134,0.6482649576853676,0.6484132930263528,-0.03461627662181854,-0.005490593612194061,-0.032392919063568115
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7527043963052203,0.8236398646858253,0.8380027541668645,0.9688410957361318,0.7688530618992134,0.7682691440490413,-0.03231696039438248,-0.004672462120652199,-0.08234423398971558
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7409225345838821,0.8047084764473543,0.7732044449943243,0.9688743785941782,0.7784409913430028,0.8295432668545096,-0.033627040684223175,-0.004518898203969002,-0.08461296558380127
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.835291723822955,0.9596841311589109,0.9808319911909049,0.8634868691018849,0.6572103626164552,0.6521279881610612,-0.03057752549648285,-0.002095293253660202,-0.028286635875701904
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8425079955966382,0.9837625263877273,1.005653981695488,0.8656543221546842,0.6619927399423914,0.6562594739538141,-0.029570728540420532,-0.0009035207331180573,-0.0288657546043396
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.8589115900043065,0.9772409008271551,1.1234254385345959,0.8847289152639483,0.6818541808610501,0.677760711375593,-0.028695732355117798,-0.0020859986543655396,-0.03153395652770996
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7501273473333729,0.8365438031489376,0.8348626566719857,0.9709939906982665,0.7713216421748939,0.7810728358098402,-0.030279695987701416,-0.003380965441465378,-0.08474582433700562
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,structural_vq64_int3_k8,0.7467230378834342,0.8172567818004294,0.8082503656831781,0.9820097739397373,0.7883904123699755,0.8470324782869006,-0.03246017545461655,-0.00419248454272747,-0.08418142795562744
