seed,update,parameter_id,parameter_name,shape,method,update_cosine,update_relative_l2,update_norm_ratio,update_distortion,exact_polar_cosine,exact_polar_relative_l2,exact_polar_distortion,cached_update_source
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.9145130515098572,0.4161347448825836,1.0119388103485107,0.08548694849014282,0.9118812084197998,0.4198223948478699,0.0881187915802002,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.9333138465881348,0.3662028908729553,1.0052130222320557,0.06668615341186523,0.9306538105010986,0.37242934107780457,0.06934618949890137,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.9602441191673279,0.2824925184249878,1.0033499002456665,0.03975588083267212,0.9583898186683655,0.288501501083374,0.04161018133163452,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.9584877490997314,0.2886749505996704,1.0034618377685547,0.041512250900268555,0.9572473764419556,0.292429655790329,0.042752623558044434,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.8438860177993774,0.5611579418182373,1.0082913637161255,0.15611398220062256,0.8360643982887268,0.5726109147071838,0.1639356017112732,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8887691497802734,0.4716499149799347,0.9999129176139832,0.11123085021972656,0.883436381816864,0.48284414410591125,0.11656361818313599,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.9166964292526245,0.4080737233161926,0.9994329214096069,0.08330357074737549,0.9121527075767517,0.41917455196380615,0.08784729242324829,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.9252269864082336,0.3863884210586548,0.998229444026947,0.07477301359176636,0.9224866032600403,0.3937472701072693,0.07751339673995972,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5688702464103699,0.9444178342819214,1.0331289768218994,0.4311297535896301,0.5784841775894165,0.9181689023971558,0.4215158224105835,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.648770809173584,0.8588212132453918,1.0468590259552002,0.351229190826416,0.661685585975647,0.822576105594635,0.338314414024353,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7313071489334106,0.7539359927177429,1.0525959730148315,0.26869285106658936,0.7400206327438354,0.7210835814476013,0.25997936725616455,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.731205940246582,0.753364086151123,1.0509192943572998,0.26879405975341797,0.7391869425773621,0.7222394347190857,0.26081305742263794,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5385554432868958,0.9973449110984802,1.0721640586853027,0.46144455671310425,0.4965636730194092,1.0034310817718506,0.5034363269805908,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.6302953362464905,0.8973059058189392,1.080215573310852,0.3697046637535095,0.5824494361877441,0.9138389229774475,0.41755056381225586,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.7166112661361694,0.7868052124977112,1.080742359161377,0.28338873386383057,0.6510497331619263,0.8354049324989319,0.34895026683807373,muon_int3_practical_scale/tensor_level_results.csv
