seed,update,parameter_id,parameter_name,shape,method,reference_active_rank,compressed_active_rank,spectrum_relative_l2,spectrum_rank_normalized_rms,spectrum_log10_rmse,head_singular_relative_l2,head_singular_log10_rmse,middle_singular_relative_l2,middle_singular_log10_rmse,tail_singular_relative_l2,tail_singular_log10_rmse,head_eigengap,middle_eigengap,tail_eigengap
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,384,384,0.054503317922353745,0.002781360795801168,0.0425264835357666,0.053612057119607925,0.035929713398218155,0.06440439075231552,0.027455488219857216,0.19076208770275116,0.07646913081407547,6.200381851462211e-05,1.6804255507886154e-06,1.7626258650154e-07
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,384,384,0.01982996053993702,0.001011943436299394,0.03460415080189705,0.012339459732174873,0.007680925540626049,0.0574161522090435,0.024579280987381935,0.1521569788455963,0.06200507655739784,6.200381851462211e-05,1.6804255507886154e-06,1.7626258650154e-07
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,384,384,0.05645853653550148,0.0028811376278387543,0.03057732991874218,0.05702478811144829,0.03840141370892525,0.02869519032537937,0.012530284933745861,0.12625020742416382,0.05226779356598854,6.200381851462211e-05,1.6804255507886154e-06,1.7626258650154e-07
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,384,384,0.0783555805683136,0.0039985664769146894,0.3273145258426666,0.013441571034491062,0.005369305610656738,1.1921721696853638,0.3459468483924866,1.4272723197937012,0.37529540061950684,1.1136284956179444e-05,1.32934785092775e-08,5.288409895174874e-10
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,384,384,0.04222901538014412,0.002154990417114502,0.22333966195583344,0.0212398711591959,0.017257316038012505,0.6115292310714722,0.21221281588077545,0.9033787250518799,0.2749052345752716,1.1136284956179444e-05,1.32934785092775e-08,5.288409895174874e-10
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,384,384,0.024867206811904907,0.0012689993336964386,0.17323289811611176,0.004578132648020983,0.0034402741584926844,0.3931324779987335,0.14814074337482452,0.6979607939720154,0.22547315061092377,1.1136284956179444e-05,1.32934785092775e-08,5.288409895174874e-10
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,384,384,0.030359461903572083,0.00154927480269201,0.1609944850206375,0.021795447915792465,0.017672210931777954,0.34888532757759094,0.13404542207717896,0.6381434798240662,0.21027496457099915,1.1136284956179444e-05,1.32934785092775e-08,5.288409895174874e-10
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,384,384,0.08291837573051453,0.0042314106425028536,0.46423497796058655,0.015069374814629555,0.0071945334784686565,1.348710536956787,0.37744995951652527,4.765534400939941,0.8078163862228394,2.2407537132243527e-05,1.9685444317685263e-07,6.888484485970791e-09
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,384,384,0.04263053834438324,0.0021754805500810775,0.3473825454711914,0.02005664072930813,0.016440732404589653,0.6785070896148682,0.23125949501991272,2.957918405532837,0.6576152443885803,2.2407537132243527e-05,1.9685444317685263e-07,6.888484485970791e-09
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,384,383,0.025556817650794983,0.0013041908894542167,0.2845149338245392,0.004655730910599232,0.003354507265612483,0.4270380735397339,0.1596706509590149,2.3075711727142334,0.5610266923904419,2.2407537132243527e-05,1.9685444317685263e-07,6.888484485970791e-09
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,384,384,0.03103429451584816,0.0015837122102308815,0.2755850553512573,0.021060291677713394,0.017398498952388763,0.3967164158821106,0.15045936405658722,2.1247670650482178,0.5460137724876404,2.2407537132243527e-05,1.9685444317685263e-07,6.888484485970791e-09
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,384,384,0.04148907959461212,0.0021172307271774427,0.07262739539146423,0.01525179110467434,0.0049442509189248085,0.1659514158964157,0.06713590770959854,0.2976314425468445,0.11406974494457245,4.792435171316507e-06,2.1603740695463544e-08,9.57412463545304e-09
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,384,384,0.03411702439188957,0.0017410271104628544,0.03683565929532051,0.03176485002040863,0.024095233529806137,0.05584860220551491,0.0239047110080719,0.1630314439535141,0.06663823872804642,4.792435171316507e-06,2.1603740695463544e-08,9.57412463545304e-09
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,384,384,0.013040300458669662,0.0006654600461733774,0.026479873806238174,0.006538979709148407,0.004743396770209074,0.04729587212204933,0.020326802507042885,0.11544422060251236,0.047903478145599365,4.792435171316507e-06,2.1603740695463544e-08,9.57412463545304e-09
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,384,384,0.03780866414308548,0.0019294153126421256,0.023292766883969307,0.03728564828634262,0.028965821489691734,0.023204730823636055,0.010283518582582474,0.09208397567272186,0.03892473876476288,4.792435171316507e-06,2.1603740695463544e-08,9.57412463545304e-09
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,384,384,0.042069852352142334,0.0021468681628536543,0.07494860142469406,0.013972438871860504,0.0053467536345124245,0.17375321686267853,0.07007039338350296,0.30751684308052063,0.11711558699607849,2.8938905649164223e-06,5.174013581558121e-08,6.382856278662106e-09
