seed,update,parameter_id,parameter_name,shape,method,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.020022960379719734,0.002788711106404662,0.1406867802143097,0.027789926156401634,0.002788745565339923,0.10087497532367706
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.029476886615157127,0.003709006356075406,0.134079709649086,0.034289270639419556,0.0037090207915753126,0.11327729374170303
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.045524418354034424,0.0072550466284155846,0.16181595623493195,0.056183282285928726,0.007255141623318195,0.13042651116847992
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.03451986983418465,0.005557514727115631,0.16975627839565277,0.042083095759153366,0.005557581316679716,0.13677029311656952
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.02185244672000408,0.002982411067932844,0.13813184201717377,0.029098963364958763,0.002982448088005185,0.10318760573863983
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.032754454761743546,0.004134174436330795,0.13475395739078522,0.03735104203224182,0.004134185146540403,0.11630754172801971
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.09421498328447342,0.013448657467961311,0.14621542394161224,0.07989722490310669,0.013448558747768402,0.17409738898277283
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.08015962690114975,0.012081854045391083,0.1627568155527115,0.07112201303243637,0.012082016095519066,0.18770286440849304
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.04684044420719147,0.005549218039959669,0.11978861689567566,0.03422733023762703,0.005549168214201927,0.16555510461330414
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.08058793097734451,0.011864636093378067,0.1618853062391281,0.07272547483444214,0.011865029111504555,0.18382832407951355
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.04744436591863632,0.006709488574415445,0.14302191138267517,0.04620425030589104,0.006709468550980091,0.14695097506046295
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.027534712105989456,0.0031093964353203773,0.11560893803834915,0.0274225864559412,0.0031094232108443975,0.11610563099384308
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.01833294704556465,0.00163476902525872,0.08945014327764511,0.018379036337137222,0.0016347841592505574,0.0892251506447792
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.02221130207180977,0.0019030944677069783,0.08839747309684753,0.022555531933903694,0.001903106807731092,0.08696437627077103
