seed,update,parameter_id,shape,method_a,method_b,raw_relative_difference,raw_error_a,raw_error_b,gram_error_a,gram_error_b,update_distortion_a,update_distortion_b,smaller_gram_method,smaller_update_distortion_method,gram_orders_update
0,4096,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.023921203444272603,0.06280689686536789,0.06432750076055527,0.010180535726249218,0.010618249885737896,0.21555489301681519,0.21517479419708252,structural_int4_k8,structural_vq64_int3_k8,False
0,4096,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,structural_vq64_int3_k8,0.0464001102452015,0.14311835169792175,0.14991678297519684,0.036157190799713135,0.04443907365202904,0.056204795837402344,0.05375391244888306,structural_int4_k8,structural_vq64_int3_k8,False
0,4096,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.023850949691998385,0.0715763047337532,0.07330407202243805,0.008872111327946186,0.008944944478571415,0.2103603482246399,0.21298694610595703,structural_int4_k8,structural_int4_k8,True
0,4096,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03408691874857369,0.05718722939491272,0.05917036533355713,0.005825013853609562,0.00640614191070199,0.21470093727111816,0.21857142448425293,structural_int4_k8,structural_int4_k8,True
0,4096,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03304800283561664,0.06593544781208038,0.068151094019413,0.010875442065298557,0.010783703066408634,0.13400113582611084,0.1341070532798767,structural_vq64_int3_k8,structural_int4_k8,False
0,4096,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.016956813162832984,0.19247499108314514,0.18923866748809814,0.04951954632997513,0.04360435903072357,0.08710908889770508,0.08520811796188354,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,4096,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.01712832533204584,0.19215112924575806,0.1888878494501114,0.05095984786748886,0.0443994402885437,0.08909344673156738,0.08663034439086914,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,4096,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.021304984711042817,0.2090187668800354,0.2135198563337326,0.10886667668819427,0.10967706143856049,0.07453393936157227,0.07586723566055298,direct_scalar_int4,direct_scalar_int4,True
0,4096,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,structural_vq64_int3_k8,0.04324662335358243,0.165252223610878,0.1725567728281021,0.07942944765090942,0.09746254980564117,0.0492936372756958,0.04791492223739624,structural_int4_k8,structural_vq64_int3_k8,False
0,4096,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.015314214422565035,0.07750256359577179,0.07869861274957657,0.010905634611845016,0.011319480836391449,0.18421655893325806,0.18082290887832642,structural_int4_k8,structural_vq64_int3_k8,False
