parameter_id,shape,rank,bytes,frobenius_gain,k5_cosine_gain,frobenius_gain_per_byte,k5_gain_per_byte,error_energy
24,"(384, 1024)",4,11264,0.07356283068656921,0.007207211225347898,6.530791076577523e-06,6.398447465685279e-07,0.07356320321559906
24,"(384, 1024)",8,22528,0.09053267538547516,0.01353522484774794,4.018673445733095e-06,6.008178643354021e-07,0.09053315222263336
24,"(384, 1024)",16,45056,0.11445486545562744,0.02711415364433306,2.540280216966163e-06,6.01787856097591e-07,0.11445547640323639
24,"(384, 1024)",32,90112,0.14657528698444366,0.05655331599721808,1.6265900988152928e-06,6.2758917788106e-07,0.14657606184482574
25,"(1152, 384)",1,3072,0.0056436676532030106,0.0018465844527741776,1.8371313975270216e-06,6.011017098874276e-07,0.005643700715154409
25,"(1152, 384)",2,6144,0.00918867439031601,0.004090070683796979,1.495552472382163e-06,6.657016086909144e-07,0.009188728407025337
25,"(1152, 384)",4,12288,0.012992201372981071,0.008016488201542202,1.057308054441819e-06,6.52383479943213e-07,0.01299227774143219
25,"(1152, 384)",8,24576,0.016959793865680695,0.016113701028465502,6.900957790397418e-07,6.55668173358785e-07,0.016959890723228455
25,"(1152, 384)",16,49152,0.02089963387697935,0.03290686899229896,4.2520413974974264e-07,6.69491963547749e-07,0.020899750292301178
25,"(1152, 384)",32,98304,0.024457301944494247,0.06884784228276934,2.4879254093927255e-07,7.003564685340306e-07,0.02445743791759014
26,"(384, 384)",1,1536,0.012989036738872528,0.0019076158542567778,8.456404126870135e-06,1.2419374051150897e-06,0.01298910565674305
26,"(384, 384)",2,3072,0.018883757293224335,0.00404409603551395,6.1470564105547965e-06,1.3164375115605306e-06,0.018883852288126945
26,"(384, 384)",4,6144,0.02660232037305832,0.008366190927948408,4.329804748219128e-06,1.3616847213457696e-06,0.026602454483509064
26,"(384, 384)",8,12288,0.03282865509390831,0.016591353822512728,2.671602790845403e-06,1.3502078306081322e-06,0.03282882273197174
26,"(384, 384)",16,24576,0.0398724265396595,0.03213457755289659,1.6224131892765097e-06,1.3075593079791905e-06,0.03987263888120651
26,"(384, 384)",32,49152,0.04762403294444084,0.06465949060464657,9.689134306730314e-07,1.3155007040333368e-06,0.047624289989471436
27,"(1024, 384)",1,2816,0.006768990308046341,0.0021664307996208665,2.4037607628005473e-06,7.693291191835464e-07,0.006769025232642889
27,"(1024, 384)",2,5632,0.01035039871931076,0.0038869151764013288,1.8377838635139845e-06,6.901482912644405e-07,0.010350451804697514
27,"(1024, 384)",4,11264,0.014407459646463394,0.00694495190910277,1.2790713464544916e-06,6.165617817030158e-07,0.014407532289624214
27,"(1024, 384)",8,22528,0.019355036318302155,0.01342405265371599,8.591546661178158e-07,5.95883019074751e-07,0.019355138763785362
27,"(1024, 384)",16,45056,0.025861725211143494,0.02718866322660085,5.739907051478936e-07,6.034415666415317e-07,0.02586185745894909
27,"(1024, 384)",32,90112,0.033327147364616394,0.054464512398156584,3.698413903211159e-07,6.044090953275545e-07,0.03332732617855072
28,"(1024, 384)",1,2816,0.004417594522237778,0.002316854909231836,1.5687480547719381e-06,8.227467717442599e-07,0.004417612683027983
28,"(1024, 384)",2,5632,0.007297582924365997,0.003766820855308939,1.2957356044683943e-06,6.688247257295701e-07,0.00729762390255928
28,"(1024, 384)",4,11264,0.011170066893100739,0.006799229048874311,9.916607682085172e-07,6.036247380037564e-07,0.01117012370377779
28,"(1024, 384)",8,22528,0.01587390899658203,0.013641685256803482,7.046301933852109e-07,6.055435572089613e-07,0.015873990952968597
28,"(1024, 384)",16,45056,0.021831844002008438,0.026180819165650626,4.845490945048038e-07,5.810728685558111e-07,0.02183196321129799
28,"(1024, 384)",32,90112,0.02868753857910633,0.05241086012393015,3.1835425447339233e-07,5.816190976110857e-07,0.028687691316008568
29,"(384, 1024)",1,2816,0.1872248649597168,0.0012648037080316143,6.648610261353579e-05,4.491490440453176e-07,0.18722596764564514
29,"(384, 1024)",2,5632,0.2031603455543518,0.001975613357489747,3.6072504537349396e-05,3.5078362171337843e-07,0.20316150784492493
29,"(384, 1024)",4,11264,0.22376814484596252,0.004923484979735604,1.986577990464866e-05,4.370991636839137e-07,0.2237693965435028
29,"(384, 1024)",8,22528,0.246605783700943,0.00982394318792823,1.094663457479328e-05,4.36077023611871e-07,0.24660713970661163
29,"(384, 1024)",16,45056,0.2772248387336731,0.021559193855341496,6.152895035814833e-06,4.784977329399302e-07,0.27722635865211487
29,"(384, 1024)",32,90112,0.31166230142116547,0.05103323018761319,3.458610411722806e-06,5.663311233533069e-07,0.31166401505470276
