objective,target_bits,parameter_id,rank,increment_bytes,gain,gain_per_byte
frobenius,0.5,20,1,3072,0.007451304898454025,2.425554979965503e-06
frobenius,0.5,5,1,3072,0.006325846012684155,2.05919466558729e-06
frobenius,0.5,4,2,2816,0.005670875480349724,2.0138052131923737e-06
frobenius,0.5,9,2,2816,0.005196770362380421,1.8454440207316835e-06
frobenius,0.5,24,1,2816,0.003944099185705152,1.4006034040146137e-06
frobenius,0.5,16,2,1536,0.0019401384658992438,1.2631109804031534e-06
frobenius,0.5,2,1,2816,0.003401609625324875,1.207957963538663e-06
frobenius,0.5,3,1,2816,0.003379520062875563,1.2001136586916062e-06
frobenius,0.5,7,1,2816,0.0031066569543157785,1.1032162479814554e-06
frobenius,0.5,6,4,3072,0.003352910836831091,1.0914423296976207e-06
frobenius,0.5,0,1,3072,0.0032749162509050356,1.0660534670914829e-06
frobenius,0.5,8,1,2816,0.002962590501147666,1.0520562859189155e-06
frobenius,0.5,11,4,3072,0.003136868490281164,1.0211160450133998e-06
frobenius,0.5,4,4,5632,0.005324529776164821,9.454065653701742e-07
frobenius,0.5,29,2,2816,0.0025827781073972655,9.171797256382335e-07
frobenius,0.5,1,8,6144,0.005563099444303665,9.054523835129663e-07
frobenius,0.5,0,2,3072,0.002651677342006664,8.631762181011277e-07
frobenius,0.5,14,1,2816,0.002157948600327142,7.663169745479907e-07
frobenius,0.5,9,4,5632,0.003994818116435428,7.093071939693587e-07
frobenius,0.5,11,8,6144,0.003794478454479,6.175908942836914e-07
frobenius,0.5,24,2,2816,0.0016656307846877327,5.914882047896779e-07
frobenius,0.5,4,8,11264,0.006090731359423729,5.407254402897486e-07
frobenius,0.5,10,2,3072,0.0016017036488227276,5.21387906517815e-07
frobenius,0.5,6,8,6144,0.002994477390125483,4.873823877157361e-07
frobenius,0.5,16,4,3072,0.0014627077652483722,4.7614185066678784e-07
frobenius,0.5,19,1,2816,0.0012993443877222788,4.61414910412741e-07
frobenius,0.5,13,1,2816,0.0012838430799076983,4.559101846263133e-07
frobenius,0.5,19,2,2816,0.0012597759102536132,4.473636044934706e-07
frobenius,0.5,26,1,1536,0.000685625733437556,4.4637092020674216e-07
frobenius,0.5,26,2,1536,0.0009797330593086517,6.378470438207368e-07
frobenius,0.5,11,16,12288,0.005403585972811986,4.397449522145171e-07
frobenius,0.5,12,1,2816,0.0012242684837723283,4.3475443315778703e-07
frobenius,0.5,3,2,2816,0.0011962844672815942,4.248169273017025e-07
frobenius,0.5,5,2,3072,0.0012464426128200312,4.057430380273539e-07
frobenius,0.5,9,8,11264,0.004547256716776582,4.0369821704337554e-07
frobenius,0.5,14,2,2816,0.0010862323742801827,3.8573592836654214e-07
frobenius,0.5,2,2,2816,0.0010816131649042937,3.840955841279452e-07
frobenius,0.5,8,2,2816,0.0010458717355016356,3.714033151639331e-07
frobenius,0.5,7,2,2816,0.0010211968442982444,3.6264092482181973e-07
frobenius,0.5,18,1,2816,0.0010159784796858196,3.6078781238843025e-07
frobenius,0.5,17,1,2816,0.0009999779900954353,3.551058203463904e-07
frobenius,0.5,4,16,22528,0.0079673554960622,3.536645728010565e-07
frobenius,0.5,21,4,3072,0.0010850408467509842,3.53203400635086e-07
frobenius,0.5,14,4,5632,0.001961557534771008,3.4828791455451134e-07
frobenius,0.5,16,8,6144,0.0020966288883755846,3.412481914673803e-07
frobenius,0.5,27,1,2816,0.0009038712440527785,3.20977004280106e-07
frobenius,0.5,29,4,5632,0.0017988578764362995,3.193994809013316e-07
frobenius,0.5,15,2,3072,0.0009404954766774054,3.0615087131425955e-07
frobenius,0.5,1,16,12288,0.0037132621701420065,3.0218604900244194e-07
frobenius,0.5,10,4,6144,0.0017907637948386679,2.914654613995228e-07
frobenius,0.5,21,8,6144,0.001694947406412961,2.7587034609585954e-07
frobenius,0.5,0,4,6144,0.001669705943342925,2.717620350493042e-07
frobenius,0.5,19,4,5632,0.0015282331151151851,2.7134820935994053e-07
frobenius,0.5,9,16,22528,0.005952576094784168,2.6423011784375745e-07
frobenius,0.5,20,2,3072,0.00080540572465293,2.62176342660459e-07
frobenius,0.5,29,8,11264,0.0029048374761483364,2.578868498001009e-07
frobenius,0.5,11,32,24576,0.0061271077329030366,2.493126518922134e-07
frobenius,0.5,6,16,12288,0.003010059740806814,2.449592888026379e-07
frobenius,0.5,14,8,11264,0.002741037485107678,2.4334494718640607e-07
frobenius,0.5,24,4,5632,0.0013336475930944003,2.3679822320568188e-07
frobenius,0.5,15,4,6144,0.0014284498012014923,2.3249508483097207e-07
frobenius,0.5,4,32,45056,0.009842490419979866,2.1845016024458153e-07
frobenius,0.5,28,1,2816,0.0005914216722541221,2.1002190065842405e-07
frobenius,0.5,16,16,12288,0.002577653910964872,2.0977001228555275e-07
frobenius,0.5,21,16,12288,0.0025609789894820434,2.0841300370133816e-07
frobenius,0.5,25,1,3072,0.0006099908852849056,1.9856474130368023e-07
frobenius,0.5,14,16,22528,0.004416056204249341,1.960252221346476e-07
frobenius,0.5,26,4,3072,0.0006065850681233886,1.9745607686308224e-07
frobenius,0.5,29,16,22528,0.004391425298276519,1.9493187581128015e-07
frobenius,0.5,19,8,11264,0.0021783500548566703,1.9339045231326975e-07
frobenius,0.5,20,4,6144,0.0011363853317124528,1.8495855008340703e-07
frobenius,0.5,10,8,12288,0.0022213849224140825,1.8077676777458353e-07
frobenius,0.5,5,4,6144,0.0010322760950766119,1.6801368734970897e-07
frobenius,0.5,13,2,2816,0.0004661408132556888,1.655329592527304e-07
frobenius,0.5,12,2,2816,0.0004632160636778293,1.644943407946837e-07
frobenius,0.5,24,8,11264,0.001850357013441939,1.6427175190358124e-07
frobenius,0.5,19,16,22528,0.0036497069513314884,1.6200758839362076e-07
frobenius,0.5,9,32,45056,0.007208108747304376,1.5998110678498704e-07
frobenius,0.5,27,2,2816,0.00045226467437375906,1.6060535311568147e-07
frobenius,0.5,2,4,5632,0.0008741361219446464,1.5520882847028522e-07
frobenius,0.5,1,32,24576,0.003797904728724655,1.545371390268821e-07
frobenius,0.5,23,1,2816,0.0004140048046283873,1.4701875164360345e-07
frobenius,0.5,3,4,5632,0.0008222393989568699,1.4599421146251242e-07
frobenius,0.5,25,2,3072,0.00040653450793026735,1.3233545180021725e-07
frobenius,0.5,22,1,2816,0.0003674626210569132,1.3049098759123337e-07
frobenius,0.5,22,2,2816,0.00038638244499600294,1.3720967506960333e-07
k5_aware,0.5,21,1,1536,6.906567722911316e-05,4.496463361270388e-08
k5_aware,0.5,20,1,3072,0.00012302790916202122,4.004814751367878e-08
k5_aware,0.5,1,1,1536,6.0759175221025696e-05,3.9556754701188607e-08
k5_aware,0.5,1,2,1536,7.255190047802951e-05,4.723431020705046e-08
k5_aware,0.5,1,4,3072,0.00013957747593340564,4.543537628040548e-08
k5_aware,0.5,1,8,6144,0.0002419703632277892,3.9383197139939646e-08
k5_aware,0.5,1,16,12288,0.0005206499617345095,4.237060235469641e-08
k5_aware,0.5,1,32,24576,0.0011579666483836626,4.71177835442571e-08
k5_aware,0.5,5,1,3072,0.0001186361430110805,3.8618536136419435e-08
