seed,update,parameter_id,shape,method,actual_polar_cosine,actual_polar_distortion,cached_polar_cosine,predicted_polar_distortion,predicted_relative_l2,magnitude_delta_norm,symmetric_delta_norm,skew_delta_norm,outside_delta_norm
0,4096,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.714754562019162,0.285245437980838,0.7147554159164429,0.40730297974220864,1.3589196717148546,0.0,0.0,14.984512503594306,22.01321396783134
0,4096,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7851090234684909,0.21489097653150913,0.78510981798172,0.3035422913673774,1.030356945911604,0.0,0.0,11.348445630808577,16.6997024138092
0,4096,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7873883505574797,0.2126116494425203,0.7873894572257996,0.2908573826551445,0.9942531555088363,0.0,0.0,10.866460997031131,16.171532525114085
0,4096,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5580128220505145,0.4419871779494855,0.5580133199691772,0.6497977011885879,2.674671684667773,0.0,0.0,30.32846779512616,42.74651719518673
0,4096,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7653317808292982,0.2346682191707018,0.7653335928916931,0.3073504919718134,1.0413332883569704,0.0,0.0,11.527998152601388,16.83756446705648
0,4096,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.8374733364957943,0.16252666350420575,0.8374758362770081,0.21232818011840726,0.7821785243020235,0.0,0.0,8.755268526221647,12.580809629834976
0,4096,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.835988319565271,0.16401168043472902,0.8359904885292053,0.20305754101269258,0.7579721858013597,0.0,0.0,8.369337232120767,12.270684046429139
0,4096,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5675289747583214,0.4324710252416786,0.5675306916236877,0.6550864438492559,2.7213742574817723,0.0,0.0,29.129341498135464,44.66908308340704
0,4096,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6662175611442092,0.33378243885579084,0.6662188768386841,0.5041287624652042,1.7512548339710203,0.0,0.0,17.628723554591115,29.44341077806888
0,4096,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7397453049171117,0.26025469508288834,0.7397465705871582,0.3988509990386311,1.3293506381311546,0.0,0.0,13.261045591820489,22.421835791338953
0,4096,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7422587682894769,0.2577412317105231,0.7422601580619812,0.3824937105897783,1.2737794145937322,0.0,0.0,12.684197437811683,21.497816437840367
0,4096,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6121009841978129,0.3878990158021871,0.6121015548706055,0.6065356726928743,2.3365287273399464,0.0,0.0,23.702897211904762,39.17356321563494
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7408789444502806,0.2591210555497194,0.7408803105354309,0.3313051775113601,1.1119288548836939,0.0,0.0,11.427526580794122,18.552142729023537
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.8165630454323561,0.18343695456764386,0.8165643215179443,0.2333670080437198,0.8375452926912123,0.0,0.0,8.570314475098868,13.997065355918878
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.8147034407510735,0.18529655924892652,0.8147045969963074,0.22575682464151392,0.8174338211845174,0.0,0.0,8.378522094353494,13.65237923603834
1,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6579268356855854,0.3420731643144146,0.6579274535179138,0.4741325636786782,1.6174618284090827,0.0,0.0,16.636618195389413,26.978386988288978
1,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6243482322057464,0.3756517677942536,0.624348521232605,0.5641005063274946,2.064693784028139,0.0,0.0,21.867734782359896,34.040762417831736
1,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7060163922487193,0.29398360775128074,0.7060168385505676,0.45019245619992376,1.519249868103766,0.0,0.0,16.201414728065195,24.976575690259395
1,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7000240327629534,0.29997596723704656,0.7000249028205872,0.4494542931295463,1.51632947620399,0.0,0.0,15.984170819187254,25.04829947676898
1,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5096620654410535,0.4903379345589465,0.5096626877784729,0.7250102257411947,3.49631467190133,0.0,0.0,37.490563609935286,57.34580334957691
1,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.5993714395325357,0.4006285604674643,0.5993724465370178,0.6182028332495975,2.4207846303539915,0.0,0.0,26.625296329203447,39.26072249011752
1,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.6703940245615877,0.3296059754384123,0.6703950762748718,0.5161623122217697,1.8087891241447103,0.0,0.0,19.76841397606177,29.420171948533845
1,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.670271862499553,0.32972813750044705,0.670272171497345,0.5097900929486826,1.778028114307631,0.0,0.0,19.39331643180019,28.945946325021904
1,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.4447611085109124,0.5552388914890876,0.44476133584976196,0.8114100410290079,5.207374280296189,0.0,0.0,57.36698881715448,84.39096127803307
1,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7159722614458599,0.2840277385541401,0.7159728407859802,0.37928142405364407,1.2631106701382584,0.0,0.0,12.897382544894842,21.126006615926727
1,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7943921643310865,0.2056078356689135,0.7943935394287109,0.2718294191688213,0.9412614207246254,0.0,0.0,9.56695772936039,15.769783549470857
1,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.792686138181736,0.20731386181826394,0.792687177658081,0.26611841494294053,0.9255994152369238,0.0,0.0,9.427667880131313,15.495294939223728
1,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6161912568685046,0.3838087431314954,0.6161920428276062,0.5401752517454994,1.931197582355375,0.0,0.0,19.896096319690752,32.19128458370223
1,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6385338938768007,0.3614661061231993,0.638534665107727,0.5207901348159516,1.8315634040659416,0.0,0.0,16.975850935239027,31.62266028165933
1,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7223527996596618,0.2776472003403382,0.7223536968231201,0.40923943930109974,1.3657815297730556,0.0,0.0,12.614798747949694,23.604295006438985
1,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7191622008471009,0.2808377991528991,0.719163179397583,0.4013385209941561,1.3379933674994948,0.0,0.0,12.363419555822578,23.121219404929565
1,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.530989055127059,0.46901094487294104,0.5309895873069763,0.6834091628491427,2.9961860573699197,0.0,0.0,27.730421169888643,51.75163968148073
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6004229305736353,0.39957706942636473,0.6004239320755005,0.5923679979974118,2.240133795080665,0.0,0.0,21.18838051201232,38.44520617009017
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.6805542973104632,0.31944570268953676,0.6805551052093506,0.48443490786845755,1.661971273482883,0.0,0.0,15.646725901303057,28.562930783763417
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.6749405075582587,0.32505949244174126,0.6749415397644043,0.4786088319331657,1.6366248927342664,0.0,0.0,15.40611444085007,28.128411362125085
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.4900324192201736,0.5099675807798264,0.4900331497192383,0.7527694490080656,3.9192591743135554,0.0,0.0,35.83997092885222,67.92600185554808
1,1024,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7051744323210184,0.2948255676789816,0.7051753997802734,0.40086723660310686,1.3363528214366063,0.0,0.0,13.895387422937416,22.196361192577275
1,1024,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7859891277837389,0.21401087221626114,0.7859897017478943,0.29032114129176434,0.9927426535016826,0.0,0.0,10.353666077681142,16.46958240175712
1,1024,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7799233084293713,0.2200766915706287,0.7799239158630371,0.2868250481498553,0.9829134547935146,0.0,0.0,10.184026057643168,16.348524081724435
1,1024,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6155791225028048,0.3844208774971952,0.6155794858932495,0.5541418579364465,2.007604087735335,0.0,0.0,20.762014073668105,33.416112849814574
1,1024,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6788831603006196,0.32111683969938043,0.6788842082023621,0.456799262940072,1.5456628627716662,0.0,0.0,15.457050382720224,26.047682880503373
1,1024,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7549992082188974,0.24500079178110257,0.7550010085105896,0.34352857982937957,1.1491030371337096,0.0,0.0,11.502838448771996,19.357987061598827
1,1024,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7541456808818147,0.24585431911818534,0.7541470527648926,0.3364519111957862,1.1274782514070127,0.0,0.0,11.22615122018919,19.029345321016443
1,1024,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5184173024704809,0.4815826975295191,0.5184178948402405,0.760653555694291,4.05661581914845,0.0,0.0,40.08129856126264,68.6485956778704
1,1024,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6479555450392109,0.35204445496078907,0.6479565501213074,0.5163831861913768,1.8098693500184124,0.0,0.0,18.483415736214177,30.268797804008553
1,1024,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.72533056932362,0.27466943067638006,0.7253312468528748,0.408731820467803,1.3639808410915466,0.0,0.0,14.010510480016066,22.762111583935276
