seed,update,parameter_id,parameter_name,shape,method,frechet_distortion_pred,actual_update_distortion,actual_frechet_cosine_error_difference,frechet_relative_l2,actual_update_relative_l2,sigma_max,sigma_min,condition_number_proxy,state_error_relative_fro,quadratic_gram_ratio
1,1024,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6591763198375702,0.4929500222206116,0.16622629761695862,2.7552034854888916,1.029213786125183,0.08432181924581528,8.862504182616249e-05,951.4446411132812,0.20375260710716248,0.1619933396577835
1,2048,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6589775085449219,0.49805575609207153,0.16092175245285034,2.7587413787841797,1.0398287773132324,0.5631207227706909,2.458841663610656e-06,229018.703125,0.20967881381511688,0.10427556186914444
1,2048,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5994286835193634,0.4387066960334778,0.16072198748588562,2.270310878753662,0.9721536040306091,0.6569775342941284,4.749210347654298e-06,138334.0625,0.19558042287826538,0.09498677402734756
0,1024,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6486279666423798,0.4883396029472351,0.16028836369514465,2.664560556411743,1.0328996181488037,0.6305221319198608,2.444727442707517e-06,257911.015625,0.2017393559217453,0.1003318503499031
1,512,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6651942431926727,0.5078676640987396,0.1573265790939331,2.82380747795105,1.053519606590271,0.10370390862226486,9.408785263076425e-05,1102.2030029296875,0.1957325041294098,0.1466657668352127
1,4096,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6613878309726715,0.5044272243976593,0.1569606065750122,2.7651705741882324,1.04936683177948,0.6522051692008972,5.710725417884532e-06,114207.0625,0.20717193186283112,0.1000293493270874
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6570497453212738,0.5001667141914368,0.15688303112983704,2.744624137878418,1.045671820640564,0.15170884132385254,8.155369869200513e-05,1860.2325439453125,0.1992119997739792,0.12254159897565842
1,1024,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6369496583938599,0.480549156665802,0.15640050172805786,2.5418970584869385,1.0139940977096558,0.15000185370445251,0.00012377309030853212,1211.9100341796875,0.19290517270565033,0.13037922978401184
1,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.7112844586372375,0.5553061068058014,0.15597835183143616,3.3089213371276855,1.1288152933120728,0.20996420085430145,5.8864072343567386e-05,3566.932861328125,0.1957380473613739,0.09799570590257645
0,512,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6490349173545837,0.49326854944229126,0.15576636791229248,2.6573455333709717,1.0336778163909912,0.11246839165687561,9.483010217081755e-05,1185.9989013671875,0.18728365004062653,0.14615631103515625
