scope,outcome,predictor,n,pearson,spearman,method,shape,seed
per_method,actual_polar_distortion,finite_k_skew_score,300,0.9559309004644424,0.992611917910199,structural_int4_k8,,
per_method,actual_polar_distortion,frechet_relative_l2,300,0.9704050759733145,0.9793859931777019,structural_int4_k8,,
per_method,actual_polar_distortion,frechet_distortion_pred,300,0.9732000751041927,0.9793184368715208,structural_int4_k8,,
per_method,actual_polar_distortion,frozen_norm_frechet_distortion_pred,300,0.9732041381201172,0.9793144368270758,structural_int4_k8,,
per_method,actual_polar_distortion,magnitude_only,300,0.8940414497966721,0.9335083279871814,structural_int4_k8,,
per_method,actual_polar_distortion,symmetric_only,300,0.9458046080545641,0.9901853343020909,structural_int4_k8,,
per_method,actual_polar_distortion,skew_only,300,0.9782608607527307,0.992611917910199,structural_int4_k8,,
per_method,actual_polar_distortion,out_of_subspace_only,300,0.16101484343788852,0.07253278230072027,structural_int4_k8,,
per_method,actual_polar_distortion,orientation_plus_outside,300,0.9150095482596452,0.9519181324236936,structural_int4_k8,,
per_method,actual_polar_distortion,all_channels,300,0.9732000718538311,0.9793184368715208,structural_int4_k8,,
per_method,actual_polar_distortion,jvp_output_relative_l2,30,0.8756293727298883,0.8246941045606229,structural_int4_k8,,
per_method,actual_polar_distortion,jvp_predicted_cosine_distortion,30,0.8758538457527685,0.8344827586206897,structural_int4_k8,,
per_method,actual_polar_distortion,exact_polar_pred_distortion,30,0.9962583566153338,0.9946607341490545,structural_int4_k8,,
per_method,actual_update_distortion,raw_relative_l2,300,-0.82623070021664,-0.7291005455616173,structural_vq64_int3_k8,,
per_method,actual_update_distortion,right_gram_relative_fro,300,-0.6069065720072111,-0.6080569784108713,structural_vq64_int3_k8,,
per_method,actual_update_distortion,right_gram_relative_spectral,300,-0.5136835462311884,-0.5463620706896742,structural_vq64_int3_k8,,
per_method,actual_update_distortion,tail_angle,300,0.9644127758097912,0.97724596939966,structural_vq64_int3_k8,,
per_method,actual_update_distortion,prior_gap_proxy,300,0.1315490039955282,0.8442009355659507,structural_vq64_int3_k8,,
per_method,actual_update_distortion,gap_skew_score,300,0.38307197651837027,0.8428835875954177,structural_vq64_int3_k8,,
per_method,actual_update_distortion,sigma_sum_skew_score,300,0.5703951349795011,0.9647142746030511,structural_vq64_int3_k8,,
per_method,actual_update_distortion,finite_k_skew_score,300,0.9171655890068839,0.9806051178346425,structural_vq64_int3_k8,,
per_method,actual_update_distortion,frechet_relative_l2,300,0.9965902405704682,0.9988479871998578,structural_vq64_int3_k8,,
per_method,actual_update_distortion,frechet_distortion_pred,300,0.9975332799552414,0.9988168757430638,structural_vq64_int3_k8,,
per_method,actual_update_distortion,frozen_norm_frechet_distortion_pred,300,0.9974147387562136,0.9989186546517183,structural_vq64_int3_k8,,
per_method,actual_update_distortion,magnitude_only,300,0.8087128908111532,0.8379491814297079,structural_vq64_int3_k8,,
per_method,actual_update_distortion,symmetric_only,300,0.8848590581955802,0.973439260436227,structural_vq64_int3_k8,,
per_method,actual_update_distortion,skew_only,300,0.9470196896740813,0.980606006733408,structural_vq64_int3_k8,,
per_method,actual_update_distortion,out_of_subspace_only,300,0.3577004202738032,0.20118040616693583,structural_vq64_int3_k8,,
per_method,actual_update_distortion,orientation_plus_outside,300,0.9739017185954769,0.9881314236824852,structural_vq64_int3_k8,,
per_method,actual_update_distortion,all_channels,300,0.9975332796307759,0.9988168757430638,structural_vq64_int3_k8,,
per_method,actual_update_distortion,jvp_output_relative_l2,30,0.992093369154191,0.9915461624026695,structural_vq64_int3_k8,,
per_method,actual_update_distortion,jvp_predicted_cosine_distortion,30,0.9944716010904415,0.9911012235817575,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,raw_relative_l2,300,-0.8239971241451006,-0.7425873620818009,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,right_gram_relative_fro,300,-0.6046528648853918,-0.637807531194791,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,right_gram_relative_spectral,300,-0.5155475638548875,-0.5769019655773953,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,tail_angle,300,0.9321939488099311,0.9514550161668462,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,prior_gap_proxy,300,0.16696711883332863,0.869961221791353,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,gap_skew_score,300,0.4208839139786708,0.8521925799175546,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,sigma_sum_skew_score,300,0.6696635958084115,0.9903625595839953,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,finite_k_skew_score,300,0.955722533561305,0.9927403637818197,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,frechet_relative_l2,300,0.9691186701752782,0.980039778219758,structural_vq64_int3_k8,,
per_method,actual_polar_distortion,frechet_distortion_pred,300,0.9716614739779655,0.9798219980222003,structural_vq64_int3_k8,,
