seed,update,parameter_id,shape,method,gap_skew_score,sigma_sum_skew_score,finite_k_skew_score,actual_update_distortion
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,125.06941712196053,0.07392386670968817,0.05819710737648192,0.13357216119766235
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,61.37808973010698,0.04440739880525235,0.03496134308185748,0.09048622846603394
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,46.29086996613545,0.04671549828880213,0.0368228781903951,0.0940619707107544
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,206.59618926541094,0.13552981923208246,0.1067675360693668,0.186670184135437
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,97.68382202262593,0.08465108816216886,0.06595002945185954,0.14845293760299683
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,60.650616021729846,0.06058757653011183,0.047256368102535,0.1153598427772522
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,54.26449399427815,0.05396804254835134,0.04203914465086065,0.10871976613998413
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,189.87575703550095,0.17343178024008502,0.13485496937380265,0.2179819941520691
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,2163.8063822822646,2.2938035930195424,0.8199643426713579,0.3817524313926697
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,420.60075291550515,1.2863989675234326,0.45904458319400304,0.29278135299682617
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,806.2252996396073,1.2464321088960368,0.441134289527253,0.29166513681411743
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,9667.876900848942,8.00633873568505,2.8581740019905184,0.5001667141914368
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,2037.5780098042399,44.23424731597091,1.3841789061620327,0.394692599773407
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1020.5570515033429,29.03141155833823,0.7794612220886229,0.30817198753356934
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,992.2321746932693,27.31871255813787,0.7310750915763575,0.3051973581314087
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,6911.234059358481,147.27650205530986,4.353247416817214,0.5081838369369507
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,112.31578788770217,0.08098095092002443,0.06958791301644372,0.15865188837051392
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,35.43132617678069,0.04811623751132054,0.04135327095748634,0.10837620496749878
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,44.90000337041129,0.04937798881756987,0.042357907807132916,0.11137378215789795
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,194.2895460257459,0.16288667784555616,0.13924486473913858,0.22670042514801025
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,107.77136448905514,0.08344663955794542,0.07459961521896452,0.16734689474105835
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,65.99662891359087,0.05042912716566446,0.04503701231328028,0.11589491367340088
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,56.737936087670846,0.052794879406037665,0.046935556984766036,0.12117940187454224
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,226.9156191908759,0.1645324250976307,0.14642650874119276,0.23091202974319458
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,68.63093394601448,0.08281191758325668,0.06591452329158268,0.15028971433639526
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,52.71771910671221,0.05746102337925372,0.04597280774754715,0.11451739072799683
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,51.61349002777559,0.0509136402586001,0.04047499616881361,0.10747009515762329
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,152.75194017758093,0.18910206609970076,0.15065462639275073,0.2351628541946411
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,5833.059094524906,2.4927443557814195,0.7364342931846555,0.3680201768875122
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1154.4626466726234,1.4383989763280567,0.4190220621292088,0.28224003314971924
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,5210.595916733851,1.3051819515389045,0.3866530979261307,0.27480489015579224
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,10763.35009529063,10.261674086155187,3.026343658891597,0.5135931372642517
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,4903.75291989929,49.18189455772344,1.248243527011161,0.384651780128479
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1070.5148757948416,33.04086267519357,0.7213143104042382,0.3001784682273865
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,892.2521472045362,37.38908479298776,0.6573744669261232,0.28984105587005615
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,14186.886153998024,230.20071234316254,4.818390353473653,0.5242783427238464
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,158.27482748892263,0.08750085892507323,0.08185848519809992,0.18438607454299927
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_int4_k8,63.5855771561093,0.05198133899677154,0.04878059426528398,0.1253758668899536
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,58.650636219003694,0.05417388277431002,0.05050446485468523,0.13139444589614868
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,453.6546228958963,0.2024933710802829,0.18868094959186119,0.2660558819770813
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,70.89415646480117,0.08905634439887689,0.08222842634295179,0.18266397714614868
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_int4_k8,69.925839627206,0.054305612178812857,0.050565694873295985,0.12856096029281616
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,39.47304566480116,0.05707431117869127,0.05254673387566352,0.13203638792037964
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,177.0658368549974,0.19552357854638272,0.1802059932480323,0.2612614631652832
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,85.83641748989491,0.08363985630159385,0.0695180732030516,0.15962111949920654
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,90.75453390858135,0.058451724215571335,0.04866977912401632,0.12366771697998047
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,78.01041099589864,0.052169057048451796,0.043177015481322814,0.11509871482849121
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,1040.0787633072632,0.205100389923996,0.17015712834300648,0.25443798303604126
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1542.2049055616985,2.899755624015171,0.6778235481151579,0.35806411504745483
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1141.7993725252932,1.6405153740564415,0.38642247332806273,0.2653657793998718
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,724.5974786771556,1.5461333909352957,0.36112860378490325,0.2623522877693176
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,9678.364928800962,16.015742961765916,3.705817372047899,0.5366685092449188
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,2629.938586850869,77.14383631288227,0.9381631054480751,0.3613089323043823
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,2244.8944454783395,39.59121425928334,0.5465667012028553,0.26924246549606323
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,4553.334591179413,35.38186131261447,0.5065311825207965,0.26395416259765625
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,22184.111168338633,343.29514731911115,5.950737845931188,0.5589013993740082
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,87.6709385372274,0.08839933099934627,0.08707458172171972,0.192920982837677
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_int4_k8,38.42953134214458,0.0508177486140835,0.050035949841146336,0.13299798965454102
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,34.199793560530786,0.053328207135327245,0.05212702093543586,0.13571834564208984
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,161.4455692799351,0.236819436562806,0.23160526434651668,0.2997850179672241
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,68.99566073038326,0.09103416026019848,0.08940183211058889,0.1962462067604065
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_int4_k8,55.673596403161596,0.052796715842905864,0.0520159133160292,0.1343502402305603
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,42.22254834290327,0.05417415473256711,0.05284035415767645,0.13909995555877686
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,138.08106542650924,0.23810381472507458,0.2329780817143024,0.29669928550720215
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,80.73140385428734,0.07920291106464737,0.0678716571682053,0.16200226545333862
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,54.527804150974916,0.05641401127431435,0.04847266252839091,0.12561827898025513
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,41.934668244550664,0.04828359734253986,0.041128530548161915,0.11333703994750977
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,306.72498868593186,0.2515232543623994,0.21528698750582956,0.2848694324493408
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,1314.1172381304523,0.49381058861451377,0.40976503947435755,0.31188249588012695
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,644.6894907680758,0.27155746682994547,0.22585387616418037,0.22538292407989502
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,217.65272407110285,0.2645257312380803,0.22051515142625114,0.22678780555725098
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1374.2030999630442,1.1635431147343382,0.9639071907229568,0.4108702540397644
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,596.861429250299,12.402988429581846,1.1206809250624166,0.3512391448020935
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,459.00093162599006,6.113312237459992,0.6091589733682625,0.2614702582359314
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,329.9569242083483,6.4073442121755555,0.5896841300802792,0.2632075548171997
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,1903.9216136764085,28.35202209251155,2.6052881628417524,0.44084906578063965
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,63.68023103687906,0.033043857161715734,0.024679501212949168,0.06549042463302612
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,52.59481169154813,0.019290633121512978,0.014378690090669298,0.038972556591033936
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,25.446499085654104,0.019332292364821688,0.01449892434703707,0.040129125118255615
0,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,57.878304987448125,0.04166470440119663,0.031061473669965714,0.07688575983047485
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,49.596399382463886,0.034432384918198104,0.025718496251712495,0.06763637065887451
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,29.620262833275817,0.020441419222484825,0.01521561777594374,0.040345728397369385
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,23.295172808145438,0.020683847245502363,0.015436754653920425,0.0418437123298645
0,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,36.16156721918635,0.04264012432554545,0.03184884002072147,0.07746672630310059
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,47.43942265544222,0.050555452409042335,0.03590168333775328,0.09209465980529785
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,32.29539637489782,0.03342475604699964,0.02365600926770577,0.06202805042266846
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,29.919791743293917,0.030460824164588517,0.021669784280714408,0.059701740741729736
0,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,151.95969545837332,0.06931166113151849,0.049219510529557864,0.11417841911315918
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,857.5486534873944,0.7196680604127139,0.5417697917739082,0.35624194145202637
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,537.4055851978176,0.3904984121049263,0.29488760469074005,0.2705448865890503
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,687.8907271739182,0.39007270546283834,0.2926477372825459,0.2738977074623108
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1197.6649928285642,1.5369628460608025,1.1613090458883422,0.42888742685317993
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,872.6604958467931,40.77236155439631,1.4166887860873536,0.38189810514450073
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,601.3256026655969,31.37916445687043,0.7705693739099481,0.2946104407310486
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,419.8172614069062,17.78222797204795,0.762540562041588,0.29728513956069946
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,2317.3037578831722,172.8011588958367,3.0404264758894026,0.44872111082077026
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,59.83418739752171,0.047009684467915425,0.03367803381313727,0.08251893520355225
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,54.42384804356326,0.028250126503996557,0.020124670355730394,0.05121433734893799
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,54.43147116463914,0.029487467373483473,0.021195449395627463,0.05423229932785034
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,117.46742902771062,0.05408794464184522,0.038556539367270125,0.08831596374511719
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,713.7416324381983,0.04943112141038136,0.03534738068700239,0.0853998064994812
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,614.4797884371774,0.029861905865187263,0.021220051389747606,0.05378448963165283
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,161.38244604086907,0.031033857309149274,0.022184153937721576,0.0565340518951416
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,249.25230952481883,0.05648256426815271,0.04026435308101768,0.09132099151611328
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,39.09927591529756,0.057925215281978706,0.04090632251681809,0.0991179347038269
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,46.28716053438775,0.039017135195460705,0.027394656985976467,0.0702090859413147
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,42.21859713377874,0.035876639247418456,0.025388125874026665,0.06758397817611694
0,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,127.45868366846061,0.07985727542431122,0.05625529348994703,0.12262928485870361
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,510.44069794405175,0.9124875347166296,0.5733701251131506,0.37058961391448975
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,225.37193665399806,0.5128944303614874,0.31815232547068123,0.28619295358657837
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,288.8112233792616,0.4898644211218484,0.3074297689558874,0.28584378957748413
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,1085.5081987910796,2.388293165352338,1.5019521237135711,0.46959394216537476
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,2165.060023163361,34.179942792635906,1.5842356131013955,0.3978148102760315
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,522.0973853321196,18.754800468572032,0.8647905798905197,0.31596803665161133
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,764.9379414316662,16.173227423795172,0.8215801536120315,0.31363338232040405
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,1858.052812349544,89.75655963465074,3.648031875612523,0.4786716103553772
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,43.40437273036373,0.059429595526657775,0.04189765059650034,0.09967154264450073
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,21.777781343646257,0.03546532936795598,0.024895897324350345,0.0627826452255249
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,33.768821635604674,0.03635493527688539,0.025727363224482814,0.0654153823852539
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,46.959899550657596,0.06283472869838609,0.04409197048155796,0.09958654642105103
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,37.0171033351986,0.06180432656298988,0.0439387313848289,0.10254096984863281
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,33.04548068521783,0.03713614159611585,0.026385634685825703,0.06576013565063477
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,46.64308147071338,0.038832073414938606,0.027630008023065533,0.06937134265899658
