seed,update,parameter_id,shape,reference_method,raw_error_ratio_vq_over_reference,skew_channel_ratio_vq_over_reference,out_of_subspace_ratio_vq_over_reference,frechet_ratio_vq_over_reference,actual_distortion_ratio_vq_over_reference,polar_distortion_ratio_vq_over_reference,delta_actual_distortion,delta_frechet
1,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8432514642958859,0.6474636183125791,0.619933734908737,0.7910445511109415,0.7281531703033275,0.7016228111819874,-0.04553723335266113,-0.14622896909713745
1,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8539883731417618,0.6556426298003701,0.6239188596612976,0.7942622353566378,0.7309829728036538,0.7072830937591101,-0.04630100727081299,-0.14692306518554688
1,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8859844606839418,0.6527436575891676,0.6479740346734177,0.8058589716689949,0.7376245396334908,0.7123383671917092,-0.043129563331604004,-0.13412737846374512
1,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7508436865498214,0.5334675169650791,0.5370294009908974,0.7328354746079567,0.7584052892871701,0.8230283355513682,-0.08853185176849365,-0.3699439764022827
1,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7557969051472118,0.5439839366351524,0.0,0.7391615581361844,0.7810767180782838,0.8634399180367859,-0.08482539653778076,-0.3925905227661133
1,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8376276434804654,0.6104431614037396,0.6122400730477199,0.7837359666493031,0.7210396901914091,0.6976519891059166,-0.05254906415939331,-0.16203689575195312
1,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8490925206500267,0.6593779070451565,0.608213928611624,0.786317379011295,0.7280814954756293,0.7077097393887256,-0.052786827087402344,-0.16436141729354858
1,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8843075354821445,0.6473619323989046,0.6424091747103462,0.8019827547890266,0.7416333428834951,0.7160758211546809,-0.044129371643066406,-0.13967657089233398
1,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7543615947563916,0.5343260192591284,0.5312469594698438,0.7293413455813433,0.7327190547444401,0.8139025820075187,-0.0959172248840332,-0.3533203601837158
1,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.758915305677256,0.5405450650007411,0.0,0.7329424281985144,0.7400410340822104,0.8607562726171382,-0.09560257196426392,-0.3590303659439087
1,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8280293236397226,0.6138970551931509,0.5986441073169592,0.7760201751403587,0.7174942502517913,0.6927819634815396,-0.05595803260803223,-0.17520684003829956
1,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8330870482478635,0.6154583307745096,0.6019556308622057,0.7784074962219941,0.725472634978787,0.7010260908515421,-0.05406159162521362,-0.17336708307266235
1,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8522821384262445,0.6220655186989854,0.6245744746329438,0.7897786615397829,0.7121301631030937,0.6893103581832155,-0.04684853553771973,-0.1434016227722168
1,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7504365282131934,0.5344490981613718,0.5388337071741544,0.7332647018477703,0.7290521535672333,0.729904924992419,-0.08400082588195801,-0.3161749243736267
1,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7489345271372309,0.5418130109105288,0.0,0.7357888333256467,0.7570063732165109,0.8210682353718851,-0.08519846200942993,-0.3585371971130371
1,512,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8056968152988723,0.6056969366102827,0.5886008992351868,0.7714937781471163,0.6250679656150158,0.6242412989137766,-0.024866163730621338,-0.08438238501548767
1,512,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8074185551126897,0.605145527141923,0.597544024003068,0.777012785488938,0.6307465217579272,0.6255135508963175,-0.024945318698883057,-0.08313906192779541
1,512,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8433703603342178,0.6131074191685532,0.6118981238732562,0.7839109168912491,0.6611091820987655,0.6576486342176597,-0.0314142107963562,-0.09785905480384827
1,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7478578451611458,0.5194398164075079,0.5266711769949354,0.7242663101426756,0.7618500636967127,0.7656913820191361,-0.0843043327331543,-0.39012348651885986
1,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7481983232940371,0.5293666447816276,0.0,0.7284567203043582,0.7721852580280872,0.8326946810532229,-0.08677840232849121,-0.4118039608001709
1,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.825844383808767,0.6181044506518287,0.6019817766904649,0.7806673313705391,0.6523021943944003,0.6504425945744859,-0.02806830406188965,-0.09100279211997986
1,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8372058211002226,0.63325075563687,0.6158586727963322,0.7896709867852879,0.6661345550898301,0.660670309297177,-0.028110861778259277,-0.08970329165458679
1,512,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8586679500964457,0.6189976585036298,0.6271083825661523,0.7933924299172201,0.6793482526792576,0.6746848823420877,-0.0314103364944458,-0.09624969959259033
1,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7507538541737747,0.534881988209629,0.5360453963333702,0.7306174337964776,0.7706387810092474,0.7769398431695101,-0.08645427227020264,-0.4035836458206177
1,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7491736978121227,0.531580768193501,0.0,0.7264904902018977,0.7960860282677746,0.8525455084635566,-0.08062833547592163,-0.4460345506668091
1,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8286447045518693,0.617986839326029,0.6061976948949854,0.7824513731383242,0.6666967247155067,0.6630950780336957,-0.032385826110839844,-0.10287398099899292
1,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8353010562158452,0.6307206245941156,0.6180206537862244,0.7893168056170847,0.6808617428578473,0.6767826274129518,-0.032403767108917236,-0.10337889194488525
1,512,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8532626447202706,0.6259371117196167,0.6410388632870999,0.8004227246889408,0.6853510269620522,0.6813956271493377,-0.0313606858253479,-0.09417256712913513
1,512,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7530735711424095,0.5291661286600446,0.5436105617026518,0.7334410771565489,0.7806710985036456,0.7962072404172595,-0.08311545848846436,-0.40611112117767334
1,512,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.74649021413662,0.5366696361471293,0.0,0.726984395662675,0.799833331813801,0.8646451345866901,-0.0811339020729065,-0.45338571071624756
1,512,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.835577107619572,0.6201238919687186,0.602974549977032,0.780266739060169,0.6777124616961469,0.6705522217803966,-0.03639721870422363,-0.11718514561653137
1,512,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.844227661634681,0.6313252415424926,0.6202730348309747,0.7903025435814459,0.6967218387137443,0.6866843989227016,-0.035128891468048096,-0.11383181810379028
1,512,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8632105909337495,0.6278502786470788,0.6286732826118127,0.7961536672425027,0.6821628225046144,0.681344411605488,-0.0313873291015625,-0.0952070951461792
1,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7551463735266444,0.5314506573761649,0.5357301209265769,0.731089987548863,0.7920797554403073,0.8135083312772775,-0.08381611108779907,-0.43518292903900146
1,512,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.7508798789661663,0.5363237462562932,0.0,0.7307828563076963,0.8086847657483297,0.8650541384889264,-0.07805067300796509,-0.4589347839355469
1,512,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.8288858923886597,0.6187437188339666,0.6033806347238141,0.779356659266528,0.6965286991661959,0.6795627764803204,-0.03931766748428345,-0.13253605365753174
1,512,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.837968791971733,0.6203323487778569,0.6224057874333572,0.7893942615432624,0.7103189007115731,0.692982952529545,-0.038768231868743896,-0.12977075576782227
1,512,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.8539505004024666,0.6313129203726285,0.6294229502894662,0.796183254957756,0.680587866707423,0.6727011695294418,-0.0312042236328125,-0.09624633193016052
