seed,update,parameter_id,shape,method,out_of_subspace_delta_norm_sq,out_of_subspace_fraction,frechet_relative_l2
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,109.7757650974261,0.7801406930380208,0.6709232926368713
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,69.53180429230171,0.7933346919895796,0.5295044779777527
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,65.99260542288553,0.7754074769545555,0.5217816233634949
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,225.31113548052866,0.7871459685057709,0.9569071531295776
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,122.05729094964795,0.7857029201455383,0.6958224177360535
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,77.47027184388277,0.79544452228674,0.5509451031684875
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,74.8737181187948,0.7788093121228371,0.5473874807357788
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,238.81056233149747,0.7874536195144993,0.9722098112106323
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,97.70812215176126,0.7712269204703037,0.647861659526825
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,72.99024212588522,0.7846725671018315,0.5551319122314453
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,61.20951814570695,0.7717395771693013,0.5126041769981384
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,222.9605943559985,0.7724717667803767,0.9778692126274109
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,189.89767269211006,0.3771796597862264,1.3944058418273926
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,108.38698185708958,0.37911189830712233,1.0507715940475464
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,100.45214924967395,0.37983881727979557,1.0106096267700195
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,773.0242964647945,0.3763709131866733,2.81638503074646
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.4821488857269287
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,1.12705659866333
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,1.0734854936599731
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,2.9047796726226807
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,141.9868314069977,0.7955761194426171,0.7379591464996338
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_int4_k8,89.14586220032194,0.8061820722337223,0.5808756947517395
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,85.78976904241182,0.790957488550599,0.5752946734428406
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,327.5574596915722,0.7986312593635452,1.118715763092041
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,142.9478628794665,0.7962034247208473,0.7417976260185242
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_int4_k8,90.1675955410435,0.8016641632729073,0.5871345400810242
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,86.62206935877995,0.786593343209525,0.580962061882019
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,320.6198688134824,0.8014322704292497,1.1073130369186401
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,106.98274972497104,0.7742472745536277,0.6705207824707031
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,82.36110972991251,0.7934152019529921,0.5811737775802612
