seed,update,parameter_id,shape,method,magnitude_only,symmetric_only,skew_only,out_of_subspace_only,orientation_plus_outside,all_channels
0,1024,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.0010543465614318848,0.05450063943862915,0.08707249164581299,0.1165628433227539,0.17832481861114502,0.212072491645813
0,1024,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.009258270263671875,0.4374818205833435,0.5285110175609589,0.6030271947383881,0.6812772750854492,0.7104375958442688
0,1024,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.004731953144073486,0.22639906406402588,0.283699631690979,0.0,0.283699631690979,0.3834199905395508
0,1024,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.002763211727142334,0.17848879098892212,0.2310800552368164,0.0,0.2310800552368164,0.32256418466567993
0,1024,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0024497509002685547,0.14492100477218628,0.1957920789718628,0.0,0.1957920789718628,0.2770739793777466
0,1024,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.012196004390716553,0.49538737535476685,0.5592522919178009,0.0,0.5592522919178009,0.6486279666423798
0,1024,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0007372498512268066,0.008888304233551025,0.021682262420654297,0.08508467674255371,0.10178160667419434,0.10838955640792847
0,1024,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.00020235776901245117,0.005100429058074951,0.01276862621307373,0.05528742074966431,0.06607985496520996,0.07035106420516968
0,1024,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.0005502104759216309,0.005625247955322266,0.013425588607788086,0.053707122802734375,0.06511104106903076,0.07004129886627197
0,1024,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.0002498626708984375,0.01068645715713501,0.02677023410797119,0.10586929321289062,0.12516272068023682,0.13243061304092407
0,1024,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0006525516510009766,0.009204626083374023,0.02226698398590088,0.08765876293182373,0.10466647148132324,0.11174792051315308
0,1024,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,0.00019878149032592773,0.00543743371963501,0.013610363006591797,0.05902308225631714,0.0703936219215393,0.07485616207122803
0,1024,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.0006084442138671875,0.00582277774810791,0.01443779468536377,0.05559343099594116,0.06778663396835327,0.07302725315093994
0,1024,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.0002688169479370117,0.011314332485198975,0.02732527256011963,0.10892283916473389,0.1284242868423462,0.13643395900726318
0,1024,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.00041931867599487305,0.007991194725036621,0.018800556659698486,0.06922012567520142,0.08444404602050781,0.09112197160720825
0,1024,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.00019466876983642578,0.005184352397918701,0.012444138526916504,0.05137431621551514,0.06202542781829834,0.06667852401733398
0,1024,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.0003795027732849121,0.005135297775268555,0.011561334133148193,0.04482710361480713,0.05492287874221802,0.0594712495803833
0,1024,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.0001685619354248047,0.009172618389129639,0.02213197946548462,0.08267951011657715,0.09985989332199097,0.10678905248641968
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.0019214749336242676,0.10821139812469482,0.1956859827041626,0.3242529034614563,0.39540648460388184,0.424981951713562
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.0008518099784851074,0.06592941284179688,0.1250939965248108,0.22657322883605957,0.28899407386779785,0.3154008388519287
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.0013723969459533691,0.06332898139953613,0.11991316080093384,0.21867066621780396,0.28002339601516724,0.30819398164749146
0,1024,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.004625082015991211,0.2632172703742981,0.39239853620529175,0.5620798468589783,0.6199447512626648,0.641586422920227
0,1024,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.004219949245452881,0.2586415410041809,0.32998424768447876,0.0,0.32998424768447876,0.4298866391181946
0,1024,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0025110840797424316,0.17884904146194458,0.23679602146148682,0.0,0.23679602146148682,0.32721906900405884
0,1024,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.002698957920074463,0.16646724939346313,0.22107350826263428,0.0,0.22107350826263428,0.30865758657455444
0,1024,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.012130260467529297,0.44845837354660034,0.5210678577423096,0.0,0.5210678577423096,0.6141423583030701
0,1024,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0005546808242797852,0.008569598197937012,0.02141726016998291,0.08655208349227905,0.10296422243118286,0.10927087068557739
