validation,held_out_group,model,features,train_n,test_n,r2
leave_one_method_out_exact_polar_subset,structural_scalar_int3_p98_k8,polar_raw,raw_relative_l2,90,30,-0.3396437446319276
leave_one_method_out_exact_polar_subset,structural_int4_k8,polar_raw,raw_relative_l2,90,30,-0.38976026324444635
leave_one_method_out_exact_polar_subset,structural_vq64_int3_k8,polar_raw,raw_relative_l2,90,30,-0.47122783001914703
leave_one_method_out_exact_polar_subset,direct_scalar_int4,polar_raw,raw_relative_l2,90,30,-2.1678357147971488
held_out_seed_exact_polar_subset,0,polar_gram,right_gram_relative_fro,60,60,0.5566126498224753
held_out_seed_exact_polar_subset,1,polar_gram,right_gram_relative_fro,60,60,0.4621747734261624
leave_one_method_out_exact_polar_subset,structural_scalar_int3_p98_k8,polar_gram,right_gram_relative_fro,90,30,-0.9965503425244118
leave_one_method_out_exact_polar_subset,structural_int4_k8,polar_gram,right_gram_relative_fro,90,30,-0.8058790867820684
leave_one_method_out_exact_polar_subset,structural_vq64_int3_k8,polar_gram,right_gram_relative_fro,90,30,-1.2705369226092342
leave_one_method_out_exact_polar_subset,direct_scalar_int4,polar_gram,right_gram_relative_fro,90,30,-5.155169033948913
held_out_seed_exact_polar_subset,0,polar_tail_angle,tail_angle,60,60,0.8508091505633513
held_out_seed_exact_polar_subset,1,polar_tail_angle,tail_angle,60,60,0.8596396210182402
leave_one_method_out_exact_polar_subset,structural_scalar_int3_p98_k8,polar_tail_angle,tail_angle,90,30,0.7170372008945044
leave_one_method_out_exact_polar_subset,structural_int4_k8,polar_tail_angle,tail_angle,90,30,0.43978106624878144
leave_one_method_out_exact_polar_subset,structural_vq64_int3_k8,polar_tail_angle,tail_angle,90,30,0.4364814868274408
leave_one_method_out_exact_polar_subset,direct_scalar_int4,polar_tail_angle,tail_angle,90,30,-1.580147534155543
held_out_seed_exact_polar_subset,0,polar_frechet,exact_polar_pred_distortion,60,60,0.937243042324895
held_out_seed_exact_polar_subset,1,polar_frechet,exact_polar_pred_distortion,60,60,0.9486631678982448
leave_one_method_out_exact_polar_subset,structural_scalar_int3_p98_k8,polar_frechet,exact_polar_pred_distortion,90,30,0.9465847966171224
leave_one_method_out_exact_polar_subset,structural_int4_k8,polar_frechet,exact_polar_pred_distortion,90,30,0.7285810004951401
leave_one_method_out_exact_polar_subset,structural_vq64_int3_k8,polar_frechet,exact_polar_pred_distortion,90,30,0.7037521077448541
leave_one_method_out_exact_polar_subset,direct_scalar_int4,polar_frechet,exact_polar_pred_distortion,90,30,-0.17283052898123397
