seed,update,parameter_id,shape,method,channel,delta_norm_sq,fraction_of_total_derivative_energy
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,out_of_subspace,0.0,0.0
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,magnitude,1.5082990274750396,0.004740882120362421
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,symmetric,128.99623775123789,0.4054606851882917
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,skew,187.6431746132747,0.5897996056003154
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,out_of_subspace,0.0,0.0
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,magnitude,1.484170651184396,0.004946608547438986
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,symmetric,121.92818002312764,0.40637576076226334
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,skew,176.62616076559172,0.5886792572317605
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,out_of_subspace,0.0,0.0
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,magnitude,7.963853725053915,0.005571818998966691
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,symmetric,587.7084938632152,0.41118351303457573
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,skew,833.638362594946,0.5832455275216092
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,out_of_subspace,0.0,0.0
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,magnitude,0.5913092595260407,0.009923262145834595
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,symmetric,4.444778608090114,0.0745915992312202
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,skew,10.93693982227361,0.1835420622647278
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,out_of_subspace,43.61545092040989,0.7319478701194763
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,magnitude,0.13545225318898657,0.003629404537226293
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,symmetric,2.6559913079006665,0.07116653046943971
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,skew,6.643992139215812,0.17802387666243966
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,out_of_subspace,27.885570895402235,0.7471859282378288
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,magnitude,0.44697279329071055,0.012291954737047821
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,symmetric,2.770645807724042,0.07619401756022502
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,skew,6.835114241916007,0.1879687447319372
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,out_of_subspace,26.310569131889974,0.72355259588432
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,magnitude,0.16717668965557012,0.0017538113738566606
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,symmetric,7.230613198978129,0.07585466427438269
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,skew,17.519301373517933,0.1837908746380936
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,out_of_subspace,70.40556575803124,0.738608248934986
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,magnitude,0.5686382744384382,0.009034335702390685
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,symmetric,4.653194334213083,0.07392840333383938
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,skew,11.537588514568801,0.18330536744048564
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,out_of_subspace,46.182709874195446,0.7337355281995968
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,magnitude,0.14217459176191877,0.0036189217682386127
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,symmetric,2.831823854687155,0.07208143779097997
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,skew,6.866036765677034,0.17476856873585664
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,out_of_subspace,29.44670361013508,0.7495384046963849
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,magnitude,0.4761544102476692,0.012387674277411205
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,symmetric,3.044361914189542,0.07920238259668778
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,skew,7.285816549267374,0.1895484328504928
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,out_of_subspace,27.631675421396483,0.7188680551785022
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,magnitude,0.14227673622280007,0.001448796579533833
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,symmetric,7.143608469620056,0.07274299222121115
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,skew,18.031221447304386,0.18361098694844352
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,out_of_subspace,72.88675662120748,0.7422020387138885
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,magnitude,0.5908830199165048,0.005404559125121537
