seed,update,parameter_id,shape,reference_method,raw_error_ratio_vq_over_reference,skew_channel_ratio_vq_over_reference,out_of_subspace_ratio_vq_over_reference,frechet_ratio_vq_over_reference,actual_distortion_ratio_vq_over_reference,polar_distortion_ratio_vq_over_reference,delta_actual_distortion,delta_frechet
0,1024,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.0861285216542074,0.9925553512617005,0.9333827027208038,0.9748119849146343,1.0168095796749999,1.0127170909892484,0.0014646649360656738,-0.012035369873046875
0,1024,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,1.077151243128108,0.885864414340882,0.8134069787210243,0.916220298468185,0.9190512313959276,0.9032368954047978,-0.005399942398071289,-0.03279000520706177
0,2048,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.034990908227343,0.9798761764792805,0.9581820290274977,0.9843498634231601,1.01089638260505,1.0114044640725646,0.0023423433303833008,-0.013166546821594238
0,2048,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1.023632798054758,0.9641273981420495,0.0,0.9805506622525385,1.0053430879547633,1.0131090315054812,0.0012881755828857422,-0.01782679557800293
0,2048,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.0580331991730088,1.010899064382156,0.9438071930585774,0.987815841887444,1.044935211193181,1.027596148895639,0.0016219615936279297,-0.0033357739448547363
0,2048,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.0634942494068624,1.0178729126539863,0.9271192269935197,0.9816196599462501,1.032418124549353,1.014617082477613,0.0012220144271850586,-0.005145549774169922
0,2048,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,1.0493415505172439,0.908010550009478,0.8604485610467164,0.9375849673749421,0.9511573970194069,0.9365205020319712,-0.0028544068336486816,-0.022344976663589478
0,2048,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0438139211010995,0.9940713072365746,0.9869844463907427,0.9943787947876308,1.0250581139701576,1.0262267080320289,0.00592726469039917,-0.005211830139160156
0,2048,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1.0253568529004853,0.9519669040910624,0.0,0.9743394338682262,0.9993747815393333,0.9971792684531645,-0.00016045570373535156,-0.024826526641845703
0,2048,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.111382291691414,1.0564787174037182,0.9568804822587292,0.9987942957858132,1.0666187876690494,1.0486992632129895,0.0032012462615966797,-0.00038868188858032227
