k,quantizer,seed,n,mean,weighted_mean,median,p10,p25,p75,p90,win_rate_vs_uniform
4,lloyd_per_tensor_oracle,0,150,0.7398109662532807,0.7584821810876882,0.8031086325645447,0.5437673330307007,0.5864341855049133,0.8616957664489746,0.885776937007904,1.0
4,lloyd_per_tensor_oracle,1,150,0.7382391619682313,0.7575586549661778,0.7973373532295227,0.5441402196884155,0.5873146653175354,0.8646429181098938,0.8858993649482727,1.0
4,mulaw_mu_1,0,150,0.6938893912235896,0.7113153763115406,0.7410783767700195,0.515466034412384,0.5543431639671326,0.805320680141449,0.8476549983024597,1.0
4,mulaw_mu_1,1,150,0.6915591736634572,0.7102066538952015,0.7414610087871552,0.5100259184837341,0.5507281422615051,0.8076032400131226,0.8508940935134888,1.0
4,mulaw_mu_100,0,150,0.6403522382179896,0.6595119080885693,0.7097088992595673,0.4333731532096863,0.475002646446228,0.7750228643417358,0.7970393896102905,0.46
4,mulaw_mu_100,1,150,0.6404529343048732,0.6593061052814678,0.706135094165802,0.4317290484905243,0.48147937655448914,0.7755188941955566,0.797232449054718,0.4666666666666667
4,mulaw_mu_20,0,150,0.7138414100805919,0.7335541514334856,0.7832430303096771,0.5081115961074829,0.5514093041419983,0.8417282104492188,0.8675910830497742,1.0
4,mulaw_mu_20,1,150,0.7129895397027334,0.7329729066402824,0.7803781032562256,0.5074909329414368,0.5592694282531738,0.8466242551803589,0.8683540225028992,1.0
4,mulaw_mu_2000,0,150,0.5575919206937154,0.5727611263593038,0.6001676321029663,0.40085819363594055,0.43368348479270935,0.662649929523468,0.70358806848526,0.013333333333333334
4,mulaw_mu_2000,1,150,0.5563004700342814,0.5722990764236009,0.5958238244056702,0.4006601572036743,0.43180227279663086,0.6637348532676697,0.7055898904800415,0.013333333333333334
4,mulaw_mu_5,0,150,0.7342152611414592,0.7531522512987808,0.7971665263175964,0.5430735349655151,0.5863580107688904,0.856513261795044,0.883482038974762,1.0
4,mulaw_mu_5,1,150,0.7326412947972616,0.7521929777882718,0.7926762402057648,0.5398690700531006,0.5831405520439148,0.8560026288032532,0.8846656084060669,1.0
4,mulaw_mu_500,0,150,0.5729770217339197,0.5894828192337795,0.6238294541835785,0.3956107795238495,0.4300278425216675,0.686686635017395,0.7163923978805542,0.06666666666666667
4,mulaw_mu_500,1,150,0.5731030958890915,0.5896171214679877,0.623318076133728,0.3979972004890442,0.4314665198326111,0.6862612962722778,0.7168509364128113,0.08
4,muon_global_codebook,0,150,0.6939037877321244,0.7123573465203797,0.7557195723056793,0.5032009482383728,0.544009268283844,0.8159074187278748,0.8494947552680969,1.0
4,muon_global_codebook,1,150,0.6921753193934759,0.7114481788818483,0.7494087517261505,0.5035818219184875,0.540626049041748,0.8163056373596191,0.8509767055511475,1.0
4,muon_mulaw_5,0,150,0.7342152611414592,0.7531522512987808,0.7971665263175964,0.5430735349655151,0.5863580107688904,0.856513261795044,0.883482038974762,1.0
4,muon_mulaw_5,1,150,0.7326412947972616,0.7521929777882718,0.7926762402057648,0.5398690700531006,0.5831405520439148,0.8560026288032532,0.8846656084060669,1.0
4,muon_power_0.75,0,150,0.7059712129831314,0.7242269147049498,0.7662739753723145,0.5216435194015503,0.5574727654457092,0.8238961696624756,0.8561468124389648,1.0
4,muon_power_0.75,1,150,0.7039704902966817,0.7230257394137206,0.7600409090518951,0.5195387601852417,0.5576938390731812,0.8247531652450562,0.8581376671791077,1.0
4,per_tensor_muon_codebook_oracle,0,20,0.6615444451570511,0.6775397186477979,0.6728357374668121,0.5020108222961426,0.5190803408622742,0.7452167272567749,0.807422935962677,1.0
4,scale_oracle,0,150,0.7713721879323323,0.7889523005595913,0.829378217458725,0.5945469737052917,0.635972261428833,0.8841747045516968,0.9094171524047852,1.0
4,scale_oracle,1,150,0.7690154961744944,0.787749932816735,0.8255159854888916,0.5892406105995178,0.6269153952598572,0.8822733163833618,0.9119787216186523,1.0
4,structural_int4_uniform,0,150,0.8255656544367472,0.8424526482820511,0.8930517733097076,0.6449657082557678,0.6924217343330383,0.9316697716712952,0.9450944066047668,1.0
4,structural_int4_uniform,1,150,0.824503847360611,0.8420472276431543,0.888221949338913,0.6475620269775391,0.700748085975647,0.9327006936073303,0.9474160671234131,1.0
4,uniform_int3,0,150,0.6384603772560755,0.6545295764174727,0.6574567258358002,0.47899675369262695,0.5108422040939331,0.746406614780426,0.7937268614768982,0.0
4,uniform_int3,1,150,0.6355247654517492,0.6530500386324194,0.6753445863723755,0.4686826765537262,0.5087924003601074,0.7439041137695312,0.8003852367401123,0.0
8,calibrated_mulaw_5,0,150,0.7646695733070373,0.7824621138197404,0.8313470482826233,0.5865759253501892,0.6197392344474792,0.8749974966049194,0.895682692527771,1.0
8,calibrated_mulaw_5,1,150,0.7630493688583374,0.7815009224745962,0.8279535174369812,0.5897982716560364,0.6176490187644958,0.8760521411895752,0.8984344601631165,1.0
8,danger_weighted_codebook_D4_L1,0,150,0.7269046453634898,0.7447166876108559,0.7879069149494171,0.549250602722168,0.5819063186645508,0.8402670621871948,0.8640881180763245,1.0
8,danger_weighted_codebook_D4_L1,1,150,0.7255536532402038,0.7440759525254921,0.7857738435268402,0.5505918860435486,0.5788283944129944,0.8398038744926453,0.8689366579055786,1.0
8,danger_zone_codebook,0,150,0.7269046453634898,0.7447166876108559,0.7879069149494171,0.549250602722168,0.5819063186645508,0.8402670621871948,0.8640881180763245,1.0
8,danger_zone_codebook,1,150,0.7255536532402038,0.7440759525254921,0.7857738435268402,0.5505918860435486,0.5788283944129944,0.8398038744926453,0.8689366579055786,1.0
8,geometry_codebook,0,150,0.7269046453634898,0.7447166876108559,0.7879069149494171,0.549250602722168,0.5819063186645508,0.8402670621871948,0.8640881180763245,1.0
8,geometry_codebook,1,150,0.7255536532402038,0.7440759525254921,0.7857738435268402,0.5505918860435486,0.5788283944129944,0.8398038744926453,0.8689366579055786,1.0
8,geometry_mulaw_5,0,150,0.7646695733070373,0.7824621138197404,0.8313470482826233,0.5865759253501892,0.6197392344474792,0.8749974966049194,0.895682692527771,1.0
8,geometry_mulaw_5,1,150,0.7630493688583374,0.7815009224745962,0.8279535174369812,0.5897982716560364,0.6176490187644958,0.8760521411895752,0.8984344601631165,1.0
8,geometry_power_0.75,0,150,0.7385507114728291,0.7560134339663718,0.7972586154937744,0.5647835731506348,0.5996577739715576,0.8472067713737488,0.8721289038658142,1.0
8,geometry_power_0.75,1,150,0.7370761319001515,0.7553170523157826,0.7956811189651489,0.5649496912956238,0.595661461353302,0.8488439917564392,0.8751735091209412,1.0
8,lloyd_global,0,150,0.76583345413208,0.7833245017462307,0.8273072838783264,0.5909635424613953,0.6221923828125,0.873571515083313,0.8975247740745544,1.0
8,lloyd_global,1,150,0.7640891019503275,0.7824705592460103,0.8243571519851685,0.5939277410507202,0.6211371421813965,0.876177966594696,0.8986640572547913,1.0
8,lloyd_per_tensor_oracle,0,150,0.7698454562822977,0.7872334135351358,0.8330581784248352,0.5904431939125061,0.6247298717498779,0.8790141940116882,0.8987053036689758,1.0
