k,a1,a2,calibration_mean_update_cosine,calibration_count,selected,seed,update,parameter_id,parameter_name,shape,quantizer,raw_residual_relative_l2,raw_residual_cosine,full_state_raw_relative_l2,full_state_raw_cosine,update_cosine,update_relative_l2,update_norm_ratio,exact_polar_cosine,exact_polar_relative_l2,residual_block_absmax_mean,residual_block_absmax_max,effective_condition_number,danger_zone_mode_count,active_mode_count,residual_relative_l2,residual_cosine,mae,median_ae,zero_fraction,small_005_mae,small_001_mae,middle_mae,large_mae,danger_diagonal_fraction_error,danger_cross_fraction_error,danger_associated_fraction_error,local_mixing_fraction_error,medium_mixing_fraction_error,distant_mixing_fraction_error,danger_diagonal_energy,danger_cross_energy,codebook_levels,calibrated_parameter,calibration_role
8,,,,,,0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",per_tensor_muon_codebook_oracle,0.3445506989955902,0.94132399559021,0.2191440761089325,0.9760818481445312,0.883730411529541,0.4853946268558502,1.0124897956848145,0.8793342113494873,0.4912663996219635,0.0012550681130960584,0.0024946858175098896,63.810787200927734,0,384,0.3445506989955902,0.94132399559021,7.968601858010516e-05,6.995568401180208e-05,0.3676401674747467,3.2710402592783794e-05,6.64615663481527e-06,9.156770829576999e-05,7.654621731489897e-05,0.0,0.0,0.0,0.7587066292762756,0.18931327760219574,0.0020780861377716064,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
4,,,,,,0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",muon_global_codebook,0.40807825326919556,0.9188777804374695,0.3147847652435303,0.9512943029403687,0.7452167272567749,0.7243984937667847,1.0282195806503296,0.7341041564941406,0.7292478680610657,0.007385001052170992,0.015406075865030289,68.17446899414062,0,384,0.40807825326919556,0.9188777804374695,0.00040689893648959696,0.00037483929190784693,0.5165303349494934,0.00018827911117114127,3.833734808722511e-05,0.0004934777389280498,0.00043981976341456175,0.0,0.0,0.0,0.6734972596168518,0.2682238817214966,0.003907770849764347,0.0,0.0,"-1,-0.6,-0.2,0,0.2,0.6,1",,
4,,,,,,0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",per_tensor_muon_codebook_oracle,0.40807825326919556,0.9188777804374695,0.3147847652435303,0.9512943029403687,0.7452167272567749,0.7243984937667847,1.0282195806503296,0.7341041564941406,0.7292478680610657,0.007385001052170992,0.015406075865030289,68.17446899414062,0,384,0.40807825326919556,0.9188777804374695,0.00040689893648959696,0.00037483929190784693,0.5165303349494934,0.00018827911117114127,3.833734808722511e-05,0.0004934777389280498,0.00043981976341456175,0.0,0.0,0.0,0.6734972596168518,0.2682238817214966,0.003907770849764347,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
8,,,,,,0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",muon_global_codebook,0.39998629689216614,0.9216622114181519,0.2699772119522095,0.9639177918434143,0.7863599061965942,0.6588521003723145,1.0153522491455078,0.7751026153564453,0.6706778407096863,0.006225913763046265,0.014695403166115284,68.17446899414062,0,384,0.39998629689216614,0.9216622114181519,0.00034857765422202647,0.0003208935959264636,0.4903208315372467,0.0001593508495716378,3.2488478609593585e-05,0.00041746385977603495,0.00036809174343943596,0.0,0.0,0.0,0.6740947365760803,0.26381561160087585,0.003634948516264558,0.0,0.0,"-1,-0.6,-0.2,0,0.2,0.6,1",,
8,,,,,,0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",per_tensor_muon_codebook_oracle,0.39998629689216614,0.9216622114181519,0.2699772119522095,0.9639177918434143,0.7863599061965942,0.6588521003723145,1.0153522491455078,0.7751026153564453,0.6706778407096863,0.006225913763046265,0.014695403166115284,68.17446899414062,0,384,0.39998629689216614,0.9216622114181519,0.00034857765422202647,0.0003208935959264636,0.4903208315372467,0.0001593508495716378,3.2488478609593585e-05,0.00041746385977603495,0.00036809174343943596,0.0,0.0,0.0,0.6740947365760803,0.26381561160087585,0.003634948516264558,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
4,,,,,,0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",muon_global_codebook,0.3263687789440155,0.9473595023155212,0.20161935687065125,0.9797293543815613,0.5320994853973389,0.9847783446311951,1.0350053310394287,0.5414483547210693,0.9576561450958252,0.0006877024425193667,0.0026723206974565983,743.9575805664062,195,384,0.3263687789440155,0.9473595023155212,4.662475475925021e-05,1.3837261576554738e-05,0.3483683168888092,1.5809013348189183e-05,3.137750809401041e-06,5.3721771109849215e-05,4.842465932597406e-05,0.001041630282998085,0.6774484515190125,0.6784900426864624,0.42572689056396484,0.4742399752140045,0.07474081963300705,2.486479161234456e-06,0.0016171394381672144,"-1,-0.6,-0.2,0,0.2,0.6,1",,
4,,,,,,0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",per_tensor_muon_codebook_oracle,0.3263687789440155,0.9473595023155212,0.20161935687065125,0.9797293543815613,0.5320994853973389,0.9847783446311951,1.0350053310394287,0.5414483547210693,0.9576561450958252,0.0006877024425193667,0.0026723206974565983,743.9575805664062,195,384,0.3263687789440155,0.9473595023155212,4.662475475925021e-05,1.3837261576554738e-05,0.3483683168888092,1.5809013348189183e-05,3.137750809401041e-06,5.3721771109849215e-05,4.842465932597406e-05,0.001041630282998085,0.6774484515190125,0.6784900426864624,0.42572689056396484,0.4742399752140045,0.07474081963300705,2.486479161234456e-06,0.0016171394381672144,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
8,,,,,,0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",muon_global_codebook,0.32674461603164673,0.9470934867858887,0.16575244069099426,0.9862828850746155,0.5750066041946411,0.9416298866271973,1.0411566495895386,0.5873791575431824,0.9084298610687256,0.0005765379755757749,0.0019960093777626753,743.9575805664062,195,384,0.32674461603164673,0.9470934867858887,3.9011174521874636e-05,1.2649968994082883e-05,0.34867802262306213,1.3168441910238471e-05,2.6168638669332722e-06,4.506066397880204e-05,3.964716597693041e-05,0.001075208536349237,0.6750020980834961,0.6760772466659546,0.42347052693367004,0.4766499996185303,0.07231462001800537,1.7280829069932224e-06,0.0010848682140931487,"-1,-0.6,-0.2,0,0.2,0.6,1",,
8,,,,,,0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",per_tensor_muon_codebook_oracle,0.32674461603164673,0.9470934867858887,0.16575244069099426,0.9862828850746155,0.5750066041946411,0.9416298866271973,1.0411566495895386,0.5873791575431824,0.9084298610687256,0.0005765379755757749,0.0019960093777626753,743.9575805664062,195,384,0.32674461603164673,0.9470934867858887,3.9011174521874636e-05,1.2649968994082883e-05,0.34867802262306213,1.3168441910238471e-05,2.6168638669332722e-06,4.506066397880204e-05,3.964716597693041e-05,0.001075208536349237,0.6750020980834961,0.6760772466659546,0.42347052693367004,0.4766499996185303,0.07231462001800537,1.7280829069932224e-06,0.0010848682140931487,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
4,,,,,,0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",muon_global_codebook,0.3285357356071472,0.9466449618339539,0.1965821385383606,0.980769157409668,0.5190803408622742,1.018133521080017,1.0722872018814087,0.47987815737724304,1.0199239253997803,0.005761271808296442,0.007368425372987986,448630.375,156,384,0.3285357356071472,0.9466449618339539,0.00039418681990355253,0.00035061314702033997,0.3092312216758728,0.0001451788266422227,2.8962045689695515e-05,0.0004466419923119247,0.0003555918228812516,0.0010703916195780039,0.6331572532653809,0.6342276930809021,0.33603402972221375,0.4596936106681824,0.18422265350818634,3.692079917527735e-05,0.021839363500475883,"-1,-0.6,-0.2,0,0.2,0.6,1",,
