seed,update,parameter_id,parameter_name,shape,k,quantizer,raw_residual_relative_l2,raw_residual_cosine,full_state_raw_relative_l2,full_state_raw_cosine,update_cosine,update_relative_l2,update_norm_ratio,exact_polar_cosine,exact_polar_relative_l2,residual_block_absmax_mean,residual_block_absmax_max,effective_condition_number,danger_zone_mode_count,active_mode_count,residual_relative_l2,residual_cosine,mae,median_ae,zero_fraction,small_005_mae,small_001_mae,middle_mae,large_mae,danger_diagonal_fraction_error,danger_cross_fraction_error,danger_associated_fraction_error,local_mixing_fraction_error,medium_mixing_fraction_error,distant_mixing_fraction_error,danger_diagonal_energy,danger_cross_energy,codebook_levels,calibrated_parameter
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",4,uniform_int3,0.37620386481285095,0.9357767701148987,0.2324032336473465,0.9739503264427185,0.5048268437385559,1.0126664638519287,1.0342973470687866,0.5142810344696045,0.98561692237854,0.0006877024425193667,0.0026723206974565983,743.9575805664062,195,384,0.37620386481285095,0.9357767701148987,5.706113006453961e-05,1.842545680119656e-05,0.5379887223243713,1.5809013348189183e-05,3.137750809401041e-06,6.600971391890198e-05,6.778126407880336e-05,0.0010687202448025346,0.7014743685722351,0.7025430202484131,0.4334101676940918,0.4887171685695648,0.07537765800952911,3.3551866636116756e-06,0.0022022388875484467,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",8,uniform_int3,0.3766940236091614,0.9357727766036987,0.19108065962791443,0.9821821451187134,0.5492874979972839,0.969674825668335,1.0412038564682007,0.5606704950332642,0.9373692870140076,0.0005765379755757749,0.0019960093777626753,743.9575805664062,195,384,0.3766940236091614,0.9357727766036987,4.785359124070965e-05,1.684196467977017e-05,0.5383074879646301,1.3168441910238471e-05,2.6168638669332722e-06,5.549487832468003e-05,5.5926218919921666e-05,0.0010105249239131808,0.6979385614395142,0.6989490985870361,0.43464481830596924,0.4872128367424011,0.07539039105176926,2.1343942080420675e-06,0.0014741607010364532,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",4,uniform_int3,0.37923663854599,0.934997022151947,0.2269061803817749,0.9752416014671326,0.49598509073257446,1.041930913925171,1.071848750114441,0.4555998146533966,1.043455958366394,0.005761271808296442,0.007368425372987986,448630.375,156,384,0.37923663854599,0.934997022151947,0.0004798531881533563,0.0004724915197584778,0.4915635883808136,0.0001451788266422227,2.8962045689695515e-05,0.000544318463653326,0.0005122804432176054,0.0011466790456324816,0.6424322128295898,0.6435788869857788,0.3417353630065918,0.4711664319038391,0.18407098948955536,5.2701787353726104e-05,0.029526419937610626,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",8,uniform_int3,0.3688846528530121,0.938133716583252,0.1790812462568283,0.9843480587005615,0.5452935099601746,0.9905580282211304,1.0730698108673096,0.5060449242591858,0.9939375519752502,0.004546512849628925,0.006429832894355059,448630.375,156,384,0.3688846528530121,0.938133716583252,0.00037903228076174855,0.0003746498841792345,0.4789496660232544,0.00011419895599829033,2.2696611267747357e-05,0.00042773500899784267,0.00041004488593898714,0.0011148060439154506,0.6459188461303711,0.64703369140625,0.3433787524700165,0.4687114953994751,0.18502065539360046,3.191238283761777e-05,0.01849004253745079,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",4,uniform_int3,0.46427401900291443,0.9014137387275696,0.31597843766212463,0.9521905779838562,0.73830646276474,0.7327245473861694,1.0246120691299438,0.726584255695343,0.7394874095916748,0.0011736600426957011,0.003466671332716942,87.81570434570312,0,384,0.46427401900291443,0.9014137387275696,9.192946163238958e-05,8.270997204817832e-05,0.6302744746208191,3.1826177291804925e-05,6.510416369565064e-06,0.0001109188815462403,9.427199984202161e-05,0.0,0.0,0.0,0.7040902376174927,0.27047067880630493,0.005135003477334976,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",8,uniform_int3,0.45801931619644165,0.9046931862831116,0.2744956910610199,0.9636605978012085,0.7793715000152588,0.6705179810523987,1.0181219577789307,0.768493115901947,0.6804593205451965,0.001012807828374207,0.0024255989119410515,87.81570434570312,0,384,0.45801931619644165,0.9046931862831116,8.075209916569293e-05,7.388366793747991e-05,0.6138839721679688,2.7108606445835903e-05,5.516556939255679e-06,9.651543223299086e-05,8.224976772908121e-05,0.0,0.0,0.0,0.7190574407577515,0.26147395372390747,0.0050140260718762875,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",4,uniform_int3,0.46800127625465393,0.899262011051178,0.3275311291217804,0.9486362338066101,0.7274672985076904,0.7481750249862671,1.025730848312378,0.7152112126350403,0.7547102570533752,0.0011721961200237274,0.003539902623742819,85.42642974853516,0,384,0.46800127625465393,0.899262011051178,9.1442750999704e-05,8.2151367678307e-05,0.6390507817268372,3.197648038621992e-05,6.676668817817699e-06,0.00011060674296459183,9.381600102642551e-05,0.0,0.0,0.0,0.6890586018562317,0.28276723623275757,0.004695826675742865,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",8,uniform_int3,0.4612753689289093,0.9035022258758545,0.28237441182136536,0.9616687297821045,0.7729406952857971,0.6798432469367981,1.0170949697494507,0.7615126371383667,0.6906419396400452,0.000996388727799058,0.002715801354497671,85.42642974853516,0,384,0.4612753689289093,0.9035022258758545,7.98614346422255e-05,7.308833301067352e-05,0.6167933344841003,2.660049358382821e-05,5.408889137470396e-06,9.555213910061866e-05,8.09436387498863e-05,0.0,0.0,0.0,0.7101457118988037,0.27188292145729065,0.004403179511427879,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",4,uniform_int3,0.6312379240989685,0.8122078776359558,0.48159104585647583,0.8880263566970825,0.5145273208618164,1.0012162923812866,1.0314043760299683,0.5031899213790894,0.9968087077140808,0.006902778055518866,0.013941212557256222,78.48717498779297,0,384,0.6312379240989685,0.8122078776359558,0.0004828013479709625,0.00043633999302983284,0.8241907954216003,0.00017563083383720368,3.664508767542429e-05,0.0006578117026947439,0.0005280437762849033,0.0,0.0,0.0,0.5584127306938171,0.31270819902420044,0.006753202993422747,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",8,uniform_int3,0.5684888958930969,0.8538795709609985,0.37176570296287537,0.9338247776031494,0.6305071115493774,0.8669910430908203,1.016769528388977,0.6193102598190308,0.8725744485855103,0.004952279385179281,0.009948911145329475,78.48717498779297,0,384,0.5684888958930969,0.8538795709609985,0.0003799689875449985,0.0003573249850887805,0.75396728515625,0.00012533291010186076,2.5568364435457624e-05,0.00048799882642924786,0.00039677866152487695,0.0,0.0,0.0,0.6452780365943909,0.2997870147228241,0.006137383636087179,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",
