seed,update,parameter_id,k,candidate,reference,match_type,raw_residual_l2_candidate,raw_residual_l2_reference,absolute_raw_l2_gap,update_cosine_gain_candidate_minus_reference,zero_fraction_candidate,zero_fraction_reference,zero_fraction_gap
1,128,transformer.h.0.attn.c_proj.weight,4,geometry_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3032362759113312,0.2948205769062042,0.008415699005126953,-0.022565782070159912,0.3074544370174408,0.21722412109375,0.0902303159236908
1,128,transformer.h.0.attn.c_proj.weight,4,geometry_codebook_fine,lloyd_global,nearest_zero_fraction,0.3032362759113312,0.2731480598449707,0.030088216066360474,-0.024946928024291992,0.3074544370174408,0.2731052041053772,0.0343492329120636
1,128,transformer.h.0.attn.c_proj.weight,4,danger_zone_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.3032362759113312,0.2948205769062042,0.008415699005126953,-0.022565782070159912,0.3074544370174408,0.21722412109375,0.0902303159236908
1,128,transformer.h.0.attn.c_proj.weight,4,danger_zone_codebook_fine,lloyd_global,nearest_zero_fraction,0.3032362759113312,0.2731480598449707,0.030088216066360474,-0.024946928024291992,0.3074544370174408,0.2731052041053772,0.0343492329120636
1,128,transformer.h.0.attn.c_proj.weight,8,muon_global_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.31828537583351135,0.30516496300697327,0.013120412826538086,-0.016973555088043213,0.2941690981388092,0.3543362021446228,0.0601671040058136
1,128,transformer.h.0.attn.c_proj.weight,8,muon_global_codebook,lloyd_global,nearest_zero_fraction,0.31828537583351135,0.2692473530769348,0.04903802275657654,-0.03610473871231079,0.2941690981388092,0.2643025815486908,0.029866516590118408
1,128,transformer.h.0.attn.c_proj.weight,8,geometry_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.31828537583351135,0.30516496300697327,0.013120412826538086,-0.016973555088043213,0.2941690981388092,0.3543362021446228,0.0601671040058136
1,128,transformer.h.0.attn.c_proj.weight,8,geometry_codebook,lloyd_global,nearest_zero_fraction,0.31828537583351135,0.2692473530769348,0.04903802275657654,-0.03610473871231079,0.2941690981388092,0.2643025815486908,0.029866516590118408
1,128,transformer.h.0.attn.c_proj.weight,8,danger_zone_codebook,mulaw_mu_1,nearest_raw_relative_l2,0.31828537583351135,0.30516496300697327,0.013120412826538086,-0.016973555088043213,0.2941690981388092,0.3543362021446228,0.0601671040058136
1,128,transformer.h.0.attn.c_proj.weight,8,danger_zone_codebook,lloyd_global,nearest_zero_fraction,0.31828537583351135,0.2692473530769348,0.04903802275657654,-0.03610473871231079,0.2941690981388092,0.2643025815486908,0.029866516590118408
1,128,transformer.h.0.attn.c_proj.weight,8,muon_global_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.2949438691139221,0.28849533200263977,0.006448537111282349,-0.014935076236724854,0.2941690981388092,0.2078789621591568,0.0862901359796524
1,128,transformer.h.0.attn.c_proj.weight,8,muon_global_codebook_fine,lloyd_global,nearest_zero_fraction,0.2949438691139221,0.2692473530769348,0.025696516036987305,-0.019424080848693848,0.2941690981388092,0.2643025815486908,0.029866516590118408
1,128,transformer.h.0.attn.c_proj.weight,8,geometry_codebook_fine,mulaw_mu_5,nearest_raw_relative_l2,0.2949438691139221,0.28849533200263977,0.006448537111282349,-0.014935076236724854,0.2941690981388092,0.2078789621591568,0.0862901359796524
