rounding_mode,shape,parameter_id,parameter_name,quantizer,bits,codebook,block_size,raw_zero_fraction,raw_momentum_relative_l2,raw_momentum_cosine,raw_momentum_norm_ratio,raw_momentum_metric_status,update_relative_l2,update_cosine,update_norm_ratio,update_metric_status,muon_update_relative_l2,muon_update_cosine,muon_update_norm_ratio,seed,update,snapshot,delta_raw_momentum_cosine,delta_raw_momentum_relative_l2,delta_muon_update_cosine,delta_muon_update_relative_l2
muon_update_direction_oracle,"[1024, 384]",transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,int4-dynamic-b2048,4,dynamic,2048,0.013577778823673725,0.1913636475801468,0.9817205667495728,1.0016049146652222,ok,0.5010372400283813,0.8750906586647034,1.0047907829284668,ok,0.5010372400283813,0.8750906586647034,1.0047907829284668,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-7.343292236328125e-05,0.000574946403503418,9.143352508544922e-05,-0.00022965669631958008
nearest,"[384, 1024]",transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.02886199951171875,0.2299676090478897,0.9732761383056641,0.9855743050575256,ok,0.6287865042686462,0.8005149960517883,0.9907698035240173,ok,0.6287865042686462,0.8005149960517883,0.9907698035240173,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,,,,
raw_direction_oracle,"[384, 1024]",transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.02879842184484005,0.23173639178276062,0.9732344746589661,1.0030170679092407,ok,0.6261234283447266,0.8021740913391113,0.9906259179115295,ok,0.6261234283447266,0.8021740913391113,0.9906259179115295,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-4.166364669799805e-05,0.0017687827348709106,0.001659095287322998,-0.0026630759239196777
muon_update_direction_oracle,"[384, 1024]",transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.02886199951171875,0.23009656369686127,0.9732523560523987,0.9860795736312866,ok,0.6287600994110107,0.8005183935165405,0.9907000660896301,ok,0.6287600994110107,0.8005183935165405,0.9907000660896301,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-2.378225326538086e-05,0.00012895464897155762,3.3974647521972656e-06,-2.6404857635498047e-05
nearest,"[1152, 384]",transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,int4-dynamic-b2048,4,dynamic,2048,0.011919939890503883,0.18812669813632965,0.9823302626609802,1.0014190673828125,ok,0.9996792078018188,0.530771017074585,1.0609370470046997,ok,0.9996792078018188,0.530771017074585,1.0609370470046997,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,,,,
raw_direction_oracle,"[1152, 384]",transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,int4-dynamic-b2048,4,dynamic,2048,0.011904115788638592,0.1909610629081726,0.9827966690063477,1.0313276052474976,ok,0.9950464963912964,0.5356281995773315,1.0619502067565918,ok,0.9950464963912964,0.5356281995773315,1.0619502067565918,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.00046640634536743164,0.0028343647718429565,0.004857182502746582,-0.004632711410522461
muon_update_direction_oracle,"[1152, 384]",transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,int4-dynamic-b2048,4,dynamic,2048,0.011919939890503883,0.18823198974132538,0.9823272824287415,1.0022904872894287,ok,0.9993314743041992,0.5310642123222351,1.0608683824539185,ok,0.9993314743041992,0.5310642123222351,1.0608683824539185,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-2.9802322387695312e-06,0.00010529160499572754,0.0002931952476501465,-0.0003477334976196289
nearest,"[384, 384]",transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.01092529296875,0.19244319200515747,0.9815036058425903,1.001091480255127,ok,1.0410451889038086,0.5080124139785767,1.0926934480667114,ok,1.0410451889038086,0.5080124139785767,1.0926934480667114,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,,,,
raw_direction_oracle,"[384, 384]",transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.010898166336119175,0.19512724876403809,0.9819268584251404,1.029414176940918,ok,1.031818151473999,0.5152819156646729,1.089881181716919,ok,1.031818151473999,0.5152819156646729,1.089881181716919,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,0.00042325258255004883,0.0026840567588806152,0.007269501686096191,-0.00922703742980957
muon_update_direction_oracle,"[384, 384]",transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,int4-dynamic-b2048,4,dynamic,2048,0.01092529296875,0.19252611696720123,0.9814966917037964,1.0015435218811035,ok,1.0410741567611694,0.5081666707992554,1.0930333137512207,ok,1.0410741567611694,0.5081666707992554,1.0930333137512207,0,128,/home/sienna/projects/experiments/lowp-optimizer-bench/reports/muon_update_fidelity_formal_s0_s1_results/muon-fidelity-formal/fp32_muon_snapshot_s0/muon_momentum_snapshots/update_000128.pt,-6.9141387939453125e-06,8.292496204376221e-05,0.00015425682067871094,2.8967857360839844e-05
