Kaggle preflight (physical GPU 1 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_vq_int3_4096_s1.json",
  "fingerprint": "c2b89e71ac438904e6cb8cf51605ea3308055a089c3db14072a05bd354e7fab1",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0",
  "recursive_codebook": "/kaggle/working/benchmark-experiments/reports/muon_vector_int3_robustness/calibration_codebooks.pt",
  "recursive_codebook_exists": true
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_vq_int3_4096_s1 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[eval] step 0 | val NLL 10.8639 | ppl 52255.50 | 65536 tokens
[train] 58/4096 | 475136 tok | loss 7.2281 | lr 9.998e-04 | 1310.0 ms/update | 6253 tok/s
[train] 59/4096 | 483328 tok | loss 7.2499 | lr 9.998e-04 | 1318.4 ms/update | 6214 tok/s
[train] 60/4096 | 491520 tok | loss 7.8012 | lr 9.998e-04 | 1315.0 ms/update | 6230 tok/s
[train] 61/4096 | 499712 tok | loss 7.3131 | lr 9.998e-04 | 1301.4 ms/update | 6295 tok/s
[train] 62/4096 | 507904 tok | loss 7.6704 | lr 9.998e-04 | 1317.6 ms/update | 6218 tok/s
[train] 63/4096 | 516096 tok | loss 7.4583 | lr 9.998e-04 | 1325.1 ms/update | 6182 tok/s
[train] 64/4096 | 524288 tok | loss 7.5885 | lr 9.997e-04 | 1330.0 ms/update | 6160 tok/s
[train] 65/4096 | 532480 tok | loss 7.3489 | lr 9.997e-04 | 1326.3 ms/update | 6177 tok/s
[train] 66/4096 | 540672 tok | loss 7.3226 | lr 9.997e-04 | 1330.9 ms/update | 6155 tok/s
[train] 67/4096 | 548864 tok | loss 7.4055 | lr 9.997e-04 | 1329.1 ms/update | 6164 tok/s
[train] 68/4096 | 557056 tok | loss 7.5342 | lr 9.997e-04 | 1338.3 ms/update | 6121 tok/s
[train] 69/4096 | 565248 tok | loss 7.4118 | lr 9.997e-04 | 1332.8 ms/update | 6146 tok/s
[train] 70/4096 | 573440 tok | loss 7.4025 | lr 9.997e-04 | 1333.9 ms/update | 6141 tok/s
[train] 71/4096 | 581632 tok | loss 7.1516 | lr 9.997e-04 | 1331.7 ms/update | 6152 tok/s
[train] 72/4096 | 589824 tok | loss 7.6154 | lr 9.996e-04 | 1338.5 ms/update | 6120 tok/s
[train] 73/4096 | 598016 tok | loss 7.0866 | lr 9.996e-04 | 1334.7 ms/update | 6138 tok/s
[train] 74/4096 | 606208 tok | loss 7.2967 | lr 9.996e-04 | 1339.8 ms/update | 6115 tok/s
[train] 75/4096 | 614400 tok | loss 6.9763 | lr 9.996e-04 | 1335.8 ms/update | 6133 tok/s
[train] 76/4096 | 622592 tok | loss 7.3753 | lr 9.996e-04 | 1343.0 ms/update | 6100 tok/s
[train] 77/4096 | 630784 tok | loss 7.4928 | lr 9.996e-04 | 1347.2 ms/update | 6081 tok/s
[train] 78/4096 | 638976 tok | loss 7.1628 | lr 9.996e-04 | 1349.6 ms/update | 6070 tok/s
[train] 79/4096 | 647168 tok | loss 7.0693 | lr 9.995e-04 | 1344.8 ms/update | 6092 tok/s
[train] 80/4096 | 655360 tok | loss 7.3374 | lr 9.995e-04 | 1350.1 ms/update | 6068 tok/s
[train] 81/4096 | 663552 tok | loss 7.1899 | lr 9.995e-04 | 1351.3 ms/update | 6062 tok/s
[train] 82/4096 | 671744 tok | loss 6.9518 | lr 9.995e-04 | 1357.7 ms/update | 6034 tok/s
[train] 83/4096 | 679936 tok | loss 7.4301 | lr 9.995e-04 | 1352.9 ms/update | 6055 tok/s
[train] 84/4096 | 688128 tok | loss 7.1248 | lr 9.995e-04 | 1350.3 ms/update | 6067 tok/s
[train] 85/4096 | 696320 tok | loss 7.2229 | lr 9.994e-04 | 1357.9 ms/update | 6033 tok/s
[train] 86/4096 | 704512 tok | loss 6.9827 | lr 9.994e-04 | 1357.2 ms/update | 6036 tok/s
[train] 87/4096 | 712704 tok | loss 7.1430 | lr 9.994e-04 | 1354.6 ms/update | 6047 tok/s
[train] 88/4096 | 720896 tok | loss 7.3104 | lr 9.994e-04 | 1350.8 ms/update | 6065 tok/s
[train] 89/4096 | 729088 tok | loss 6.8722 | lr 9.994e-04 | 1357.2 ms/update | 6036 tok/s
[train] 90/4096 | 737280 tok | loss 6.7850 | lr 9.993e-04 | 1349.6 ms/update | 6070 tok/s
[train] 91/4096 | 745472 tok | loss 6.8383 | lr 9.993e-04 | 1355.3 ms/update | 6044 tok/s
[train] 92/4096 | 753664 tok | loss 6.9970 | lr 9.993e-04 | 1360.7 ms/update | 6020 tok/s
[train] 93/4096 | 761856 tok | loss 6.9565 | lr 9.993e-04 | 1341.8 ms/update | 6105 tok/s
[train] 94/4096 | 770048 tok | loss 7.0569 | lr 9.993e-04 | 1337.7 ms/update | 6124 tok/s
[train] 95/4096 | 778240 tok | loss 7.0428 | lr 9.992e-04 | 1344.1 ms/update | 6095 tok/s
[train] 96/4096 | 786432 tok | loss 7.0480 | lr 9.992e-04 | 1343.5 ms/update | 6097 tok/s
[train] 97/4096 | 794624 tok | loss 6.7240 | lr 9.992e-04 | 1346.3 ms/update | 6085 tok/s
[train] 98/4096 | 802816 tok | loss 6.9953 | lr 9.992e-04 | 1344.5 ms/update | 6093 tok/s
[train] 99/4096 | 811008 tok | loss 7.1730 | lr 9.992e-04 | 1352.2 ms/update | 6058 tok/s
[train] 100/4096 | 819200 tok | loss 7.1509 | lr 9.991e-04 | 1347.9 ms/update | 6078 tok/s
[train] 101/4096 | 827392 tok | loss 6.7055 | lr 9.991e-04 | 1340.4 ms/update | 6111 tok/s
[train] 102/4096 | 835584 tok | loss 6.8981 | lr 9.991e-04 | 1334.9 ms/update | 6137 tok/s
[train] 103/4096 | 843776 tok | loss 6.9360 | lr 9.991e-04 | 1334.4 ms/update | 6139 tok/s
[train] 104/4096 | 851968 tok | loss 6.7922 | lr 9.991e-04 | 1338.0 ms/update | 6122 tok/s
[train] 105/4096 | 860160 tok | loss 6.8830 | lr 9.990e-04 | 1331.2 ms/update | 6154 tok/s
[train] 106/4096 | 868352 tok | loss 6.7286 | lr 9.990e-04 | 1328.6 ms/update | 6166 tok/s
[train] 107/4096 | 876544 tok | loss 6.5270 | lr 9.990e-04 | 1346.7 ms/update | 6083 tok/s
[train] 108/4096 | 884736 tok | loss 6.7382 | lr 9.990e-04 | 1325.9 ms/update | 6179 tok/s
[train] 109/4096 | 892928 tok | loss 6.9053 | lr 9.989e-04 | 1325.6 ms/update | 6180 tok/s
[train] 110/4096 | 901120 tok | loss 6.5005 | lr 9.989e-04 | 1329.2 ms/update | 6163 tok/s
[train] 111/4096 | 909312 tok | loss 6.6382 | lr 9.989e-04 | 1318.0 ms/update | 6216 tok/s
[train] 112/4096 | 917504 tok | loss 6.9902 | lr 9.989e-04 | 1317.1 ms/update | 6220 tok/s
[train] 113/4096 | 925696 tok | loss 6.9881 | lr 9.988e-04 | 1326.1 ms/update | 6177 tok/s
[train] 114/4096 | 933888 tok | loss 6.7287 | lr 9.988e-04 | 1315.1 ms/update | 6229 tok/s
[train] 115/4096 | 942080 tok | loss 6.8736 | lr 9.988e-04 | 1321.8 ms/update | 6198 tok/s
[train] 116/4096 | 950272 tok | loss 6.4939 | lr 9.988e-04 | 1320.6 ms/update | 6203 tok/s
[train] 117/4096 | 958464 tok | loss 6.8586 | lr 9.987e-04 | 1316.2 ms/update | 6224 tok/s
[train] 118/4096 | 966656 tok | loss 6.6400 | lr 9.987e-04 | 1321.6 ms/update | 6198 tok/s
[train] 119/4096 | 974848 tok | loss 6.6299 | lr 9.987e-04 | 1327.5 ms/update | 6171 tok/s
[train] 120/4096 | 983040 tok | loss 6.9592 | lr 9.987e-04 | 1323.5 ms/update | 6190 tok/s
[train] 121/4096 | 991232 tok | loss 6.4267 | lr 9.986e-04 | 1321.0 ms/update | 6201 tok/s
[train] 122/4096 | 999424 tok | loss 6.4179 | lr 9.986e-04 | 1335.1 ms/update | 6136 tok/s
[train] 123/4096 | 1007616 tok | loss 6.9208 | lr 9.986e-04 | 1319.4 ms/update | 6209 tok/s
[train] 124/4096 | 1015808 tok | loss 6.8205 | lr 9.986e-04 | 1328.3 ms/update | 6167 tok/s
[train] 125/4096 | 1024000 tok | loss 6.6095 | lr 9.985e-04 | 1328.7 ms/update | 6165 tok/s
[train] 126/4096 | 1032192 tok | loss 6.9243 | lr 9.985e-04 | 1317.3 ms/update | 6219 tok/s
[train] 127/4096 | 1040384 tok | loss 6.4225 | lr 9.985e-04 | 1326.8 ms/update | 6174 tok/s
[train] 128/4096 | 1048576 tok | loss 6.5279 | lr 9.984e-04 | 1323.2 ms/update | 6191 tok/s
[eval] step 128 | val NLL 6.3974 | ppl 600.31 | 65536 tokens
[ckpt] latest.pt @ step 128
[train] 129/4096 | 1056768 tok | loss 6.6894 | lr 9.984e-04 | 1329.0 ms/update | 6164 tok/s
[train] 130/4096 | 1064960 tok | loss 6.4325 | lr 9.984e-04 | 1326.7 ms/update | 6175 tok/s
[train] 131/4096 | 1073152 tok | loss 6.5496 | lr 9.984e-04 | 1339.6 ms/update | 6115 tok/s
[train] 132/4096 | 1081344 tok | loss 6.7338 | lr 9.983e-04 | 1334.7 ms/update | 6138 tok/s
[train] 133/4096 | 1089536 tok | loss 6.5726 | lr 9.983e-04 | 1337.5 ms/update | 6125 tok/s
[train] 134/4096 | 1097728 tok | loss 6.4147 | lr 9.983e-04 | 1343.4 ms/update | 6098 tok/s
[train] 135/4096 | 1105920 tok | loss 6.3249 | lr 9.982e-04 | 1338.5 ms/update | 6120 tok/s
